Hybridization REF	TCGA-B6-A0IJ-01A-11R-A034-07
OR4C6	-0.566
RAB30	-0.274833333333333
TSSK4	-1.15
TMEM163	1.717
OSBPL11	1.19583333333333
GNB5	-0.827166666666666
CCL21	0.66875
C1orf121	0.9495
FMO2	5.05666666666667
RPTN	1.3095
MSTN	-0.039
VCL	-0.217285714285714
FYTTD1	-0.726
C11orf1	-0.9775
CCDC88C	0.5191875
HFE	-0.866388888888889
MOGAT1	-0.3205
FAM125B	1.301
IRGQ	0.7525
RAVER2	2.3975
AKAP5	-1.1245
SSSCA1	-0.195
C11orf63	-0.05325
ACTG2	3.4515
PORCN	-1.06
DTL	0.236727272727273
TMEM151	0.8845
FAM122C	-0.6935
RSAD2	2.5437
BAT4	-0.671
KRTDAP	-1.73383333333333
MYH8	-0.485375
CRTC3	0.425
LRRFIP2	1.2628
INTS4	-0.8745
TTN	-0.7465
SLC26A5	0.898
PLLP	-1.518
RGS6	-0.572625
SRGAP3	0.98
ZNF525	-0.2645
NBR2	-1.1734
C13orf1	0.224
ZNF137	-0.4305
CEP27	-0.933
BEST2	0.564
RNF121	-1.254
DMRTC2	-0.236333333333333
C8orf76	0.752
BCCIP	0.046375
MEST	-3.44325
HTRA2	-0.3555
ANGPTL2	-0.1205
ILKAP	0.153666666666667
ERAS	-1.0505
HBS1L	-0.82825
CPA5	0.2675
TMEM30A	0.830333333333333
CD300LF	3.0355
WISP3	1.1035
CRK	-0.342071428571429
PDS5A	-0.1951
BRPF3	0.0385
NEDD9	-1.369875
SMPDL3B	2.077
PSG6	-2.202
PSMD13	-0.20825
ETV5	-1.2204375
OR51A4	-0.648
BTBD7	0.046
GSTO1	-1.204375
hCG_16001	0.287
MAD2L1BP	0.3445
COX6A2	2.012
SCNN1A	-1.60916666666667
LSM1	0.416
UGT2B11	-2.99425
IDUA	-0.29375
PPP2R3C	-1
COX11	-1.004
PDZK1	-2.48525
ZNF443	-0.120666666666667
MGC21874	0.271666666666667
ZNF323	0.9881
KRTAP10-10	0.332
CXCL6	0.143
SLC34A2	5.0597
LOC284402	-0.092
NPTN	-0.209416666666667
UPP1	-0.898333333333333
SLC6A9	2.084
OR7G3	0.15175
CISD1	0.249
ZNF545	0.0325
SYT14	-0.5555
NT5C3L	0.023
ZNHIT3	-0.4
SNRPD3	0.33325
KIAA0701	-0.26325
UNC93B1	0.5285
GMNN	-0.809
SPCS2	0.245
LOC388524	-0.0665
NAPRT1	1.7665
PNLIPRP1	0.483
OR6V1	1.052
PRKAB1	-1.245
EYA4	-2.79583333333333
KIF20A	-0.411
ALG10	-0.98375
ITPKC	1.363
LMX1B	0.667666666666667
RPUSD4	-0.823333333333333
C7orf34	-0.158833333333333
DLGAP2	0.193857142857143
PFN1	-0.3008
MICALL2	-1.23158333333333
ZNF654	-0.703
SS18L1	-1.191
SLC16A8	1.5945
MKI67IP	0.456
ITGB3	-1.735
TCEA3	2.3825
CEP152	-1.53575
CLIP1	0.9665
ZNF75	0.1699375
ATP5C1	0.03
NUDT5	0.1295
PSCDBP	2.9405
UBP1	0.00949999999999999
RBM27	-0.114
C13orf15	3.913375
ZNF282	-0.6755
ZNF222	-0.4028
COL10A1	3.8855
PRDM15	-0.659625
TTTY5	0.2605
FAM9C	-0.360583333333333
C20orf67	0.00975000000000001
GNG13	1.479
F12	1.3355
C1orf41	1.085
CPXCR1	-0.411
GSK3A	0.466875
SUPT6H	-0.518333333333333
PI16	-1.0676
ELL2	-1.01508333333333
C9orf167	-1.259
PVRL3	-3.2366
FLJ38596	1.416
ADAM20	0.23275
GPR89A	0.078
GPR87	-1.5045
ZNF30	-0.6655
SMR3B	1.20925
ZNF770	-0.111875
TRPC4AP	-0.559666666666667
DKFZP686E2158	-0.125166666666667
C2orf28	-0.4655
FREM1	-0.640333333333333
LAMA4	-0.8115
ADPRHL2	0.04275
EIF4G2	0.424666666666667
GUCA1A	-1.028
CTNNA2	-1.446375
NUDT15	-0.93
CEPT1	0.557666666666667
ZNFX1	0.3869
CCDC92	0.827
TDRD1	-2.275
KCNK5	1.966
ETNK1	-1.30141666666667
LTA	0.857
TTPA	0.0286666666666667
B3GALNT2	0.177375
SC65	-1.799
PEX5L	-1.405
EPS15L1	-0.19275
MGEA5	-0.953
HIST1H3A	1.47925
ING1	0.9415
BCAT1	-2.4285
ORC6L	-1.46518181818182
KLK11	-5.1215
C19orf28	-0.85475
DNER	-2.679375
MED22	0.0216428571428571
ETV6	2.99925
CHAC2	-0.814
CD300E	0.144
CEBPB	2.99041666666667
ZNF398	-0.212
LRCH3	-0.0625
HMGA1	-0.678833333333333
CAPN7	-0.6245
MGC5566	-2.88125
CCL3	3.771625
NANOS1	-0.50525
ZFYVE19	-0.57925
APITD1	-1.14416666666667
PARD3	0.85525
IRAK4	-0.847166666666667
SERPINI2	-0.2755
CEP170L	-1.25325
TTC9	2.167125
MYOM3	-2.74975
MLPH	-2.5975
LOC222699	-1.302
NRG1	-1.20116666666667
TBC1D9	-0.523363636363636
TTK	-0.604666666666667
ZNF557	0.0522
DDX41	-0.487166666666667
FANK1	-0.028
UBE2D2	-0.182375
PSMB10	0.994875
MYH7B	-1.396
GABARAPL2	-0.11125
MARVELD2	0.6505
DGCR2	0.8625
UNC45A	-0.168833333333333
C6orf72	-0.6715
ZNF683	5.6015
GIT2	0.0275
CASK	1.02316666666667
C14orf161	1.40583333333333
LRRC44	-1.801
TIFA	0.697125
UTP11L	-0.025625
C6orf65	-1.64675
FDPS	-0.11075
DUSP9	-1.6101
SLC17A8	0.3312
OR51G1	0.289833333333333
NANS	-0.2655
OLFML1	0.811
ATP10B	0.613125
NPAS3	-1.32675
PRKCA	-1.6826
GGA2	-0.539375
LCE4A	0.0205
SPANXN3	0.5555
CCDC115	1.59975
SDCCAG3	-0.47075
GLIPR1L1	-0.868
TTC1	-0.46
C17orf76	-0.1955
MAD2L2	-1.458
HIPK1	-0.0464
LRRC3B	-0.739
CLN3	-0.958409090909091
C17orf47	0.5795
FMN2	-3.033375
TUBB1	-1.433625
WAPAL	0.250166666666667
C3orf21	-0.824125
SCN5A	-0.5315
SMYD1	1.645
BEX5	2.687
ZNF192	1.003
SEC22A	0.446833333333333
GRIA2	0.46925
KIAA0825	-2.0585
NUSAP1	-0.887818181818182
LANCL1	0.289
C15orf40	-0.6837
ZNF645	-0.043875
GPR61	0.27375
NLRP14	0.153
SNX21	0.0457
C1QTNF8	0.6785
C17orf46	0.61575
IFNA8	1.3695
SPRR1B	-2.979
FLRT1	-0.09375
SNX17	-0.802
ASB2	1.41516666666667
HBG1	-5.822
RPRML	3.42375
JOSD2	-0.310833333333333
PLSCR3	0.401
SPOCD1	-1.06033333333333
RAB39	-0.0405
GHRH	-1.04183333333333
ITIH5L	0.067
C17orf37	0.202
SMCR8	0.53225
DPY19L2P3	-0.692166666666667
IL11RA	-1.23683333333333
GDF3	-3.12883333333333
RPS6KB1	-1.415
DNAJC19	0.6875
TOP1	0.02825
CRCT1	-0.420428571428571
MPST	0.973625
DPM2	0.28475
FAM38B	-3.074
SLC18A1	-2.4705
FARP1	-0.00816666666666669
PAX7	0.1615
TUBD1	-1.40575
GNL3	0.18075
BTG2	-0.153666666666667
NDUFS6	-0.1315
C1orf79	0.0875
ERAL1	-0.83275
ECHS1	0.94175
VPS4A	-0.151666666666667
CYP11A1	-1.492875
ABCC6	-2.27614285714286
PBX4	0.9695
MOSC1	-1.43925
NCF4	1.1905
HYMAI	1.008
NAGPA	-0.799125
OTOP2	-0.03475
ACOT12	-0.14375
MTHFD2L	-0.19675
LOC441376	6.88175
C19orf34	0.582
RAB1B	-0.5055
ALDOAP2	-1.217
NTRK1	-1.71583333333333
ARTS-1	-1.0103
SLC6A11	1.0445
NAP1L2	-2.246
CNGB1	-0.00383333333333334
EPB41L4B	0.0837272727272727
FAM134B	1.335375
HS3ST3A1	1.99116666666667
CPXM2	7.0815
SIRPB2	2.133
CHORDC1	-0.602333333333333
TRIB3	-1.94616666666667
SLC2A5	1.6095
C2orf49	-0.2925
DDX5	-0.85
OR5L1	1.8255
ANAPC4	-0.4745
ZSWIM1	1.1255
LOC93622	-0.864125
KCNK3	-0.6119
RP11-35N6.1	-1.702375
ZFP161	0.187333333333333
AQP9	5.62725
SLC15A2	-0.600666666666667
MREG	0.22
OR9I1	0.797
PDLIM2	-0.325142857142857
ADAM7	0.735
GSTCD	-1.2845
WDR21A	1.20125
SLC12A8	1.49033333333333
TMEM174	-0.57125
IGSF3	0.606
LRRN1	2.137
LOC402117	0.434
SRPK1	0.253166666666667
LY6K	-2.2775625
NFIA	1.2555
PTCD3	0.13975
LEP	-0.541833333333333
PCDH21	-0.305333333333333
MAPKAPK2	1.14485714285714
NMNAT1	-1.3835
LHFPL2	0.506375
C9orf43	-0.8505
DIP2A	-0.771333333333333
ACTR8	-0.333375
CCDC34	-0.32
PTPN22	0.0755
ITGA3	-2.181125
FAM129C	0.47675
RABGGTA	-0.0611666666666667
UNC45B	0.531
KIAA1033	-0.332375
ZNF510	-0.318166666666667
CYP2D6	0.0133333333333333
SLC26A10	-1.8025
STX8	-0.703
LUZP1	-0.430625
WDR89	-0.191666666666667
EIF4G3	-1.2812
C5AR1	0.962375
ZNF623	1.336
A2M	2.73775
TGM7	0.034
GRPEL1	-0.496833333333333
LMNB2	-0.2447
ROCK2	-0.6065
SNX16	0.7735
CCDC66	-0.41025
ANXA3	1.41075
KIAA1609	2.153
EED	0.55575
RNF32	-0.556166666666667
HES1	0.8293
CLC	0.247666666666667
ISL1	-0.4636
KIAA0528	-1.3225
MANEA	0.164
C1orf61	-1.9095
hCG_2001000	0.6275
RAPGEF6	-0.168
KIAA0020	1.7635
NEIL1	-0.80925
C16orf45	-2.222125
RBM10	0.0838333333333334
C10orf125	0.288375
MRS2L	0.402
DNAH17	-0.65825
C19orf10	-0.2765
C1orf160	0.57125
SLFN12	0.20675
EXOC3	-0.151666666666667
HIST3H3	0.52275
NCOR2	0.545
TNFRSF9	3.85925
MFSD8	-0.45975
ALX1	-0.786166666666667
NOL1	-0.0855
PODN	1.12775
TIAL1	-1.20275
HIST1H1E	0.08175
NPY6R	-0.01175
TM4SF4	1.39825
CORO2A	0.06225
ETNK2	-0.941
APOE	1.9465
ANGPT4	-0.5015
HDGF2	-0.78475
G30	null
ST8SIA4	0.526625
F2RL1	-1.914875
FAM19A4	-1.80075
CCAR1	0.00925
B3GNT7	0.445
OPHN1	-0.6834
DSCR6	2.401
C21orf13	-0.727
GAS2L1	1.02241666666667
RFX3	0.326333333333333
COPS4	-0.599125
BCHE	-4.99383333333333
BCL2	1.844125
HBZ	-2.97416666666667
ARL13B	-0.4135
MAPBPIP	0.746625
MYO15B	-0.44825
SPZ1	1.27166666666667
KIAA1324	-0.776
PLCL2	0.282125
C4orf29	-1.908
WDFY2	0.28175
ZNF284	-0.999
NAALADL1	-0.323
DUSP5	-0.422166666666667
PXDN	-0.73175
SLMO1	1.00275
TNXB	0.9675
BIRC7	-0.67
A4GALT	2.62366666666667
TIMM22	-0.856
FAM110C	-0.4135
TOMM34	-0.106125
ABHD9	0.0515
ADAM32	2.0385
CRHBP	-0.4995
AQP2	0.426125
LOC130355	0.65625
ZNF187	-0.211833333333333
ZNF816A	-0.0195
F7	-0.610875
CNOT1	-0.0269
SLC13A4	-1.29625
ZBTB11	0.103
B3GALT5	0.92475
EXOC2	0.323166666666667
IRS1	-0.4114
TMEM1	0.371333333333333
MRPL34	0.384
SAMM50	-0.61875
CDC42EP3	1.767125
HSF2	-1.065
MFN2	-0.44325
TSPAN7	-3.06466666666667
NUCB1	1.05016666666667
RHOH	-0.528
ARL16	-0.2415
TACR1	0.49
SFRS5	-0.619333333333333
SNX25	-0.304875
RHBDF1	-0.687833333333333
PCDH18	0.0638333333333334
HMG1L1	0.17825
MYO5C	-0.404625
MAPK10	-0.2005
LDHAL6A	0.0896666666666667
NUDT12	-0.7206
NCAM1	-1.00475
GLIS2	0.7135
GGTL4	-0.056
DAPP1	2.063
ATF7	0.80325
KIAA0748	-0.199
NFIL3	0.12675
TM6SF1	0.3165
SEZ6	-0.232625
NANOS3	-0.207666666666667
DNAJA3	-0.824833333333333
CLDN6	-2.832
CIITA	3.8685
EPHA4	-0.25675
FANCC	-0.64
CMTM3	-0.762125
PSG3	-1.77842857142857
MRPL15	-0.043
C21orf59	-1.34475
PLCXD2	-0.13325
C2orf34	-0.282125
UBE2L6	1.242
MED14	1.17983333333333
HP1BP3	-1.6234
C6orf208	-0.9265
TPBG	-0.6345
OSR2	-0.803625
XPC	-1.22883333333333
KLHL7	-0.983666666666667
CCR3	-0.175166666666667
AGTPBP1	1.17833333333333
PCSK6	-0.2324
STAT5A	-1.0728
FAM18B	0.2685
LONRF2	-2.9975
PTPN2	0.15775
SF3A3	-0.938666666666667
EFCBP2	-0.2535
HCFC1	-0.824833333333333
AHNAK	-0.72
ACTR5	0.02675
KIF14	-0.175285714285714
TENC1	-0.2875
HEATR5B	1.1565
YIPF2	0.319666666666667
MYEOV2	0.9415
DUSP18	0.8565
KIAA1012	0.30675
AHR	1.56116666666667
C17orf53	-0.333833333333333
PTPRH	-3.635
ATP6V1C1	-0.3139
TAS2R3	0.109
LOC440356	0.2955
COQ10B	0.07825
PSMF1	-0.528666666666667
SORBS2	2.7865
NFE2L2	0.427
TMCO7	-0.4385
SH3PXD2A	0.00379999999999998
SH2D2A	1.833
SPINK5	-2.1555
MRPS24	-0.83575
OPA3	1.46575
TRAF7	-0.180833333333333
C4orf35	0.301333333333333
MT1G	-0.484125
MGC39545	1.884
HS1BP3	-0.4626
OR2B2	0.7805
CHRM4	-0.182
SFRP2	0.0190833333333333
RIC3	-1.083
ART1	-1.3075
C6orf1	0.42775
DUS4L	-0.9055
C10orf104	0.00725
TNFAIP6	3.17325
RTEL1	-0.64275
CCT4	0.177
ZNF709	-0.95025
CHMP6	0.122833333333333
UPP2	0.78025
CYP19A1	-2.4415
CD151	-1.23083333333333
NDUFA13	-0.6545
ARFRP1	-0.411833333333333
FAM26B	1.6325
CRYBA1	-3.3465
MRPL41	0.312333333333333
NPFFR2	-1.49571428571429
HRH2	0.3335
SCAMP3	0.539166666666667
MTMR6	0.3959
MTG1	-0.581666666666667
UBTD1	0.549
CRABP1	2.032
FLJ33790	0.9743
KIAA1908	-1.836
GPR158	-1.5935
PACSIN3	0.190666666666667
OMD	0.3324
CATSPER1	0.304166666666667
HOXB8	-0.081375
FBXO46	1.8915
OAS1	1.6585
SVIL	0.35875
PHB2	-0.06775
ADCY3	0.8115
NDRG2	0.0428333333333333
ERMAP	-0.7074
APBA2	-1.86416666666667
IGSF9	2.223
WNT6	2.7715
MYCBPAP	0.233
ATP2B2	0.042
CPVL	-0.5442
TRAM2	0.0976666666666666
NOP5/NOP58	0.7335
ZNRF4	0.41825
TLK1	0.368125
MTMR12	1.69828571428571
ZNF384	-0.102166666666667
FAM9B	-4.4935
RPN1	0.9502
PMVK	0.50275
EIF3D	1.1506
SIX2	2.74075
HPS1	0.534214285714286
RNF7	0.7515
PSKH2	0.555
KCTD13	-0.533666666666667
CSMD3	-0.4038
FBF1	0.3085
IL8	-3.598875
SERPINB13	0.327909090909091
FBXL20	0.12675
BLR1	0.77875
SH2B1	-0.810666666666667
RFNG	-0.05675
RAB20	0.498
RBM7	-1.31575
POLR1A	-1.06016666666667
TMPRSS4	-1.77925
TAF9	-0.762125
TERF2	-0.924166666666667
TNFRSF1A	0.391333333333333
ACADVL	-1.575
GTF2H5	-0.54625
EDG8	-0.0876666666666667
C9orf140	0.423
UST6	-0.16
ZBTB8OS	0.37475
ZNF710	1.141
GPR174	-1.382
ATP6V0A2	0.33875
KIAA0319L	-1.1385
XKRX	-0.727
DOPEY2	0.9659
SDHD	-0.530916666666667
SUMF1	-0.0205
OSM	4.51
OPN3	-1.31375
DAGLB	-0.9895
PPFIBP1	-0.9328
TRIM63	-2.89575
C10orf53	-0.8295
LYPD3	-0.115833333333333
BCL7A	0.155375
AGER	-1.09
TCF19	0.449625
SAT2	-0.147
PFTK1	-0.129833333333333
GABRE	-0.82225
C15orf38	1.8742
FIS1	-0.5235
KCNV2	0.55225
CLPS	-0.16875
PPCDC	-0.123
FOXN2	0.749166666666667
NT5E	-3.4844
CD83	1.68375
IL18	1.920875
VPS16	-0.66125
IGFBP2	-3.49616666666667
NOTCH2	1.02125
SIGLEC1	3.368875
CD93	4.645
SULF2	0.3265
CEP164	-0.22375
P53AIP1	-0.665833333333333
TOR2A	-0.049
ZNF136	-0.5155
MGP	1.1151
CCDC144A	0.211166666666667
TRPC1	-1.0005
SMS	-0.343833333333333
MAPK7	0.1905
RRAGC	0.85
PARD6A	-0.3665
NUB1	0.567333333333333
SYNGR4	1.43775
OR11H12	-0.4735
WIF1	3.31728571428571
GCH1	0.57525
OR11H4	-0.3845
SLC44A5	-3.2085
GPRIN2	3.80316666666667
LOC401431	0.24125
CPA4	-1.2007
MELK	0.770888888888889
IL15RA	2.2425
CUL3	-0.022625
HMBOX1	-0.376
PODXL	-1.59475
CCT6B	-0.227
COMTD1	-0.5425
MUC20	-0.910333333333333
GPX2	-2.5755
ITK	0.146375
FBXL5	0.31525
C13orf27	-0.30125
DEFA5	-0.0935
TRHDE	-0.812
MTP18	0.129166666666667
UQCRQ	-0.3733
ITGB2	2.68133333333333
CSRP2BP	-0.669
TAS2R44	0.788
PHPT1	0.287875
FAM44C	-0.16775
ERH	0.603
MPHOSPH1	-1.126
MORC1	0.1155
PARVB	-0.027
LAMA1	-2.81
PGBD3	0.9525
GIMAP6	4.26475
AREG	-4.16483333333333
LIPT1	-0.05975
MGC99813	-0.66975
C1orf201	0.300833333333333
GRIN2A	-0.6551
MAN2C1	-1.0235
NSUN5	-0.49675
SF3B5	0.11125
MYC	0.5996875
NRXN1	-0.445727272727273
ZNF18	0.2395
SPDYA	-0.181375
SLC37A1	0.8905
DECR2	-0.6715
ANKRD38	1.455625
SPTLC3	-1.40175
SUPT16H	-0.73725
DTWD2	-0.3695
ULBP1	-0.039
ZADH1	-1.92216666666667
OIP5	-0.8215
IL10RB	-0.0608333333333333
OTUB2	-1.26125
VWA3A	-0.306333333333333
SPIC	1.54933333333333
OR6C4	-0.282
PSCD4	1.21716666666667
DPY19L2P2	0.177
TRAPPC6A	-0.255333333333333
C21orf2	-0.853166666666667
CEMP1	-0.5675
LIN7B	0.275
E2F7	-0.537666666666667
VCP	-0.3583125
LAMA3	-0.0348333333333333
BGN	1.60225
GPR160	-1.21516666666667
COCH	-0.0911666666666667
GPR81	-0.436166666666667
APOBEC3F	-0.9755
tcag7.1017	-0.39075
C1orf32	1.109
SCGB1D2	0.9845
FLJ43987	0.262
C6orf170	-1.1575
KLK9	0.009
GPD1L	-0.91275
VPS37B	0.84075
ATG3	0.150666666666667
ADAMTS17	0.6815
KLHDC2	-0.9755
NDUFV2	-1.40675
BLK	-1.00375
MATN4	1.645
GPM6A	-0.35
GBP4	5.561
TMEM162	0.4994
PKP2	-0.999
HRASLS	2.25422222222222
MMP1	-2.911
SFXN3	-0.643
FSD1	-1.53916666666667
ST6GALNAC3	-1.63683333333333
CA12	-1.6444
NCOA6	1.45
C19orf58	0.8332
PPP4R1	-1.35616666666667
MAN1A2	0.612333333333333
IKBKAP	-0.83125
UPF1	0.812666666666667
KIAA1219	0.47875
WNT16	-0.35025
SNW1	-0.258375
IL18RAP	4.28025
RPP30	0.009375
CDC40	-0.403714285714286
SETD3	-0.145
SLAMF6	1.477
ELK4	0.6785
TRIM47	1.08333333333333
ACOX3	0.777125
TRIM6	-0.013125
KIAA0372	-0.8345
TP53AP1	0.05775
SMURF2	0.34325
ADAD1	0.30075
EBP	-0.5238
KRTAP13-2	0.289
FLJ36874	-0.202666666666667
TOR1A	0.3265
P2RY4	1.7865
GPBP1	0.3375
TRPV1	-0.462125
ADAMTS12	-0.315
PES1	-0.2331
ATG4A	0.273333333333333
MAGEA10	-3.84925
WFS1	-0.831
CC2D1B	-0.162833333333333
PABPN1	0.09225
SLC25A30	0.0545
SLCO1C1	-1.14466666666667
SLC22A5	-0.104
KIF23	-0.436166666666667
SYN2	-0.1565
ASPN	4.604
CENTG2	0.345
QSOX2	-0.6052
FLJ10815	-0.562833333333333
STK24	0.381625
SPEG	0.8655
STK10	0.595833333333333
DACT2	-1.1805
AAAS	-1.22375
SSX3	-2.1055
ABCD3	-0.136
C4orf12	-1.0415
PARVG	1.37483333333333
FIG4	-0.19
C9orf46	1.01525
TMCO6	-0.458
IGHMBP2	-0.60875
DUS2L	-0.604166666666667
FAM3C	-0.718375
TMEM16D	0.27175
DCTN4	-0.079
KCNH3	-0.0465
EIF2AK2	0.7205
AP1S3	0.210625
CST4	0.9555
PAM	0.5689375
NUTF2	-0.12725
CITED2	-0.1591
SLC39A4	1.50525
C2orf52	-0.0735
GRM3	0.3725
C12orf49	0.2275
CCDC49	-0.2899
GRAMD1B	-0.515125
FNDC4	0.22925
SIAH2	0.079875
GDPD4	-1.413
C21orf87	1.022
ATP5A1	-0.269333333333333
C16orf63	-0.780875
LOC388135	-1.798
ATP5J2	-0.616125
MMP3	-1.46375
EMID2	0.37925
CRHR1	0.899
WDR70	0.7965
C13orf31	3.018
ZFAND1	-0.453
CCL18	4.61366666666667
C3orf49	0.137
RINT1	0.2665
KIAA0408	-1.71216666666667
F13A1	1.5824
SLC10A1	-0.4536
OGN	-2.73275
GIPC2	-1.47516666666667
XPO6	-0.4475
LCE1A	0.6635
FMR1	0.7141
LOC374920	-0.037
DUSP3	0.053625
ANKMY1	-1.14775
C7orf50	-0.5735
BBS9	-0.8383
UNC119B	-0.590625
C9orf72	0.017
MGC35440	0.8155
ENTPD6	-0.755
PPP1R2P9	0.874333333333333
ERCC4	-0.066
FAHD2B	0.2625
HMHA1	0.26
HACL1	-0.6885
RAD23A	-0.148666666666667
FAM83B	0.9515
PPP5C	-1.23016666666667
RNASEH2C	-0.465375
C9orf153	-0.723
SCAMP4	-0.028625
GHITM	0.2977
NDUFB7	0.537
ADCYAP1	3.29883333333333
SP110	1.36233333333333
MAP3K7IP2	0.5595
DHH	0.1135
AGRN	0.0148571428571429
WDR33	0.2575
CEP290	-1.70383333333333
PRPS1L1	-1.70783333333333
KLRA1	-0.5645
GPR97	-0.2395
CHD7	-0.67525
TLR10	0.968
SLC30A8	1.223
HIC1	0.631
IAPP	-0.095
RXFP4	0.85575
GP1BB	1.7465
SHQ1	-1.0005
NKX2-3	0.464166666666667
API5	-0.37
FTHP1	1.159
MOV10L1	-0.3135
TRIM6-TRIM34	0.592166666666667
ADHFE1	-0.575
FAM117A	-0.54425
DDI1	0.804833333333333
CDON	-1.3565
TRIM73	-0.742
IGKC	5.8485
MMP14	-0.206166666666667
DYNC1LI1	-0.470375
C11orf66	-0.11925
TRBV3-1	-0.22575
FASTKD5	0.40725
BIVM	-0.9345
LHX4	-0.96775
CXCL2	0.4945
RAB2B	-0.306666666666667
IZUMO1	-1.31375
MAP3K15	-1.388125
FAM19A2	0.3575
ZC3H8	0.394166666666667
ZMAT1	0.364
SPINK5L3	-2.7705
SLC10A6	1.278
APPL2	-1.111
CARD10	0.253666666666667
LOC402176	-0.59975
EEF1D	1.1467
RAB6A	0.592
C12orf5	0.049125
PAPOLG	1.08975
MSRB2	0.04925
BCR	1.06144444444444
PUS3	-0.1805
TIAM2	2.794
ZNF317	-0.2895
CHD2	0.134642857142857
FZD5	-0.69
NUDT8	0.4815
ZNF763	-1.5175
PRC1	-0.357666666666667
ABCB9	0.1215
SPATA3	0.29225
TRAK2	-0.2275
STAB1	3.3715
LRRTM2	-0.412666666666667
psiTPTE22	1.70425
DBI	1.018
SERPINA11	-3.2545
NAT5	-0.206
C20orf58	-1.7675
RPS6KA4	1.16783333333333
FLJ90650	-0.648
TGFBRAP1	0.07275
CHRDL2	-0.33375
FAHD2A	0.1555
CNTN1	0.18425
BBS4	-1.8918
TMEM181	-0.558
MINPP1	-2.1465
MPHOSPH6	0.399583333333333
HOXC10	-1.3882
ITPKB	-0.089875
CLPTM1L	0.503375
MEOX2	-0.9225
ATP6V0C	-0.0085
PRPF8	-0.527166666666667
TMC5	0.7275
FKBP3	-0.8015
PLEKHB2	0.226375
OR4D6	0.506
ZNF544	-0.5783
D2HGDH	-0.759
RPL18A	0.1831
HEL308	-0.103875
MPP6	-1.474
TCERG1	-1.14375
KRT16	2.43183333333333
KLF17	-0.84525
KLF5	1.14675
CDR1	1.2555
VCX3A	-4.208
FBLN2	2.39775
C14orf104	-0.23575
HBE1	-4.6002
OR4S2	0.9975
C1orf108	-0.947
ROBO4	3.22233333333333
CPEB4	0.084625
C11orf80	0.0488333333333333
BCKDHA	0.591333333333333
MYOC	0.387666666666667
GIF	0.957
CKMT1A	1.8985
RPL3	0.4697
THBS1	0.366625
APOO	-0.116
ARMCX1	-1.09925
HSZFP36	-0.401
SNAPC5	-0.34775
EIF4ENIF1	2.0585
ZNF433	-2.089
TNFRSF21	0.219625
TMPRSS7	0.2115
SPATA18	-0.5456
HPDL	0.9765
MKL2	-0.0048
TBX3	-0.121769230769231
C21orf93	0.363
DAXX	0.067
ELMO1	0.199125
RGS13	2.53933333333333
TAF11	-0.7885
UNC13A	-1.8245
LOC653314	-0.7168
ORC3L	-0.45025
IMAA	-2.535
TARBP2	-0.71975
CABIN1	-0.1745
TRIOBP	0.391
HIST1H2AC	1.636375
RGS22	-3.51533333333333
NCOA1	0.7695
IL25	0.274
SNCG	-0.5435
GPR6	0.407
AMDHD1	-1.83233333333333
CHEK2	1.020625
C6orf142	-0.802
DRD4	0.711
C14orf68	-0.79125
GDF11	-1.68975
SEMG2	0.849
CD247	0.52625
CDAN1	0.00325
RBMX2	-0.307666666666667
TGS1	-1.35575
OIT3	0.514
SYF2	0.2885
MCM4	0.06825
PKHD1L1	0.72075
CEP192	-0.462333333333333
IFT88	-0.1955
RPL9	0.235357142857143
RAB32	0.042
DDX43	-2.90575
P2RX2	0.45
OR5D18	0.322
UBE1	-0.405416666666667
SLC24A1	-0.402875
ARHGAP5	-0.5865
CETP	-0.40225
KIAA1731	-0.371166666666667
SLC9A4	0.049
PTPN6	1.38025
BAHD1	0.13225
GRIK3	-0.163
CACNB2	-1.0708
PDE10A	-0.8995
DGCR14	-0.04675
PCDHB9	-0.470666666666667
RHOQ	1.139
MAP3K4	-0.4855
KTI12	0.894333333333333
RPL23AP13	-3.0265
GNG11	-1.77925
CLCN3	0.112666666666667
GPAM	-1.448
VSTM2A	0.5725
SLAMF7	5.2285
INTS2	-1.2275
PPP2CA	-0.9855
LRP12	-0.0561333333333333
SEC14L2	0.607222222222222
DKFZP586H2123	1.027
MC3R	-1.5625
CIRH1A	-1.26716666666667
HIST1H2AB	0.453
POLH	-0.209125
MGC16703	-1.49266666666667
SNAPC2	-0.207
FILIP1L	-0.38025
RASGRP4	-0.944
LRRC1	1.7105
GAS1	2.39325
PRAC	-0.7485
DGKA	-1.22283333333333
NT5C3	-0.877
PEG3	-4.09416666666667
NADK	-0.00874999999999999
PRR17	0.7555
LOC374569	-0.089
SGSH	-0.153833333333333
NLRP8	0.833
GALT	-0.1266
MCF2	0.4495
ZNF263	-0.72925
TACSTD1	1.94183333333333
TYR	-6.097
ATP6AP2	-0.30825
RNUXA	-0.61975
ABHD10	0.3401
GDPD2	-0.81825
SLC35C1	0.51525
UBE2A	0.821625
HERC5	0.739166666666667
FAM112B	-3.75233333333333
FBXL16	-1.5555
DKFZP434A0131	-0.9145
ELA3A	-2.022
RBM41	-0.632625
HAO2	1.08833333333333
RNH1	-0.422125
SHANK2	1.27133333333333
OSBP2	-1.54
DAK	-0.907
C3orf58	1.1275
TCL1B	-0.3815
KBTBD2	-0.73775
SUGT1L1	0.04675
UBE2E2	0.874833333333333
