Hybridization REF	TCGA-AN-A049-01A-21R-A00Z-07
NUDT12	0.895166666666667
NCAM1	-0.292
GLIS2	0.431
GGTL4	-0.939
DAPP1	0.272
ATF7	0.56
KIAA0748	-1.22225
NFIL3	-1.1715
TM6SF1	0.6498
SEZ6	0.81125
NANOS3	-0.144666666666667
DNAJA3	0.355666666666667
CLDN6	-1.9475
CIITA	2.5559
EPHA4	-0.70225
FANCC	-0.53775
CMTM3	0.277375
PSG3	-0.10125
MRPL15	-0.00724999999999999
C21orf59	-0.26975
PLCXD2	-0.07
C2orf34	-0.482875
UBE2L6	1.95325
MED14	-0.139166666666667
HP1BP3	-0.4384
C6orf208	0.2845
TPBG	1.80725
OSR2	0.746625
XPC	0.405666666666667
KLHL7	-0.915166666666667
CCR3	-0.396333333333333
AGTPBP1	-0.729166666666667
PCSK6	-0.851866666666667
STAT5A	-0.9878
FAM18B	0.62275
LONRF2	0.490166666666667
PTPN2	-0.44275
SF3A3	-0.848833333333333
EFCBP2	0.05725
HCFC1	-0.471
AHNAK	0.7297
ACTR5	-0.03325
KIF14	-1.89257142857143
TENC1	1.1005
HEATR5B	0.8495
YIPF2	0.7455
MYEOV2	-0.3225
DUSP18	1.0455
KIAA1012	0.61175
AHR	1.08933333333333
C17orf53	-0.643333333333333
PTPRH	-3.42175
ATP6V1C1	1.0382
TAS2R3	0.1945
LOC440356	-1.47575
COQ10B	0.787
PSMF1	0.220666666666667
SORBS2	0.35425
NFE2L2	-0.163
TMCO7	-0.69925
SH3PXD2A	0.4628
SH2D2A	-1.151
SPINK5	-3.78125
MRPS24	-0.39975
OPA3	0.000375000000000014
TRAF7	1.60083333333333
C4orf35	0.334333333333333
MT1G	-1.228625
MGC39545	0.241666666666667
HS1BP3	0.5104
OR2B2	0.3965
CHRM4	0.00899999999999995
SFRP2	3.287
RIC3	-0.98675
ART1	0.0975
C6orf1	0.82625
DUS4L	-1.6205
C10orf104	0.39475
TNFAIP6	2.724
RTEL1	-0.75725
CCT4	-0.5566
ZNF709	-0.2755
CHMP6	0.594333333333333
UPP2	0.78525
CYP19A1	-1.226375
CD151	-0.615833333333333
NDUFA13	0.328833333333333
ARFRP1	-0.843166666666667
FAM26B	1.93525
CRYBA1	-1.495
MRPL41	-0.337
NPFFR2	-0.0255
HRH2	0.1645
SCAMP3	0.0521666666666667
MTMR6	0.9199
MTG1	-0.7975
UBTD1	1.085
CRABP1	-2.694
FLJ33790	0.467
KIAA1908	-1.26883333333333
GPR158	-2.63325
PACSIN3	0.397166666666667
OMD	2.209
CATSPER1	-0.385666666666667
HOXB8	-1.98725
FBXO46	0.6535
OAS1	3.2135
SVIL	-0.32925
PHB2	-0.51625
ADCY3	-0.5635
NDRG2	0.866166666666667
ERMAP	0.6766
APBA2	-1.6235
IGSF9	0.39175
WNT6	-0.769571428571429
MYCBPAP	2.08875
ATP2B2	0.3015
CPVL	-0.8665
TRAM2	-1.09966666666667
NOP5/NOP58	-0.42075
ZNRF4	-0.143
TLK1	0.405
MTMR12	0.614714285714286
ZNF384	-0.0291666666666667
FAM9B	-2.73325
RPN1	1.7309
PMVK	0.27025
EIF3D	-0.3058
SIX2	-1.15425
HPS1	0.629142857142857
RNF7	1.12675
PSKH2	0.1975
KCTD13	0.126333333333333
CSMD3	-0.9679
FBF1	-0.043
IL8	-5.02025
SERPINB13	0.624363636363636
FBXL20	1.0005
BLR1	0.3645
SH2B1	-0.668333333333333
RFNG	0.058125
RAB20	0.883666666666667
RBM7	-1.0215
POLR1A	-0.427
TMPRSS4	2.9455
TAF9	-0.270875
TERF2	-0.114333333333333
TNFRSF1A	0.753833333333333
ACADVL	-0.5545
GTF2H5	0.843
EDG8	-0.414333333333333
C9orf140	-1.9945
UST6	0.21
ZBTB8OS	0.61775
ZNF710	0.353
GPR174	-0.9145
ATP6V0A2	-0.15375
KIAA0319L	-0.0070833333333333
XKRX	0.161
DOPEY2	0.8921
SDHD	-0.733083333333333
SUMF1	1.12175
OSM	2.91725
OPN3	-0.83175
DAGLB	-0.136333333333333
PPFIBP1	0.2665
TRIM63	-2.68475
C10orf53	0.5415
LYPD3	0.196333333333333
BCL7A	-0.265625
AGER	-1.2235
TCF19	-0.6325
SAT2	-0.4385
PFTK1	-0.180666666666667
GABRE	-2.918125
C15orf38	1.1367
FIS1	-0.519
KCNV2	-0.18525
CLPS	0.622
PPCDC	-0.727375
FOXN2	0.402
NT5E	-2.5459
CD83	0.21725
IL18	0.882875
VPS16	-0.11025
IGFBP2	-1.26333333333333
NOTCH2	0.29775
SIGLEC1	3.160625
CD93	4.9555
SULF2	0.13375
CEP164	-0.60075
P53AIP1	0.7475
TOR2A	0.000833333333333316
ZNF136	0.42475
MGP	3.917
CCDC144A	0.387
TRPC1	-1.1065
SMS	-0.415333333333333
MAPK7	0.0085
RRAGC	0.57775
PARD6A	0.233666666666667
NUB1	-0.328
SYNGR4	0.315
OR11H12	0.035
WIF1	0.214
GCH1	0.0465
OR11H4	0.016
SLC44A5	-0.869
GPRIN2	0.198
LOC401431	-0.5365
CPA4	-2.7384
MELK	-2.31211111111111
IL15RA	0.4505
CUL3	0.34975
HMBOX1	-1.94225
PODXL	-2.01675
CCT6B	2.71333333333333
COMTD1	0.16825
MUC20	3.53083333333333
GPX2	-2.288
ITK	-0.0495
FBXL5	1.6255
C13orf27	-3.35175
DEFA5	0.4515
TRHDE	-0.2665
MTP18	-0.964
UQCRQ	0.7622
ITGB2	1.62491666666667
CSRP2BP	0.0805
TAS2R44	0.2495
PHPT1	-0.193375
FAM44C	0.2945
ERH	0.2955
MPHOSPH1	-1.278
MORC1	-0.1145
PARVB	-1.2885
LAMA1	-1.82991666666667
PGBD3	0.328
GIMAP6	3.97525
AREG	-0.761666666666667
LIPT1	-0.1795
MGC99813	-0.204
C1orf201	-0.166
GRIN2A	-0.6791
MAN2C1	-0.633625
NSUN5	-1.1955
SF3B5	0.648
MYC	-1.0391875
NRXN1	-0.36975
ZNF18	0.892
SPDYA	0.602875
SLC37A1	1.317
DECR2	0.3105
ANKRD38	1.227375
SPTLC3	-0.511083333333333
SUPT16H	-0.737125
DTWD2	1.0225
ULBP1	-0.9715
ZADH1	0.0573333333333333
OIP5	-1.80675
IL10RB	0.267833333333333
OTUB2	0.40325
VWA3A	0.700833333333333
SPIC	0.442
OR6C4	0.169
PSCD4	1.1045
DPY19L2P2	-0.858
TRAPPC6A	0.536333333333333
C21orf2	-0.784666666666667
CEMP1	-0.02325
LIN7B	-0.211
E2F7	-1.603
VCP	-0.1224375
LAMA3	0.916583333333333
BGN	1.63125
GPR160	1.502
COCH	-4.15216666666667
GPR81	1.18366666666667
APOBEC3F	-1.8845
tcag7.1017	-0.9275
C1orf32	0.2915
SCGB1D2	5.89925
FLJ43987	-0.5175
C6orf170	-0.09675
KLK9	0.341
GPD1L	0.462
VPS37B	-0.35175
ATG3	0.729833333333333
ADAMTS17	0.1885
KLHDC2	0.232166666666667
NDUFV2	0.52775
BLK	-1.954
MATN4	-0.1545
GPM6A	-0.4375
GBP4	3.4475
TMEM162	0.609166666666667
PKP2	-0.972
HRASLS	-1.40377777777778
MMP1	-0.56875
SFXN3	0.1943
FSD1	-1.67333333333333
ST6GALNAC3	-1.7755
CA12	3.324
NCOA6	0.3235
C19orf58	0.4876
PPP4R1	0.231
MAN1A2	1.3695
IKBKAP	-1.267
UPF1	0.4175
KIAA1219	-0.25225
WNT16	0.158333333333333
SNW1	0.138375
IL18RAP	3.20175
RPP30	-0.16575
CDC40	0.379428571428571
SETD3	0.0491666666666667
SLAMF6	0.36925
ELK4	0.174
TRIM47	0.8815
ACOX3	0.328875
TRIM6	1.432875
KIAA0372	-0.574166666666667
TP53AP1	0.693625
SMURF2	-0.2275
ADAD1	0.228
EBP	-1.0132
KRTAP13-2	-0.191
FLJ36874	-0.697833333333333
TOR1A	0.038
P2RY4	0.8365
GPBP1	0.3555
TRPV1	0.3915
ADAMTS12	0.779
PES1	-0.7851
ATG4A	1.12916666666667
MAGEA10	-4.6085
WFS1	1.97825
CC2D1B	-0.356833333333333
PABPN1	-0.21075
SLC25A30	0.64475
SLCO1C1	-1.15533333333333
SLC22A5	1.24875
KIF23	-1.62866666666667
SYN2	-0.219166666666667
ASPN	8.24
CENTG2	0.3135
QSOX2	-2.0336
FLJ10815	0.0516666666666667
STK24	0.0356875
SPEG	0.2312
STK10	0.4825
DACT2	-1.5885
AAAS	-0.7685
SSX3	-1.402
ABCD3	1.7315
C4orf12	-0.495875
PARVG	0.751166666666667
FIG4	0.878
C9orf46	0.82075
TMCO6	-0.565
IGHMBP2	-0.46
DUS2L	-0.909166666666667
FAM3C	-0.674375
TMEM16D	-2.257625
DCTN4	0.90875
KCNH3	-0.29675
EIF2AK2	2.38375
AP1S3	0.318
CST4	2.1325
PAM	0.57875
NUTF2	-0.44175
CITED2	-0.5178
SLC39A4	-0.93825
C2orf52	-1.5255
GRM3	0.3235
C12orf49	0.456125
CCDC49	0.8844
GRAMD1B	-1.240125
FNDC4	0.1435
SIAH2	2.416625
GDPD4	-0.4385
C21orf87	1.19975
ATP5A1	0.0898333333333333
C16orf63	0.818
LOC388135	-0.705833333333333
ATP5J2	-1.047875
MMP3	0.059
EMID2	-0.07025
CRHR1	0.44225
WDR70	-0.3
C13orf31	1.649
ZFAND1	0.23275
CCL18	3.79366666666667
C3orf49	-0.731
RINT1	-2.6315
KIAA0408	-1.599
F13A1	4.8978
SLC10A1	0.0548333333333334
OGN	1.35675
GIPC2	-1.09216666666667
XPO6	0.0883333333333333
LCE1A	0.5695
FMR1	0.4837
LOC374920	0.33375
DUSP3	0.52075
ANKMY1	0.1035
C7orf50	0.7195
BBS9	0.4868
UNC119B	-0.997
C9orf72	-0.137375
MGC35440	-1.00375
ENTPD6	0.322
PPP1R2P9	0.624
ERCC4	0.57375
FAHD2B	0.0605
HMHA1	0.2815
HACL1	0.10725
RAD23A	-0.0401666666666667
FAM83B	-1.2955
PPP5C	-0.634666666666667
RNASEH2C	1.367375
C9orf153	0.33975
SCAMP4	0.49075
GHITM	0.7502
NDUFB7	0.383
ADCYAP1	1.12
SP110	3.1545
MAP3K7IP2	0.6685
DHH	-0.0805
AGRN	-0.105428571428571
WDR33	0.495833333333333
CEP290	0.190166666666667
PRPS1L1	-0.998
KLRA1	-0.224
GPR97	-0.2015
CHD7	-0.0800833333333333
TLR10	1.0785
SLC30A8	3.2995
HIC1	1.24633333333333
IAPP	0.3565
RXFP4	0.30675
GP1BB	0.3065
SHQ1	-0.189
NKX2-3	0.4455
API5	0.1125
FTHP1	1.831
MOV10L1	0.745666666666667
TRIM6-TRIM34	2.10516666666667
ADHFE1	1.46225
FAM117A	-0.37825
DDI1	0.327666666666667
CDON	0.544166666666667
TRIM73	-1.693
IGKC	2.7215
MMP14	-0.148333333333333
DYNC1LI1	-0.82375
C11orf66	0.691
TRBV3-1	-2.187
FASTKD5	-0.149
BIVM	-3.088
LHX4	1.54825
CXCL2	-1.2821
RAB2B	-0.500333333333333
IZUMO1	-0.496
MAP3K15	-2.1025
FAM19A2	0.0583333333333333
ZC3H8	-0.4035
ZMAT1	1.4555
SPINK5L3	-1.51575
SLC10A6	0.893
APPL2	0.10975
CARD10	-0.7095
LOC402176	-0.38225
EEF1D	1.3055
RAB6A	0.9882
C12orf5	-0.757375
PAPOLG	0.2045
MSRB2	-0.09675
BCR	-0.113888888888889
PUS3	-0.54425
TIAM2	0.0485
ZNF317	-0.1425
CHD2	0.171428571428571
FZD5	-1.60654545454545
NUDT8	-1.40275
ZNF763	0.143
PRC1	-1.24088888888889
ABCB9	0.951333333333333
SPATA3	0.13375
TRAK2	0.3665
STAB1	3.13725
LRRTM2	0.0816666666666667
psiTPTE22	0.1805
DBI	0.5015
SERPINA11	2.2545
NAT5	0.62725
C20orf58	-2.14925
RPS6KA4	0.488666666666667
FLJ90650	0.00375
TGFBRAP1	-0.06875
CHRDL2	1.049375
FAHD2A	-0.145833333333333
CNTN1	0.281
BBS4	-0.2254
TMEM181	0.07275
MINPP1	0.44475
MPHOSPH6	-0.689916666666667
HOXC10	-0.8864
ITPKB	0.030625
CLPTM1L	-0.041375
MEOX2	0.166333333333333
ATP6V0C	1.2315
PRPF8	-0.649166666666667
TMC5	3.15025
FKBP3	0.116
PLEKHB2	0.14075
OR4D6	0.3405
ZNF544	-0.7324
D2HGDH	-0.73475
RPL18A	-0.5402
HEL308	-0.40875
MPP6	-3.988
TCERG1	-1.12475
KRT16	-0.910666666666666
KLF17	-0.73475
KLF5	-0.918
CDR1	2.191125
VCX3A	-4.609
FBLN2	1.634875
C14orf104	-0.69675
HBE1	-4.5626
OR4S2	1.695
C1orf108	-0.0635
ROBO4	3.29766666666667
CPEB4	1.259375
C11orf80	-0.527833333333333
BCKDHA	0.765833333333333
MYOC	0.57775
GIF	0.2325
CKMT1A	0.0545
RPL3	-0.3641
THBS1	3.00475
APOO	-0.10125
ARMCX1	1.56125
HSZFP36	0.08575
SNAPC5	0.01875
EIF4ENIF1	0.13325
ZNF433	-0.02775
TNFRSF21	-0.196625
TMPRSS7	0.548
SPATA18	0.1061
HPDL	-3.1395
MKL2	2.032
TBX3	-1.31630769230769
C21orf93	0.1745
DAXX	0.2295
ELMO1	-0.064625
RGS13	1.33166666666667
TAF11	-0.90425
UNC13A	-2.183625
LOC653314	0.9119
ORC3L	0.42025
IMAA	-2.616
TARBP2	-0.31675
CABIN1	-1.0368
TRIOBP	-0.2015625
HIST1H2AC	0.7365
RGS22	3.28016666666667
NCOA1	1.2065
IL25	0.7575
SNCG	0.5585
GPR6	0.778
AMDHD1	-0.168166666666667
CHEK2	-1.338625
C6orf142	0.297
DRD4	0.362
C14orf68	-0.74475
GDF11	-1.11625
SEMG2	-0.814
CD247	-0.91175
CDAN1	-0.05475
RBMX2	-0.145166666666667
TGS1	-0.4995
OIT3	0.633
SYF2	-0.22025
MCM4	-1.6255
PKHD1L1	-0.0385
CEP192	-0.723666666666667
IFT88	1.34375
RPL9	-0.881285714285714
RAB32	0.1415
DDX43	-2.00925
P2RX2	-0.0313333333333333
OR5D18	0.7875
UBE1	0.138333333333333
SLC24A1	0.80625
ARHGAP5	0.2415
CETP	-0.431
KIAA1731	-1.23083333333333
SLC9A4	0.79
PTPN6	1.18775
BAHD1	-0.31975
GRIK3	1.469
CACNB2	-1.1551
PDE10A	-0.64225
DGCR14	-0.40625
PCDHB9	0.0355
RHOQ	0.268666666666667
MAP3K4	-0.28825
KTI12	-0.140166666666667
RPL23AP13	-0.5165
GNG11	-0.91525
CLCN3	0.4365
GPAM	-0.504375
VSTM2A	1.031
SLAMF7	1.84016666666667
INTS2	-0.5375
PPP2CA	0.3925
LRP12	0.1342
SEC14L2	1.27722222222222
DKFZP586H2123	2.58925
MC3R	-0.3795
CIRH1A	-1.8165
HIST1H2AB	1.30116666666667
POLH	-0.582375
MGC16703	-1.88583333333333
SNAPC2	0.4585
FILIP1L	1.32325
RASGRP4	0.5255
LRRC1	1.43875
GAS1	1.10425
PRAC	-1.46475
DGKA	-0.714833333333333
NT5C3	0.48075
PEG3	-3.28875
NADK	-0.44225
PRR17	-0.1955
LOC374569	-0.07675
SGSH	0.263833333333333
NLRP8	0.115
GALT	-1.2581
MCF2	-1.1765
ZNF263	1.0675
TACSTD1	1.068
TYR	-6.0481
ATP6AP2	0.582
RNUXA	-0.21225
ABHD10	0.3919
GDPD2	-0.98125
SLC35C1	-0.2495
UBE2A	0.356625
HERC5	0.386666666666667
FAM112B	-4.2865
FBXL16	-3.39925
DKFZP434A0131	-0.84975
ELA3A	-2.2945
RBM41	-0.708125
HAO2	-0.56975
RNH1	0.25975
SHANK2	0.573833333333333
OSBP2	-1.89025
DAK	-0.114333333333333
C3orf58	-0.0196666666666666
TCL1B	-0.167
KBTBD2	-0.102625
SUGT1L1	1.34775
UBE2E2	0.314166666666667
MYL9	2.520625
CDC23	-0.505666666666667
PBXIP1	1.0916
CXorf40B	0.135
NBL1	0.23775
RTBDN	0.295
RAB11FIP5	0.347125
TTTY13	-0.0845
SCOTIN	-0.061
SOHLH1	-0.837333333333333
CDKN1A	0.403642857142857
NCK1	1.0715
ZNF550	-0.16025
SAPS3	1.05091666666667
SPIN3	-0.0241666666666667
MAGEE2	-0.36075
MIS12	-0.276
OR8H2	0.364
KIAA0774	-0.241166666666667
UNC5D	-2.3665
CUL7	-0.379666666666667
LIPC	-3.37083333333333
DIO1	-1.9525
C20orf11	-0.4672
CTRL	-0.92
HS3ST2	2.258
PAK4	0.561166666666667
CCRL1	3.28225
RNF10	0.573625
ZNF567	-0.42425
ZNF660	-0.784
TCEAL3	2.59
MAGOH	-0.575
CENPB	-0.198666666666667
C19orf7	0.742625
LOC388965	0.467
ZCCHC13	1.2385
JMJD1A	-0.8989
HIST1H4H	0.199
TBRG1	-1.0261
GPC3	-4.32475
TAF1C	-0.851375
EBNA1BP2	0.308
CIAPIN1	-0.962
PDGFRA	0.0801111111111111
CSTB	-0.61675
CENPI	-1.48766666666667
GTF2E2	-0.931166666666667
RPP21	0.2185
CCNF	-0.451
KCNQ3	1.07
FAM79A	0.80275
SLC22A12	0.1855
NOVA1	2.96583333333333
FZD3	-1.1829
AKAP8	-0.4325
SOCS5	0.012875
CFDP1	-1.4295
DLG5	1.12425
PGM5	0.504333333333333
C1orf144	0.305
HDAC10	-1.2105
RND2	-0.965
C20orf199	-1.46275
RNMT	-0.116375
SLURP1	0.066625
ASTN1	-0.358125
SH3BGR	0.83725
MYCL1	0.03025
ZHX1	0.89
CENPK	-2.404
FOSB	0.5606
LOC643406	0.292625
C2orf59	-0.8485
TMEM135	0.57475
SLC27A2	-0.0555
KRT33A	1.751
OVOL1	1.108875
PAMCI	-2.4915
S100A7	-0.4145
ZNF789	-2.3885
HARS2	0.14925
RPL23A	-0.4375
TCF23	0.4
UPF3B	-1.783375
C17orf78	1.232
HLA-DOB	1.0735
C14orf142	0.4765
TEKT5	2.04433333333333
DMWD	0.1465
POLD1	-1.91666666666667
GSCL	-0.092
CALD1	0.5597
SCRT1	0.212833333333333
AIG1	1.7455
UNC84B	-0.7625
ZNF404	-1.86375
TMED6	-2.83975
KIAA1462	0.518
LRRC27	1.59866666666667
PYGO1	-0.467
PIGU	-0.706166666666667
ALAS2	-3.7775
WRNIP1	0.44925
CNNM3	0.4955
ZNF2	0.37825
ST3GAL5	-1.17916666666667
MRPL23	-0.07475
TSSK6	-0.2595
PSMA6	0.391
C16orf70	0.01725
KIAA1602	-0.1055
ALMS1	-0.0535
DCN	2.550375
TMEM132D	-0.67475
SUCLG2	-0.396
ABHD14A	-0.0605
DEXI	0.644166666666667
AMPD2	-1.00433333333333
IFNAR2	-0.042
CYB5A	3.3527
TLOC1	0.67015
NXF5	-0.446
NRBF2	0.17125
KCTD3	2.03175
ITGAE	0.309166666666667
SLC30A3	-2.14016666666667
ZRF1	-1.4665
IFRD2	-1.154125
XAB1	-0.058
PYCR2	-0.00316666666666665
SERPINB3	-3.867
TMLHE	0.3628
GEFT	-1.2785
ABCA5	-0.502625
EMR4	0.288666666666667
TSFM	-0.496
HIST3H2BB	0.08925
ARHGEF19	-0.10075
TSPAN17	0.9275
ABCC8	2.27625
MAP1S	0.1745
C22orf36	-0.37475
BNC2	0.130642857142857
HIST1H4A	-0.49825
NDUFS3	0.0103333333333333
WDR3	-0.8425
XKR4	-0.39425
TTC33	-0.528071428571429
STMN2	3.46125
CPN2	-0.575166666666667
HSPC105	0.969125
PCOLCE2	-2.359
C3orf55	1.999
KLHDC9	2.96483333333333
TBC1D23	0.952875
ATXN2L	-1.1315
MAP2K3	-0.1705
SCAP	-0.769
ZNF486	1.151
C20orf96	-0.11325
NARS	-0.24475
ADAMTSL1	-0.605357142857143
PRCC	0.317
CCDC126	3.23791666666667
ZNF675	0.5125
CALCOCO1	0.76075
ANKRD43	0.63125
CWF19L2	-0.459833333333333
ZBTB32	1.32366666666667
BRAF	-0.11075
ODF4	0.0345
MGC14376	1.75016666666667
HORMAD1	-1.56366666666667
AAK1	0.300666666666667
PEBP1	0.458416666666667
TNFSF5IP1	0.0783333333333333
DKFZp564N2472	0.20225
RMND1	0.58525
IGKV1-5	3.36775
COL1A2	3.2485
SERPINA5	1.0165
AANAT	0.2715
C19orf21	1.30833333333333
GEMIN5	0.20075
UBR4	-0.520333333333333
LTBP3	1.27883333333333
AMHR2	-2.395
PROCR	-0.548
MYBBP1A	-0.94375
C20orf39	1.233
ZNF697	-1.09625
PASK	-0.8329
ZNF776	0.726666666666667
RFXDC2	0.369625
KIAA0467	-0.05425
C10orf96	-2.548
ZNF503	-1.525
GULP1	-1.03691666666667
KCNE4	2.95233333333333
DKFZp434K191	-1.0065
LOC196913	0.4
BHLHB4	0.284
CH25H	0.0705
LOC81691	-0.3705
ALPL	0.803428571428571
COL12A1	2.639375
FOLR3	-2.49366666666667
GPR123	0.446714285714286
TRIM62	0.818214285714286
ABLIM1	0.300666666666667
MAST3	-0.60575
RHBDD1	0.664
LOC338809	0.6965
RYBP	-0.21175
TTC26	-0.1595
ZNF22	0.0433333333333333
ISCA2	0.2705
RDM1	-0.827
PIGM	0.78425
GNB3	-0.9345
ACTR2	0.6717
HMGB1	0.128
EDG1	3.40066666666667
SOAT2	-3.46875
OR10AD1	0.258
RAP1GDS1	-0.2685
LCE1F	0.332
ESM1	-0.718125
RCN3	1.954
CREBL1	-0.23425
DBNL	0.493666666666667
PTGER3	3.035625
USP30	0.942666666666666
BCL2L12	-0.7075
KIF26B	2.287
ZNF416	-0.075
ZNF225	-0.2555
C17orf70	0.2945
ZNF554	0.8885
RAE1	-0.933166666666667
TNIK	1.911
ACTN3	0.6585
MGC45922	0.1485
CCNA1	-0.0116666666666667
RYK	0.9125
IL26	0.603
LRP3	0.175333333333333
QARS	-0.81325
SOX7	0.467714285714286
BID	-0.642125
OR2S2	0.951
CXCL14	4.77475
C11orf47	-0.7645
MGC29891	1.09633333333333
HSPB8	2.9485
PRDM14	-1.1525
NUFIP2	1.07975
MNAT1	-0.151125
ZDHHC2	0.315583333333333
MBNL2	0.05975
ADD3	-0.47225
CSNK2A1P	-0.28425
KLK6	-1.50316666666667
TMEM111	1.5722
KIAA1279	1.0015
NUBP2	0.865333333333333
RAB42	-1.32625
ID3	-0.9612
TM9SF1	0.547
MDP-1	0.54275
POU4F2	0.37525
IQCK	2.28325
C16orf14	0.2045
CAPN3	-1.263375
FAM43B	-0.431125
RECQL	-0.47575
AP1G1	-0.496928571428571
CTNNBL1	-0.251
ECHDC1	-0.425333333333333
SMARCC1	-0.7458
FOXQ1	-1.251625
GNAI3	0.07
POLG2	-1.397
CD4	1.038375
ITLN1	-0.641
EBI2	4.063
IRF1	0.42175
PTPRE	1.2952
PTK2B	-0.6345
NXNL2	1.5005
SOX4	0.392722222222222
TSPAN3	0.901333333333333
SH2D1A	-2.60716666666667
C8orf58	-0.783
USP20	-1.1785
DUSP22	-0.663416666666667
CALB1	-1.686
L3MBTL2	0.343
MCRS1	0.30975
TMEM118	0.164666666666667
C18orf8	0.767
FLJ10241	-0.487
GJA12	0.52025
PKD1	-0.287333333333333
ZFP3	0.376
JAM3	-1.08375
LAPTM4A	1.5688
DIRC2	1.945
KIAA2022	0.651333333333333
MYOM1	-0.4835
TRPM8	-3.02266666666667
MOP-1	0.44125
PHKG2	0.30975
ZNF650	0.746375
KIAA1522	1.32725
PSG8	-0.3195
DDX19B	-0.084
MOBKL1B	0.96475
DIAPH2	-0.35825
PTPN12	-0.47625
CLN8	-1.3888
CRYZL1	0.196166666666667
CRY2	0.2575
FCGR2B	3.7555
PNPLA4	1.51975
ZNF454	-0.4765
DKFZp434B1231	0.08925
CLDN11	0.2153
RFWD2	0.7355
CIB2	-0.657833333333333
MXRA8	2.586625
HRK	-0.24425
MAML2	-0.5865
C4orf31	-0.30175
C6orf192	-0.19725
COG6	0.775125
FAM5B	1.1035
NFATC1	0.7594
SEPT10	-0.528
SCYL1	0.7095
RPP40	-0.3705
SCOC	0.9948
KIAA1450	-0.088
CTDSPL2	-0.56025
TBX5	1.41033333333333
NAPG	0.715875
RHD	-4.191
C14orf45	1.88966666666667
ZBTB22	0.5615
PLCG1	-1.717
ANKRD10	-0.951375
AQP7P2	1.46175
TAGLN2	0.3315
HTR2C	-1.269
SLC16A7	-0.556166666666667
C17orf83	0.147333333333333
TSGA14	-0.749833333333333
MDH1	0.0205
PPP3R2	0.0136666666666667
DCBLD2	-2.54442857142857
RBM33	-0.874
DPH3	-0.29625
SYT10	-1.063
FMO4	2.221
THYN1	-1.27125
DRD5	-1.307
OTOR	0.2705
PGRMC2	0.2461
KATNAL1	-0.023375
PAQR6	-2.2465
UBE2I	0.2455
C14orf28	1.074
C8orf70	0.22625
FLYWCH1	0.01425
ANGPTL3	-1.08075
GLRX2	0.217333333333333
ATP11A	-0.594
ARL5B	0.133625
MUC16	-2.04375
SLC25A5	-0.467571428571429
ACRC	-1.0005
MYO1C	-1.118875
FAM89B	1.587
FAS	0.55425
KIFAP3	1.5045
GLRA2	0.799
BTN3A2	0.1734
CNKSR3	-0.20775
CSTF3	-0.386166666666667
ARPM1	1.8815
KIAA1530	0.934
C9orf150	1.27233333333333
PRKCI	1.15975
tcag7.1015	-0.72025
SOD3	-0.82075
ZNF574	0.07675
CYP21A2	2.10725
RPL12	-0.234
COMMD2	-0.069
WIZ	0.0575
LOC344405	-1.36875
ALDH4A1	-1.25747058823529
CRYAB	2.46775
COPA	0.4474
PCDHGA7	0.508666666666667
KIF11	-0.853833333333333
RASD2	-0.15425
SLC26A3	-0.06
ZNF175	-1.825
JAKMIP2	-1.652125
C8orf4	0.753166666666667
PTHLH	0.521
SLC40A1	4.40775
OR7D4	0.5075
PCDHB17	1.278
CD36	3.84792857142857
C6orf203	0.7438
PRKG2	-0.0845
LOC400566	0.776
ANAPC13	1.2825
SLCO3A1	-1.02125
ZNF692	-1.7405
FANCL	-1.626
SH3GLB1	1.30375
C12orf61	-0.02
KBTBD6	-0.17675
SUPT5H	0.169625
XRCC6	-0.5325
HUS1B	1.4613
FAM133B	-0.859214285714286
LOC728276	0.631
KCTD18	1.004
SOS2	0.937333333333333
CCDC99	-1.37525
C1QTNF5	3.523
NNAT	0.857166666666667
USP16	-0.36075
LARS	-0.44875
ZBTB2	0.995875
ABO	-0.0923333333333333
TRAF3	0.384
GALNT5	-2.012
NAP5	1.341375
ALG14	1.69433333333333
KIAA0515	-0.643653846153846
WDR75	-0.184
TEX261	-0.178833333333333
LY86	1.05075
LOC389072	-0.9435
FLJ13611	0.5945
MRGPRX2	0.837
SNRPA	-0.884875
OR2G2	0.5925
GPRASP2	1.066
C7orf42	0.0343
C9orf163	-0.585
CYP11B2	0.0785
FCRL3	1.43583333333333
PRDX1	0.5275
FGB	-3.3735
COX17	1.92683333333333
C16orf33	0.06475
PIWIL1	0.399333333333333
FOLR1	-2.74766666666667
KIAA0082	-0.3405
FREQ	-0.983333333333333
TMCC2	-1.09283333333333
TCF12	0.257416666666667
ZNF721	-0.20275
FAM130A2	-0.025
POU4F1	-1.8505
SNRPF	-0.765875
SGIP1	1.291
ZNF641	0.904333333333333
EMG1	-0.49125
PRRG4	0.854
HIRA	-4.00925
MYNN	1.2625
AEBP2	-0.02475
TBXA2R	0.0441666666666667
ISL2	-1.4175
PCDHB11	0.4945
RNF144A	-0.794625
MARCH5	0.711
DULLARD	-0.613166666666667
DCLRE1B	-0.647333333333333
ITGA8	0.41175
TP73	-0.3035
PRKCD	1.184
NDUFB4	1.56125
ATP13A4	1.000625
ANTXR2	-0.751333333333333
COL4A3	-1.31116666666667
MYO10	-2.117
SLC6A18	0.844
PEX1	-0.87175
TMEM74	-1.298
RBM19	0.4865
TAPBP	0.9411
RUNX1	1.375
