Hybridization REF	TCGA-BH-A0DZ-11A-22R-A089-07
RFC3	-0.977125
FAM129A	2.3445
ILF2	-0.32675
FGFBP3	-0.240125
NOM1	-0.926666666666667
PSMA3	-0.34275
ASCC3	0.1612
ZYG11A	-1.4295
SOX21	-1.383
LYRM1	0.76825
DEFB1	3.6005
LOC91431	-2.61366666666667
OR7C2	1.1405
FAM46B	0.874
TMEM18	0.64
ARHGAP30	0.423666666666667
TMEM86A	2.70325
EPHA2	0.0593333333333333
C10orf46	0.7892
TCHH	-0.372333333333333
C3orf30	0.183333333333333
LOC285636	-0.366
PAIP2	0.14425
CYP2U1	0.3575
C12orf34	0.7385
SARS2	-0.2405
ZCWPW1	0.78725
SAMD12	1.476625
KIAA1430	0.46
ACAT1	-0.4805
MEOX1	3.591
ADAMDEC1	4.43175
PHKA2	-0.475
CARD11	-1.215
CALML4	-0.868
TSSC1	-0.39975
TMEM45A	-0.610777777777778
MPP7	1.71675
POU1F1	-0.12075
SLC2A13	-0.4707
FBN2	-0.943857142857143
ZC3H7A	-0.0459
LAIR2	-1.18425
ST3GAL1	-0.5625
LCT	-0.7225
GEMIN8	0.676166666666667
KLF16	-0.2068
HIF3A	0.0171
FAM44A	0.0926428571428571
AQP10	-1.1809
PLA2G2A	-0.711
FOLH1	2.58016666666667
C20orf186	-0.084
MAPKAP1	-0.41525
SPRR2D	-1.32775
UBQLN4	-0.227166666666667
RSHL1	0.164
PIAS3	0.002
MRPL24	-0.00775
GREB1	-1.217625
FAM27E3	-1.6745
NUP62CL	-0.78525
NEUROG3	-1.6745
REEP3	0.76725
MARK1	0.763
LMBRD1	1.53325
PRPF19	-1.6535
PNMT	2.13316666666667
CTGLF1	-1.138
SLC25A16	0.2955
EIF2B3	-0.85
RPA2	-0.0305
PAK6	1.16583333333333
CCDC26	-3.56775
SEMA3E	3.880375
MXD4	0.9457
TNFSF10	4.3302
SMARCB1	-0.052
DTX3L	0.896
PLA2G4E	-0.172
PPAP2A	1.7435
ULK1	-0.418916666666667
TAS1R3	0.2695
SLC2A3	-3.10172727272727
ARID3A	-2.887
GNG5	-0.4525
ACOX1	-0.0973
KIF5B	0.0915
NUP153	-0.425
MUC7	4.126
CSDE1	-0.0476428571428571
CLPTM1	0.523
C3orf23	0.299625
LRRC17	-0.666333333333333
TTYH3	-0.780875
ATP5B	-0.8995
ELF3	1.2763
CPSF3L	-0.3765
ZNF665	0.4995
TLR6	0.8338
GPI	-0.814375
RAD9A	-0.5725
NDST4	-3.1965
AGPAT3	0.520916666666667
MAGI3	1.21533333333333
ADORA2A	-0.618375
CACNG7	-0.0275
CAMK2D	0.319357142857143
CCHCR1	-0.65625
RPS27A	0.50575
OR10G7	0.000499999999999992
GCM2	-0.0045
FAM135B	0.6017
E2F1	-1.94525
PLCB3	0.10625
OR2AE1	0.319
COIL	0.379333333333333
CDC25C	-2.79583333333333
RAB11FIP2	0.694333333333333
TSC2	0.10775
CTGLF5	-1.3845
CCDC108	-0.231
OR13C4	0.31275
C10orf81	5.38975
PTPRB	1.57875
ACP2	-0.9
LAG3	-0.42
MRPL54	0.2815
LOC201175	-1.65
ITGB1BP3	-1.789
SPTAN1	0.409166666666667
SIPA1L2	-0.65275
RCAN2	-0.4415
CDX2	-0.7205
ECOP	-0.51075
ACTR1A	0.133857142857143
PPARG	0.437833333333333
BBS10	0.585666666666667
TMEM44	-1.294125
BPIL2	0.304
CITED1	2.078
IRF6	3.7065
PRDM4	0.47
RRP9	-0.348666666666667
OR10H4	0.134
IL31RA	-0.075
GNB1L	-1.1875
MYBL2	-2.857
ZNF407	0.874333333333333
PPIG	-0.342166666666667
TTC18	2.468
RPSA	0.047
MAPT	1.11228571428571
MRE11A	-0.242
C8orf37	0.4215
RASGEF1C	1.164
STBD1	0.72
CTAG2	-0.616
MGAT5B	-2.17183333333333
ECM1	0.810875
RLN1	1.2705
PARP14	0.32075
EPB41L1	0.5307
HOXA3	0.680833333333333
MAGEA9	-3.796
RPS8	0.804833333333333
RPS19BP1	0.06075
FOXJ2	0.618
C10orf76	0.244125
IL17RE	0.62525
C10orf65	-0.18375
ZNF343	-0.129833333333333
FBXO33	0.115
UHMK1	1.1778
LY6G6C	-0.0955
FGF19	-1.4985
C14orf128	1.19066666666667
IFIT2	1.377875
TIGD1	-0.639
S100G	0.5065
GUCY1B3	2.908
NR3C1	0.2797
CORO1B	0.125
PARP11	0.85125
DNALI1	3.90233333333333
OR4N4	0.19275
MAP2K6	0.953166666666667
FSTL4	-0.07375
ANKRD47	1.325
TMEM171	-1.129
PNLIP	0.22925
YY1	-0.210166666666667
CCDC138	-1.4745
AASDHPPT	-0.00820000000000001
CKS1B	-1.4328
MCM3	-1.087
ANAPC7	-0.182166666666667
FAM110A	1.11575
CDC37L1	1.46016666666667
THTPA	0.52575
NBPF20	-1.508
WDR24	-0.471
NPTX2	-3.898
CBLB	0.6095
CETN1	-0.694166666666667
RPUSD1	-0.2135
FAF1	-0.66175
CDK6	-1.4075
HMX2	0.1235
CSK	-0.619
TEAD2	0.51
SNAP25	1.6225
TUFT1	0.1876
TMTC3	0.742666666666667
LCK	-2.18575
SGOL1	-2.21183333333333
AKTIP	1.044
FURIN	-0.087
SOX12	-1.03366666666667
DEFB103A	-0.497666666666667
RAMP1	-0.1055
KIR3DX1	0.283
GAS2L3	-0.6505
PDE8A	-0.911
EDN3	6.1675
GMIP	0.2585
SF3A2	-0.737
FN3KRP	0.3
SMAD7	0.70925
RHBDD2	0.44075
OR11H6	0.792
PPP1R3B	1.7983
C9orf23	0.19775
CADPS	-2.2755
GOLGA8A	-2.219
TMEM57	0.0836666666666667
RGL3	-0.234
S100A14	2.0285
FGFR2	1.79975
XRCC3	-0.73525
RTN4RL2	-0.168
MGC3771	1.025
GH2	-0.339833333333333
BTBD2	0.47225
LMO2	0.51475
RDBP	-0.527875
ACRBP	-2.0525
AMY2A	2.673
DUOXA1	-0.1055
PTK7	0.839166666666667
TWF2	-0.0605
FAM80A	-0.861
TNNI2	-2.51516666666667
GLT25D1	-0.836833333333333
OCC-1	-1.868
CYC1	-1.14866666666667
RPL22	0.497545454545455
MORN3	1.23716666666667
DISP1	1.10225
PRB2	-0.1535
CHUK	0.385
HR	0.348625
CCDC134	-0.38525
DENND4B	-1.54
C14orf130	0.187375
RAB33A	-2.13375
DCST2	-0.0025
TNMD	0.8085
PEX7	1.33675
FAM62A	-0.223625
SRD5A2L	1.209
IL22	0.1505
RPS26	-0.9305
HOXC5	-0.028
SPATA6	1.28275
FLJ38482	0.30675
ZNF234	1.2845
C18orf22	0.9545
SPATA22	-0.07175
THOC1	-0.06825
CYP7B1	3.66125
KCNC3	0.63275
C8orf42	0.321
ALDH1B1	-0.716666666666667
CCDC100	0.2216
ARMC4	-1.09275
FAM18B2	0.1475
SLC44A1	0.8065
FBXO17	-1.30633333333333
C6orf107	-0.7395
C19orf29	-0.49325
ZC3HAV1L	-0.373
PARP6	-0.3849
SULT2A1	-4.082875
C1orf159	-0.8735
TMC1	-0.107
CHST14	-0.074125
GAMT	-0.523
SMCP	-0.00599999999999999
TSPAN33	1.05125
MIDN	0.13725
NOX4	-0.94975
RNASEN	-0.5232
TBX1	0.272333333333333
SALL2	0.2245
C10orf35	1.55225
CYP2E1	0.100375
LRFN2	0.873833333333333
ACO1	-0.872333333333333
IQCG	1.7436
MEGF9	2.3165
TM7SF4	0.903
PLEKHA1	0.663266666666667
STK33	-2.90875
C1orf210	1.80625
SNUPN	0.2677
KIAA0406	-0.7678
C20orf29	0.2035
TMEM55B	-0.1515
OSTM1	-1.2661875
CLCN7	-0.35075
OTP	0.124
FLJ23049	-0.4615
HEATR4	0.778
MAP3K10	-0.552166666666667
PCDHGA9	0.062
AMDHD2	-0.3315
LCTL	-1.134
PDCD2L	-0.83125
CABLES2	-0.769
SLC5A9	-0.3505
CLCA2	5.55583333333333
MGC16025	0.3035
STRAP	-0.544
C20orf196	-0.0185
RRBP1	-0.290666666666667
NAT13	-0.385
MAT2B	0.864375
CSNK1D	-1.142
KIR3DL1	-0.079
PRKAG3	-0.3915
ZNF599	1.393
PRM3	-0.186
PER2	1.3315
ASPHD1	-1.384
PRMT6	0.2075
KCNE1L	-0.6165
FAM118A	-1.08383333333333
TAF4	-0.57125
NDUFB6	-0.43075
TRIM9	0.0340833333333333
PMFBP1	-1.075
KY	1.208
DKFZp762E1312	-3.57918181818182
CSMD1	-1.339
TBP	-0.328166666666667
OR1Q1	0.145333333333333
RETNLB	0.17175
HPGD	2.04228571428571
DNAJC12	1.78283333333333
FKBP1B	-0.41
ANKRD24	-0.210833333333333
CXXC5	0.506666666666667
IL3	0.2385
DRAM	0.5352
PTCH1	-0.426375
TP53BP1	-0.34525
SLC17A7	-0.392125
COL25A1	-0.7711
AMACR	0.311833333333333
RHCG	0.87325
VPS13A	-0.260083333333333
FAM55D	0.3245
PRPF38B	-0.380333333333333
OSBPL6	-0.479
PFDN5	0.9447
CMTM6	1.3105
KCNK12	-1.662
RP2	0.3225
C16orf52	-1.45625
PICK1	0.8405
IFNE1	1.24583333333333
SEMA4B	0.77525
TYRO3	-1.67025
OR12D2	0.0575
CSNK1A1	0.74135
FANCF	1.25075
LONP2	0.618375
TBL1Y	-0.90725
LDOC1L	0.526875
CCNC	0.71975
C3orf60	-0.3585
CHKA	-0.485
UBAP1	0.52075
MAP3K1	1.9075
ANKRD9	-1.0745
FAM92A1	-0.721666666666667
GAB2	0.35
AZU1	0.75775
DIS3	0.11975
C21orf109	-1.017
IQCB1	-0.38675
SPATS2	-0.824833333333333
EFCAB3	-0.4955
PRB3	-0.352
FUZ	-0.207666666666667
ZNF813	0.49
BMPER	0.132833333333333
HEG1	-0.43175
ALS2CR11	-0.72175
SURF2	-0.16125
PSMC1	-0.112
OR2D2	0.5705
SLC7A8	1.89933333333333
C4orf40	0.31
SPATA7	0.73425
MAZ	-1.01441666666667
PIN4	1.08575
PDE1A	-0.089875
TAF6L	-0.302
OR2T34	0.1575
KIAA0284	0.7895
ACADS	0.557636363636364
MKRN2	-0.4145
C18orf56	-2.24975
MS4A6E	0.208333333333333
GALNT4	0.9788
C22orf31	0.479
FLJ36070	-0.4905
PSME4	0.2735
TFG	-0.0515
EPHX2	2.084
ANXA5	-0.1035
KRTAP1-1	0.224
BATF	1.65875
KARS	-0.8015
MSTP9	0.391
GPR26	0.3615
CCDC72	-0.17025
TEF	0.579333333333333
FOXK1	-0.4442
PRLHR	0.222
EMX1	0.11825
C11orf30	-0.0245
ICK	0.809625
THSD7B	0.32875
C21orf100	-0.692
DUOX1	2.2095
EFCAB4B	-0.352
UBE2G2	-1.21266666666667
C3orf54	0.85875
PARP1	-1.129
FAM60A	-0.7475
C6orf146	-0.05975
OR9K2	0.5215
DDX55	-1.3885
RPS15	0.304583333333333
ZNF618	0.884875
DKFZp686D0972	1.45875
SSPO	-0.338
SHFM3P1	0.5705
CPA6	1.672
JAG2	1.412
DEFA3	0.17375
PPBPL2	0.972666666666667
CD34	4.55
SLCO4A1	-3.56875
AFG3L1	-1.57016666666667
SHD	-0.98875
RP13-122B23.3	-1.42383333333333
PRKCSH	-0.1945
DPH5	0.131166666666667
HLA-F	0.86125
TBC1D4	0.9
RIG	-0.438333333333333
GLUD1	0.332833333333333
HNRPCL1	0.73475
HBXIP	-0.7795
RNF207	-0.8835
APIP	0.00825
PLA2G3	0.0803333333333333
CCDC84	-1.134
MYLIP	0.226692307692308
PHIP	0.34075
AARS2	-0.480333333333333
DHX32	1.06
SCAPER	0.358666666666667
MEN1	-0.14975
NIP7	-0.64675
FLJ25404	-0.0015
FASTKD3	-0.567
TMEM158	-2.00225
RARA	0.98275
BDH1	0.3755
ANKRD16	0.30375
CARM1	0.9995
SS18	0.745833333333333
IKZF2	0.37625
MYD88	0.382125
PML	0.39755
TAF1A	-1.04825
CBFB	-0.8445
HIST1H3H	-1.37116666666667
C7orf29	-1.21925
COMMD4	-0.703
DPP3	-1.105
DAB2	0.532625
LOC388882	0.233
YPEL4	-0.256
AGBL3	-0.5205
LRP6	0.4616
SERPINH1	-0.884083333333333
TLE1	0.3205
CD244	0.935333333333333
ZDHHC15	1.0525
MGLL	0.4495
PLDN	0.50025
LOC654346	1.2785
FAP	0.75925
GPR37	0.618833333333333
SCARA5	2.98283333333333
EBF4	1.583
LSM6	-0.39675
MLLT1	-0.2724375
SLC5A12	-0.6395
A2BP1	-1.0155
COPS5	-0.1185
TPM4	-0.477071428571429
TNFSF4	-1.55833333333333
ACADSB	2.07488888888889
HERPUD1	0.33775
BCL2L11	-0.470555555555556
CEP78	-1.178125
CDCA3	-2.502625
WBSCR19	0.0826
MYO1A	-2.0415
PPEF1	2.29683333333333
LOC440348	-0.876
CPEB2	0.548125
BPTF	0.03075
RPL21	0.415375
GSX2	-0.409
ADPRH	1.00116666666667
C17orf68	-0.401333333333333
KCNS1	1.72833333333333
MLLT6	0.0857
PIWIL4	1.5385
RNF26	-0.75575
RAP1B	0.012875
ADAMTS1	-0.0219
ZNF571	0.949
P2RY6	-0.52325
TRIM21	0.825666666666667
CADM3	0.74375
NLRC5	-0.170333333333333
ADRA2B	-0.0803333333333334
LOC90835	-0.532625
PCF11	0.04675
LOC400451	1.53725
GLTSCR1	-0.1679
C17orf88	-0.725333333333333
CDH16	-1.65575
FGF7	2.59475
PCSK4	0.46
NPC1L1	-0.69
TAT	2.394625
TBCA	-0.779
MGC33407	-0.24625
GPR115	-1.308
CYGB	0.055
FNBP4	-0.743333333333333
C12orf43	-0.31675
CBL	-0.3587
CLECL1	1.51525
PPAPDC1A	-2.2965
WDR25	0.289333333333333
SGCA	0.248
C22orf29	-0.110833333333333
YIPF1	1.15725
GALK2	-0.386
RAB3B	-3.45616666666667
LOC440087	0.5975
UCP1	0.6075
REEP5	1.827625
FADD	-1.1658
FOXA1	2.350875
CACNA1A	-0.2205
ABI1	0.660333333333333
GRIN2D	-0.829
SLC1A4	0.2765
LOC401127	-0.975
HINT2	0.16325
PLD4	0.908666666666667
ZNF286A	-0.86125
ENY2	-0.83825
IL1F6	0.101
PXDNL	0.0745
C20orf79	0.195
TNFSF13B	1.435
DENND3	0.025
JARID1D	-2.36225
HIST1H2AK	-0.119875
LOC93349	-0.0677
SSH1	-1.0569
ENSA	-1.363
LOC219854	0.488333333333333
CKAP2	-1.5486
DKFZP564J102	0.522333333333333
MGC87315	-0.721833333333333
HNRPAB	-1.9975
AMH	-2.244
ZNF526	0.018
BRUNOL5	0.0117
CACNG3	0.0125
TRPM1	-1.3925
PPP2R1A	-0.115875
COL2A1	-0.332
DDN	-0.186166666666667
FLJ25770	1.48375
HK2	-0.2875
ELOVL6	-1.265875
MDK	-0.168
EPHX1	0.60825
RASSF2	0.491
DKFZP434B0335	-0.954
DLX3	0.303125
PRTN3	-0.625
AVPR1A	0.67075
C21orf125	-1.491
TNFAIP8	-0.0255
GNB2L1	0.578
CALCRL	2.44525
SCGB2A2	8.2035
UBXD7	-0.2195
ZNF674	-0.128
TMEM35	0.308625
BRSK2	-1.024375
HECTD3	0.052
TMEM188	0.0195833333333333
LGALS9	1.598125
SCARB2	1.16191666666667
USP34	0.120833333333333
C17orf28	0.891
ZDHHC23	0.606
AQP12B	-0.95
SLC16A3	-3.182875
APLP2	0.683
ITIH2	-4.038
MICAL3	0.00112500000000002
TNNI3K	0.7762
HDAC2	0.228
PRR7	-0.8094
THBS2	-1.4825
LOC751071	-0.436833333333333
CA2	1.3925
RANBP17	0.326
RLN3	0.17825
CRYZ	0.433
GBAS	0.383333333333333
TAS1R1	0.481
MPZL3	0.3725
PCDH8	-0.195
HSP90B1	-0.28625
KCNK15	-0.8965
TNIP2	-1.39716666666667
GPR146	0.70975
NOL6	-0.502375
SPC25	-4.33155555555556
STEAP2	2.37078571428571
VAMP3	0.153
TCIRG1	-0.814
ZP4	-0.103333333333333
PARL	-0.029875
TRIM39	0.116
KIAA1305	1.38
CRNN	-0.0455
GRN	-0.05725
HSH2D	-2.58625
SCAMP1	0.9545
KIAA1913	1.3475
PTS	-0.32925
BANP	-0.138785714285714
PRKACG	0.053
ADCY6	0.362333333333333
C16orf46	-0.2015
CYP51A1	-0.560875
DDC	-1.7545
ANPEP	1.82266666666667
PROM1	3.86666666666667
SIGLEC10	1.77925
COPG	0.65
FAM26E	0.668625
TRIP4	0.5325
SNX3	0.589
C1orf175	0.700166666666667
PPY2	0.01875
C14orf152	0.51525
FTSJ1	-1.25316666666667
DST	1.6436
LOC554235	-0.10425
GLRX5	-0.2265
C20orf12	1.1933
CAB39	0.658666666666667
MSH2	-1.026
PIP4K2C	0.360625
CYLD	1.05525
WTAP	0.69875
MGAT4A	1.02966666666667
TSC22D4	0.0177
CHRM2	-1.034
PPYR1	-0.185666666666667
CCNH	-0.265666666666667
RRM1	-0.772
ECAT8	-3.39825
LOC400120	0.1865
GABRA4	0.9395
C14orf4	0.628166666666667
C1orf59	-0.46025
CTDSPL	1.11675
NHEDC2	-0.073
PDE11A	-0.0794375
KLHL29	1.24775
CD5	-0.6431
TSPAN9	1.0915
WDR67	-1.32075
THUMPD1	0.618
C18orf17	0.058
CLYBL	0.684333333333333
FLJ13231	-0.507125
CMBL	0.00700000000000002
LECT2	-0.458
NKAPL	3.25966666666667
LOC654780	0.3605
OR4C6	0.2515
RAB30	-0.195333333333333
TSSK4	0.051
TMEM163	2.4685
OSBPL11	0.0804166666666667
GNB5	-0.619666666666666
CCL21	1.515
C1orf121	-0.298333333333333
FMO2	3.335
RPTN	0.299
MSTN	0.664
VCL	0.313285714285714
FYTTD1	0.615
C11orf1	0.5035
CCDC88C	0.082875
HFE	-0.370333333333333
MOGAT1	0.13
FAM125B	0.574666666666667
IRGQ	0.098
RAVER2	0.9075
AKAP5	0.0455
SSSCA1	-0.30875
C11orf63	1.030125
ACTG2	3.2506
PORCN	-1.17
DTL	-2.12754545454545
TMEM151	-0.08975
FAM122C	-0.81175
RSAD2	0.6811
BAT4	-0.493
KRTDAP	-0.280166666666667
MYH8	0.3715
CRTC3	0.141
LRRFIP2	0.1209
INTS4	-0.182
TTN	-0.538666666666667
SLC26A5	0.7195
PLLP	-0.219
RGS6	0.78225
SRGAP3	0.726125
ZNF525	0.2665
NBR2	-1.12133333333333
C13orf1	-0.0841
ZNF137	0.257
CEP27	-1.842
BEST2	-0.0475
RNF121	-0.38275
DMRTC2	-0.277
C8orf76	-0.44625
BCCIP	0.309375
MEST	1.0205
HTRA2	-0.6335
ANGPTL2	0.03975
ILKAP	0.253666666666667
ERAS	0.001
HBS1L	-0.278625
CPA5	0.271
TMEM30A	0.810666666666667
CD300LF	1.11833333333333
WISP3	4.176
CRK	0.252857142857143
PDS5A	-0.2678
BRPF3	0.4545
NEDD9	1.026375
SMPDL3B	1.40175
PSG6	0.44375
PSMD13	0.38525
ETV5	0.261
OR51A4	-0.00449999999999999
BTBD7	0.9585
GSTO1	-0.850625
hCG_16001	0.6505
MAD2L1BP	-0.523833333333333
COX6A2	-0.64
SCNN1A	1.54533333333333
LSM1	-0.109833333333333
UGT2B11	3.528
IDUA	0.77625
PPP2R3C	-0.845833333333333
COX11	-0.167666666666667
PDZK1	0.877
ZNF443	0.625166666666667
MGC21874	0.8695
ZNF323	1.8816
KRTAP10-10	0.008
CXCL6	3.922
SLC34A2	3.3464
LOC284402	0.162
NPTN	0.914583333333333
UPP1	-1.93891666666667
SLC6A9	-0.1205
OR7G3	0.1175
CISD1	-0.7415
ZNF545	0.432833333333333
SYT14	-0.099
NT5C3L	0.202666666666667
ZNHIT3	-0.294166666666667
SNRPD3	-0.383
KIAA0701	0.1395
UNC93B1	-0.441333333333333
GMNN	-1.105375
SPCS2	0.100833333333333
LOC388524	-0.213
NAPRT1	-0.07125
PNLIPRP1	-1.096
OR6V1	0.041
PRKAB1	-0.3445
EYA4	-3.2225
KIF20A	-3.14125
ALG10	-0.102
ITPKC	1.0555
LMX1B	0.461166666666667
RPUSD4	-0.0418333333333333
C7orf34	0.369666666666667
DLGAP2	0.356375
PFN1	-0.4478
MICALL2	-0.528833333333333
ZNF654	0.263
SS18L1	-0.745125
SLC16A8	0.90125
MKI67IP	0.383666666666667
ITGB3	-1.29725
TCEA3	1.61275
CEP152	-2.0674375
CLIP1	0.6205
ZNF75	0.332375
ATP5C1	0.0401666666666667
NUDT5	-1.21516666666667
PSCDBP	1.399
UBP1	-0.08675
RBM27	-0.077
C13orf15	2.523
ZNF282	-0.381833333333333
ZNF222	0.4528
COL10A1	0.43275
PRDM15	-0.6725
TTTY5	0.1865
FAM9C	-0.88825
C20orf67	0.04275
GNG13	-0.7425
F12	-0.30525
C1orf41	-1.0625
CPXCR1	0.679
GSK3A	0.204875
SUPT6H	0.232333333333333
PI16	3.13
ELL2	0.164333333333333
C9orf167	-2.4425
PVRL3	-1.1377
FLJ38596	0.50525
ADAM20	-0.05875
GPR89A	0.0355
GPR87	2.077
ZNF30	0.44925
SMR3B	4.394
ZNF770	0.417375
TRPC4AP	-0.423333333333333
DKFZP686E2158	0.611166666666667
C2orf28	-0.00566666666666666
FREM1	2.86633333333333
LAMA4	0.0683333333333333
ADPRHL2	-0.347
EIF4G2	0.317666666666667
GUCA1A	-0.3725
CTNNA2	-0.747125
NUDT15	0.230333333333333
CEPT1	0.669333333333333
ZNFX1	-0.2136
CCDC92	0.772
TDRD1	-0.014
KCNK5	-1.05216666666667
ETNK1	0.133416666666667
LTA	0.235
TTPA	0.745666666666667
B3GALNT2	-0.43325
SC65	-0.940833333333333
PEX5L	-0.922625
EPS15L1	-0.35675
MGEA5	-0.34275
HIST1H3A	0.23825
ING1	-0.24575
BCAT1	-4.1015
ORC6L	-3.35118181818182
KLK11	-2.26316666666667
C19orf28	-1.58625
DNER	-2.63175
MED22	-0.718
ETV6	1.27325
CHAC2	-1.2785
CD300E	0.0495
CEBPB	0.591916666666667
ZNF398	-0.13125
LRCH3	-0.1915
HMGA1	-2.27566666666667
CAPN7	0.268666666666667
MGC5566	-2.682
CCL3	1.64475
NANOS1	1.439
ZFYVE19	-0.085
APITD1	-0.478166666666667
PARD3	1.23275
IRAK4	-0.236333333333333
SERPINI2	-0.275
CEP170L	-0.19825
TTC9	2.569
MYOM3	-0.42075
MLPH	0.58125
LOC222699	-0.4255
NRG1	1.21041666666667
TBC1D9	2.91109090909091
TTK	-2.60216666666667
ZNF557	0.2081
DDX41	-0.720833333333333
FANK1	2.1675
UBE2D2	-0.297875
PSMB10	0.4725
MYH7B	0.5235
GABARAPL2	0.124625
MARVELD2	1.75033333333333
DGCR2	0.91
UNC45A	-0.130833333333333
C6orf72	0.7135
ZNF683	4.598
GIT2	0.1945
CASK	1.07283333333333
C14orf161	3.55733333333333
LRRC44	0.07675
TIFA	1.08475
UTP11L	-0.10375
C6orf65	-0.32125
FDPS	-0.54475
DUSP9	-1.9432
SLC17A8	0.271
OR51G1	0.0168333333333333
NANS	-0.05075
OLFML1	1.278
ATP10B	-0.728625
NPAS3	1.3155
PRKCA	-1.2315
GGA2	-0.0173125
LCE4A	0.4695
SPANXN3	0.5905
CCDC115	1.40925
SDCCAG3	-0.9075
GLIPR1L1	0.0445
TTC1	0.131
C17orf76	-0.48025
MAD2L2	-1.845
HIPK1	0.0019
LRRC3B	3.53283333333333
CLN3	-0.465909090909091
C17orf47	0.49
FMN2	-1.245125
TUBB1	-1.026375
WAPAL	-0.267
C3orf21	-0.994
SCN5A	-0.6857
SMYD1	1.31925
BEX5	2.11675
ZNF192	0.101
SEC22A	-0.0288333333333333
GRIA2	1.8155
KIAA0825	0.056
NUSAP1	-3.20318181818182
LANCL1	-0.057625
C15orf40	0.3149
ZNF645	0.24875
GPR61	-0.06925
NLRP14	0.676
SNX21	-0.00420000000000001
C1QTNF8	0.0035
C17orf46	0.35675
IFNA8	-0.186
SPRR1B	-1.478
FLRT1	-0.76175
SNX17	-0.179666666666667
ASB2	-0.581833333333333
HBG1	-4.965
RPRML	-1.605
JOSD2	0.124333333333333
PLSCR3	0.72075
SPOCD1	-1.34616666666667
RAB39	-0.261
GHRH	0.236
ITIH5L	0.165
C17orf37	0.8155
SMCR8	0.05725
DPY19L2P3	-0.518
IL11RA	1.82233333333333
GDF3	-3.6205
RPS6KB1	-0.49675
DNAJC19	-0.0558
TOP1	-0.5185
CRCT1	-1.555125
MPST	-0.080125
DPM2	-0.542125
FAM38B	-2.3675
SLC18A1	-1.70233333333333
FARP1	0.565
PAX7	0.16775
TUBD1	-1.09625
GNL3	-0.208875
BTG2	1.28406666666667
NDUFS6	-0.90125
C1orf79	-1.8415
ERAL1	-0.24025
ECHS1	0.60525
VPS4A	-0.515166666666667
CYP11A1	0.031375
ABCC6	-0.452142857142857
PBX4	-1.8125
MOSC1	0.24225
NCF4	0.54675
HYMAI	0.916
NAGPA	-1.020375
OTOP2	0.03575
ACOT12	0.15175
MTHFD2L	0.171625
LOC441376	3.8375
C19orf34	0.0775
RAB1B	0.982
ALDOAP2	-1.15
NTRK1	-0.246333333333333
ARTS-1	0.4787
SLC6A11	-0.411
NAP1L2	2.02425
CNGB1	-0.201666666666667
EPB41L4B	1.00825
FAM134B	1.6195
HS3ST3A1	-2.1085
CPXM2	5.5725
SIRPB2	0.0805
CHORDC1	-1.02016666666667
TRIB3	-1.27166666666667
SLC2A5	0.353
C2orf49	-0.865666666666667
DDX5	0.89975
OR5L1	-0.398
ANAPC4	-0.193333333333333
ZSWIM1	0.25525
LOC93622	-0.243125
KCNK3	-0.0061
RP11-35N6.1	0.53625
ZFP161	0.729833333333333
AQP9	0.2455
SLC15A2	2.22566666666667
MREG	0.471
OR9I1	0.335
PDLIM2	-0.238
ADAM7	0.4395
GSTCD	-0.211833333333333
WDR21A	-0.05325
SLC12A8	0.739666666666667
TMEM174	0.11525
IGSF3	0.55575
LRRN1	1.898
LOC402117	-0.27825
SRPK1	-1.36633333333333
LY6K	-0.4876875
NFIA	2.9145
PTCD3	-0.677875
LEP	2.65283333333333
PCDH21	-0.609666666666667
MAPKAPK2	0.0314285714285714
NMNAT1	-0.937
LHFPL2	1.237375
C9orf43	0.74
DIP2A	-0.961
ACTR8	0.14925
CCDC34	-0.00150000000000003
PTPN22	-0.324875
ITGA3	0.877375
FAM129C	0.116
RABGGTA	0.0521666666666667
UNC45B	0.79025
KIAA1033	-0.010875
ZNF510	0.208333333333333
CYP2D6	-0.709166666666667
SLC26A10	-1.087
STX8	0.301
LUZP1	0.41975
WDR89	0.1155
EIF4G3	-0.2376
C5AR1	0.35475
ZNF623	-0.3415
A2M	2.1975
TGM7	0.311
GRPEL1	-0.229833333333333
LMNB2	-1.3894
ROCK2	0.143166666666667
SNX16	1.015125
CCDC66	0.44725
ANXA3	2.63775
KIAA1609	0.024
EED	-0.73125
RNF32	0.539
HES1	1.505
CLC	-0.1245
ISL1	1.51183333333333
KIAA0528	0.129875
MANEA	0.76175
C1orf61	0.528
hCG_2001000	0.8665
RAPGEF6	-0.1833
KIAA0020	-0.0375
NEIL1	1.0175
C16orf45	-0.022375
RBM10	-0.554666666666667
C10orf125	-0.783625
MRS2L	-0.58725
DNAH17	-0.64625
C19orf10	-1.162
C1orf160	0.326
SLFN12	1.26625
EXOC3	-0.118833333333333
HIST3H3	0.115
NCOR2	0.192333333333333
TNFRSF9	-0.27525
MFSD8	0.58675
ALX1	-2.92266666666667
NOL1	-1.36675
PODN	1.55275
TIAL1	-0.7005
HIST1H1E	-0.7535
NPY6R	0.17275
TM4SF4	0.39375
CORO2A	-0.41375
ETNK2	0.294166666666667
APOE	0.2956
ANGPT4	-0.456
HDGF2	-0.48275
G30	0.668
ST8SIA4	-0.5295
F2RL1	1.110625
FAM19A4	-2.12425
CCAR1	-0.5295
B3GNT7	0.13325
OPHN1	-0.2432
DSCR6	-0.9415
