Hybridization REF	TCGA-C8-A12M-01A-11R-A115-07
PRDM15	-0.785875
TTTY5	0.1555
FAM9C	-0.620545454545455
C20orf67	0.7565
GNG13	-0.001
F12	-0.766
C1orf41	-0.36
CPXCR1	-0.021
GSK3A	-0.059625
SUPT6H	0.787166666666667
PI16	-1.14883333333333
ELL2	-1.04633333333333
C9orf167	-1.23766666666667
PVRL3	-3.0888
FLJ38596	0.78
ADAM20	0.0095
GPR89A	0.134
GPR87	-3.1755
ZNF30	0.4625
SMR3B	0.568
ZNF770	0.23
TRPC4AP	-0.145166666666667
DKFZP686E2158	-0.525333333333333
C2orf28	-0.0603333333333333
FREM1	-2.211
LAMA4	0.2115
ADPRHL2	-0.18325
EIF4G2	0.0885
GUCA1A	0.581
CTNNA2	-0.52725
NUDT15	-1.3895
CEPT1	-0.441333333333333
ZNFX1	0.8851
CCDC92	0.289
TDRD1	-0.079
KCNK5	-1.78533333333333
ETNK1	0.135
LTA	0.1915
TTPA	0.00433333333333332
B3GALNT2	-1.41025
SC65	0.107833333333333
PEX5L	-1.003875
EPS15L1	-0.0675
MGEA5	0.337375
HIST1H3A	0.3485
ING1	-0.28875
BCAT1	-3.694375
ORC6L	-2.60872727272727
KLK11	-5.7125
C19orf28	-1.84475
DNER	-2.9405
MED22	-0.534428571428571
ETV6	0.960416666666667
CHAC2	-2.93925
CD300E	-0.0365
CEBPB	-1.36481818181818
ZNF398	-0.08525
LRCH3	-0.1785
HMGA1	-1.8995
CAPN7	0.2975
MGC5566	-2.35625
CCL3	2.402625
NANOS1	-0.781125
ZFYVE19	-0.3045
APITD1	-0.417833333333333
PARD3	1.112625
IRAK4	-0.476
SERPINI2	0.413
CEP170L	-1.527
TTC9	2.3735
MYOM3	-0.76525
MLPH	2.344625
LOC222699	0.978
NRG1	-1.28558333333333
TBC1D9	5.58309090909091
TTK	-2.66933333333333
ZNF557	0.4052
DDX41	-0.225333333333333
FANK1	0.7945
UBE2D2	0.1365
PSMB10	0.507125
MYH7B	0.5415
GABARAPL2	1.177
MARVELD2	2.31783333333333
DGCR2	-0.296166666666667
UNC45A	0.220666666666667
C6orf72	0.0485
ZNF683	4.18875
GIT2	-0.703875
CASK	0.5415
C14orf161	1.7665
LRRC44	2.63025
TIFA	-0.565375
UTP11L	-0.908375
C6orf65	-1.804
FDPS	0.0895
DUSP9	-1.6136
SLC17A8	0.3775
OR51G1	0.283333333333333
NANS	-0.302
OLFML1	1.136
ATP10B	-0.898125
NPAS3	-0.21375
PRKCA	-1.9694
GGA2	1.12725
LCE4A	0.63
SPANXN3	0.48525
CCDC115	1.41225
SDCCAG3	-1.282
GLIPR1L1	0.364
TTC1	0.08775
C17orf76	0.16125
MAD2L2	-0.978
HIPK1	-0.039
LRRC3B	1.2345
CLN3	-0.596045454545454
C17orf47	0.0715
FMN2	-3.48228571428572
TUBB1	-1.10585714285714
WAPAL	-0.245666666666667
C3orf21	-1.016125
SCN5A	-0.2117
SMYD1	0.307666666666667
BEX5	1.79825
ZNF192	0.015
SEC22A	0.190833333333333
GRIA2	-0.0879230769230769
KIAA0825	-1.0535
NUSAP1	-2.24745454545455
LANCL1	-0.167625
C15orf40	0.2166
ZNF645	-0.378125
GPR61	-0.1735
NLRP14	1.1185
SNX21	-0.3433
C1QTNF8	-0.193
C17orf46	0.075
IFNA8	1.5435
SPRR1B	-1.366
FLRT1	-0.4265
SNX17	-0.398833333333333
ASB2	-0.65
HBG1	-5.671
RPRML	-1.8975
JOSD2	-0.0506666666666667
PLSCR3	0.2785
SPOCD1	-2.1235
RAB39	0.033
GHRH	0.029
ITIH5L	0.90875
C17orf37	2.032
SMCR8	0.901
DPY19L2P3	-0.3455
IL11RA	-0.1975
GDF3	-4.41433333333333
RPS6KB1	1.69158333333333
DNAJC19	0.3562
TOP1	-0.39
CRCT1	-0.848857142857143
MPST	-0.437125
DPM2	0.48625
FAM38B	-0.9635
SLC18A1	-1.8555
FARP1	0.329
PAX7	0.1705
TUBD1	2.6615
GNL3	0.166875
BTG2	2.60366666666667
NDUFS6	-0.557
C1orf79	-1.13625
ERAL1	1.369
ECHS1	0.419
VPS4A	-0.0541666666666667
CYP11A1	-1.1545
ABCC6	-2.183
PBX4	-2.673
MOSC1	-3.006625
NCF4	-0.598
HYMAI	0.591
NAGPA	-0.377375
OTOP2	0.343
ACOT12	0.19075
MTHFD2L	0.5975
LOC441376	-0.691
C19orf34	-0.43
RAB1B	-0.76825
ALDOAP2	-0.909
NTRK1	-0.852166666666667
ARTS-1	-0.5483
SLC6A11	-0.1005
NAP1L2	2.77375
CNGB1	0.0415
EPB41L4B	1.73416666666667
FAM134B	2.78175
HS3ST3A1	-2.2995
CPXM2	3.61225
SIRPB2	-0.1825
CHORDC1	-0.9045
TRIB3	-1.56633333333333
SLC2A5	0.3205
C2orf49	-0.543333333333333
DDX5	0.1615
OR5L1	1.147
ANAPC4	-0.115
ZSWIM1	0.947
LOC93622	0.1995
KCNK3	2.1446
RP11-35N6.1	0.547875
ZFP161	0.494666666666667
AQP9	0.699
SLC15A2	-0.302833333333333
MREG	0.670666666666667
OR9I1	-0.319
PDLIM2	-0.740625
ADAM7	0.2055
GSTCD	-0.298833333333333
WDR21A	-1.126875
SLC12A8	-0.3355
TMEM174	0.0465
IGSF3	1.38966666666667
LRRN1	-3.2935
LOC402117	0.49675
SRPK1	-1.5125
LY6K	-2.1076875
NFIA	2.663
PTCD3	-0.236625
LEP	-0.0781666666666666
PCDH21	-1.0266
MAPKAPK2	0.255214285714286
NMNAT1	0.0365
LHFPL2	-0.54625
C9orf43	1.4835
DIP2A	-0.193833333333333
ACTR8	0.73425
CCDC34	0.221
PTPN22	-1.345875
ITGA3	-0.9335
FAM129C	0.65925
RABGGTA	0.648333333333333
UNC45B	0.72175
KIAA1033	-0.320125
ZNF510	0.5095
CYP2D6	-0.0935
SLC26A10	-1.282
STX8	-0.4335
LUZP1	-0.4685
WDR89	-0.0428333333333333
EIF4G3	0.1773
C5AR1	0.209125
ZNF623	0.8125
A2M	0.484
TGM7	0.7675
GRPEL1	-0.127166666666667
LMNB2	-1.9875
ROCK2	-0.762
SNX16	1.021625
CCDC66	0.5165
ANXA3	-0.55625
KIAA1609	-0.20425
EED	-1.46275
RNF32	-0.994
HES1	0.1381
CLC	0.353833333333333
ISL1	-0.5815
KIAA0528	0.263125
MANEA	0.338125
C1orf61	-2.0585
hCG_2001000	1.4485
RAPGEF6	0.0656
KIAA0020	-0.4855
NEIL1	-1.05175
C16orf45	-0.66975
RBM10	-0.332833333333333
C10orf125	-2.5865
MRS2L	-0.35975
DNAH17	1.008
C19orf10	-1.1145
C1orf160	0.56075
SLFN12	-0.2645
EXOC3	-0.169166666666667
HIST3H3	0.025
NCOR2	0.780666666666667
TNFRSF9	0.336
MFSD8	-0.09
ALX1	-3.68183333333333
NOL1	-0.90375
PODN	2.18675
TIAL1	-0.95675
HIST1H1E	1.10275
NPY6R	0.474
TM4SF4	-0.25625
CORO2A	-0.97825
ETNK2	3.66233333333333
APOE	-0.3277
ANGPT4	-0.27
HDGF2	-0.64675
G30	-0.411
ST8SIA4	-0.071125
F2RL1	0.374
FAM19A4	-2.12675
CCAR1	-0.3535
B3GNT7	0.37425
OPHN1	-0.2118
DSCR6	-1.556
C21orf13	0.5715
GAS2L1	-0.095
RFX3	-0.406166666666667
COPS4	0.305125
BCHE	-5.07666666666667
BCL2	1.309125
HBZ	-3.67833333333333
ARL13B	-0.153
MAPBPIP	1.536125
MYO15B	0.472625
SPZ1	0.09075
KIAA1324	3.78933333333333
PLCL2	-0.654875
C4orf29	-0.8775
WDFY2	-1.04225
ZNF284	-0.3425
NAALADL1	-0.0905
DUSP5	1.00666666666667
PXDN	-0.88
SLMO1	1.41875
TNXB	0.4163
BIRC7	-0.748
A4GALT	-0.0363333333333333
TIMM22	0.092
FAM110C	-0.02925
TOMM34	-0.894625
ABHD9	0.002
ADAM32	-0.2665
CRHBP	0.2635
AQP2	0.29425
LOC130355	1.6585
ZNF187	0.072
ZNF816A	0.4955
F7	-0.495375
CNOT1	-0.4184
SLC13A4	-0.2
ZBTB11	0.2995
B3GALT5	-0.10275
EXOC2	1.36833333333333
IRS1	0.8876
TMEM1	0.306333333333333
MRPL34	-0.73
SAMM50	-0.25325
CDC42EP3	-0.9565
HSF2	-1.3006
MFN2	-0.22575
TSPAN7	0.419
NUCB1	0.611333333333333
RHOH	-0.869
ARL16	0.526
TACR1	0.0485
SFRS5	-1.35316666666667
SNX25	-0.008625
RHBDF1	-0.652
PCDH18	1.3885
HMG1L1	-1.737
MYO5C	1.448625
MAPK10	1.7465
LDHAL6A	-0.386
NUDT12	1.95566666666667
NCAM1	-0.059
GLIS2	0.145
GGTL4	2.244
DAPP1	-1.60725
ATF7	0.8065
KIAA0748	-1.01525
NFIL3	-2.71425
TM6SF1	1.9268
SEZ6	2.214
NANOS3	-0.926
DNAJA3	-0.0126666666666667
CLDN6	-1.605
CIITA	1.5757
EPHA4	-1.26541666666667
FANCC	0.29975
CMTM3	0.19775
PSG3	-0.682625
MRPL15	0.4595
C21orf59	-0.125
PLCXD2	-0.1975
C2orf34	-1.084375
UBE2L6	0.402625
MED14	-0.199333333333333
HP1BP3	-0.3701
C6orf208	-0.6195
TPBG	-0.1025
OSR2	0.36325
XPC	0.486333333333333
KLHL7	-0.725583333333333
CCR3	-0.152333333333333
AGTPBP1	0.0405
PCSK6	2.13693333333333
STAT5A	-1.8631
FAM18B	0.6595
LONRF2	1.819
PTPN2	0.239625
SF3A3	-0.786666666666667
EFCBP2	-0.191
HCFC1	-0.703833333333333
AHNAK	0.80025
ACTR5	0.26525
KIF14	-3.18514285714286
TENC1	1.3225
HEATR5B	1.735
YIPF2	0.4435
MYEOV2	0.416333333333333
DUSP18	0.77625
KIAA1012	0.5975
AHR	-0.730166666666667
C17orf53	-1.71416666666667
PTPRH	-2.9325
ATP6V1C1	2.0133
TAS2R3	-0.203
LOC440356	-1.107
COQ10B	0.406
PSMF1	0.06375
SORBS2	0.964666666666667
NFE2L2	0.09275
TMCO7	-0.13725
SH3PXD2A	0.0826
SH2D2A	-1.06775
SPINK5	-2.0615
MRPS24	-0.57225
OPA3	0.23725
TRAF7	-0.132833333333333
C4orf35	0.0803333333333333
MT1G	-0.17875
MGC39545	0.1505
HS1BP3	1.0223
OR2B2	0.3985
CHRM4	0.443
SFRP2	-0.0076666666666667
RIC3	1.025
ART1	-0.3255
C6orf1	1.12675
DUS4L	-0.4715
C10orf104	-0.27125
TNFAIP6	1.534
RTEL1	-1.626
CCT4	-0.3614
ZNF709	0.25
CHMP6	-0.1775
UPP2	0.05475
CYP19A1	-2.443125
CD151	-0.1205
NDUFA13	0.0448333333333333
ARFRP1	-1.40533333333333
FAM26B	1.1295
CRYBA1	-2.536
MRPL41	0.0551666666666667
NPFFR2	-1.30325
HRH2	0.181
SCAMP3	0.753
MTMR6	0.7149
MTG1	-0.873666666666667
UBTD1	0.27275
CRABP1	-3.0685
FLJ33790	-1.9579
KIAA1908	0.368666666666667
GPR158	-2.34325
PACSIN3	-2.91183333333333
OMD	0.13
CATSPER1	-1.2495
HOXB8	-1.369375
FBXO46	0.7395
OAS1	-0.784
SVIL	0.26275
PHB2	-0.83775
ADCY3	-1.184
NDRG2	-0.219833333333333
ERMAP	0.0524
APBA2	-0.996833333333333
IGSF9	2.90225
WNT6	-0.523285714285714
MYCBPAP	-0.803
ATP2B2	-0.0358
CPVL	-1.9004
TRAM2	-0.880666666666667
NOP5/NOP58	0.14875
ZNRF4	0.121
TLK1	-0.418125
MTMR12	0.151714285714286
ZNF384	-0.0951666666666667
FAM9B	-3.29575
RPN1	-0.6206
PMVK	0.941
EIF3D	-0.4
SIX2	0.30575
HPS1	0.223
RNF7	0.221
PSKH2	0.726
KCTD13	0.2825
CSMD3	-0.1957
FBF1	0.1725
IL8	-5.983125
SERPINB13	0.432111111111111
FBXL20	1.5315
BLR1	0.60975
SH2B1	-0.0371666666666667
RFNG	0.9045
RAB20	-0.480833333333333
RBM7	-1.06875
POLR1A	-0.234166666666667
TMPRSS4	-0.82775
TAF9	0.00425000000000001
TERF2	0.633833333333333
TNFRSF1A	-0.743666666666667
ACADVL	-0.734833333333333
GTF2H5	0.5055
EDG8	-0.313333333333333
C9orf140	-0.387125
UST6	0.55175
ZBTB8OS	-0.62425
ZNF710	0.87
GPR174	-1.301
ATP6V0A2	-1.6605
KIAA0319L	0.971
XKRX	-1.316
DOPEY2	0.942
SDHD	-0.963583333333333
SUMF1	1.72975
OSM	1.477
OPN3	-2.42775
DAGLB	0.467333333333333
PPFIBP1	0.5035
TRIM63	-3.8005
C10orf53	-0.1565
LYPD3	0.317
BCL7A	0.4685
AGER	-0.795
TCF19	-1.009
SAT2	0.77975
PFTK1	1.484
GABRE	-3.8015
C15orf38	0.7625
FIS1	0.1935
KCNV2	0.25875
CLPS	0.11225
PPCDC	0.236125
FOXN2	0.104
NT5E	-3.6324
CD83	-0.69875
IL18	-0.105125
VPS16	-0.087
IGFBP2	1.79766666666667
NOTCH2	-0.11275
SIGLEC1	1.697
CD93	5.284
SULF2	-1.667
CEP164	-0.7165
P53AIP1	0.1435
TOR2A	0.068
ZNF136	0.30575
MGP	1.2419
CCDC144A	-0.694
TRPC1	-1.07433333333333
SMS	-1.14966666666667
MAPK7	-0.492166666666667
RRAGC	0.0505
PARD6A	-0.370333333333333
NUB1	1.5995
SYNGR4	0.04125
OR11H12	-0.121
WIF1	0.320125
GCH1	-0.6465
OR11H4	-0.469
SLC44A5	-0.2275
GPRIN2	-0.746666666666667
LOC401431	-0.1975
CPA4	-2.6927
MELK	-1.95122222222222
IL15RA	-0.189
CUL3	1.919875
HMBOX1	-0.3065
PODXL	-1.148
CCT6B	0.688333333333333
COMTD1	0.30625
MUC20	-2.0615
GPX2	2.318875
ITK	-0.8065
FBXL5	1.74
C13orf27	-0.69675
DEFA5	0.0425
TRHDE	-0.3755
MTP18	-0.585
UQCRQ	0.8533
ITGB2	0.166416666666667
CSRP2BP	-0.27875
TAS2R44	0.4715
PHPT1	0.639625
FAM44C	0.681
ERH	0.059
MPHOSPH1	-1.5825
MORC1	-0.801
PARVB	-0.97825
LAMA1	-2.42433333333333
PGBD3	0.12725
GIMAP6	4.44066666666667
AREG	-2.687
LIPT1	0.049
MGC99813	-1.425
C1orf201	-0.161333333333333
GRIN2A	-0.051
MAN2C1	-0.52825
NSUN5	-0.52575
SF3B5	-0.53025
MYC	-0.5116875
NRXN1	-0.4289
ZNF18	-0.1065
SPDYA	0.459
SLC37A1	2.614
DECR2	0.06925
ANKRD38	-1.491875
SPTLC3	-2.65933333333333
SUPT16H	0.158625
DTWD2	1.0575
ULBP1	0.165
ZADH1	0.4805
OIP5	-3.01025
IL10RB	-0.249166666666667
OTUB2	-0.019625
VWA3A	-0.3716
SPIC	0.850166666666667
OR6C4	0.0355
PSCD4	0.805166666666667
DPY19L2P2	-0.1795
TRAPPC6A	1.16733333333333
C21orf2	0.034
CEMP1	0.07225
LIN7B	0.4295
E2F7	-1.77333333333333
VCP	0.1135625
LAMA3	4.1495
BGN	1.129
GPR160	1.9515
COCH	-1.89566666666667
GPR81	2.18933333333333
APOBEC3F	-1.53225
tcag7.1017	-0.37825
C1orf32	0.545
SCGB1D2	3.1175
FLJ43987	-0.289
C6orf170	0.13625
KLK9	0.5095
GPD1L	-0.151625
VPS37B	-0.90225
ATG3	-0.462333333333333
ADAMTS17	-0.918
KLHDC2	0.384
NDUFV2	0.68575
BLK	-2.31075
MATN4	-1.24
GPM6A	-0.278
GBP4	3.693
TMEM162	0.534666666666667
PKP2	-0.9775
HRASLS	-0.313111111111111
MMP1	-4.7755
SFXN3	0.2159
FSD1	-1.666
ST6GALNAC3	-1.26116666666667
CA12	0.8692
NCOA6	0.493
C19orf58	-0.2498
PPP4R1	-0.379
MAN1A2	0.441833333333333
IKBKAP	-0.76775
UPF1	0.0356666666666667
KIAA1219	1.15425
WNT16	0.473333333333333
SNW1	-0.342125
IL18RAP	2.99425
RPP30	-0.7835
CDC40	0.00635714285714284
SETD3	-0.484666666666667
SLAMF6	0.5275
ELK4	-0.082
TRIM47	-0.612833333333333
ACOX3	2.43225
TRIM6	0.395375
KIAA0372	0.0308333333333333
TP53AP1	0.545625
SMURF2	0.8345
ADAD1	0.62
EBP	-0.9673
KRTAP13-2	-0.276
FLJ36874	-1.10833333333333
TOR1A	-0.476833333333333
P2RY4	0.4315
GPBP1	-0.678
TRPV1	0.20075
ADAMTS12	-0.550333333333333
PES1	-0.6804
ATG4A	-0.336666666666667
MAGEA10	-4.697
WFS1	-0.46325
CC2D1B	-0.165166666666667
PABPN1	-0.9035
SLC25A30	-0.52675
SLCO1C1	0.202333333333333
SLC22A5	2.718
KIF23	-2.59
SYN2	-0.473666666666667
ASPN	5.45266666666667
CENTG2	-0.026
QSOX2	-1.0277
FLJ10815	1.12683333333333
STK24	-0.2704375
SPEG	0.845
STK10	0.178833333333333
DACT2	-2.932
AAAS	-0.295
SSX3	-0.669125
ABCD3	0.5971
C4orf12	1.173875
PARVG	0.242166666666667
FIG4	0.70275
C9orf46	0.9305
TMCO6	0.109
IGHMBP2	-0.87125
DUS2L	-0.380833333333333
FAM3C	-0.8543125
TMEM16D	-1.882875
DCTN4	1.491
KCNH3	-0.2225
EIF2AK2	0.55075
AP1S3	-0.351375
CST4	1.5475
PAM	-1.36975
NUTF2	-0.73575
CITED2	0.6678
SLC39A4	1.2205
C2orf52	-0.9925
GRM3	0.0455
C12orf49	2.896625
CCDC49	1.4337
GRAMD1B	-1.07275
FNDC4	-0.8055
SIAH2	-0.7895
GDPD4	-0.30675
C21orf87	0.437
ATP5A1	0.146333333333333
C16orf63	-0.32475
LOC388135	1.85183333333333
ATP5J2	-0.379625
MMP3	-5.30775
EMID2	-0.13675
CRHR1	0.4875
WDR70	-0.376
C13orf31	1.02925
ZFAND1	1.51175
CCL18	4.89416666666667
C3orf49	0.082
RINT1	0.036
KIAA0408	-1.092
F13A1	3.8987
SLC10A1	0.267
OGN	-3.70075
GIPC2	-2.23216666666667
XPO6	-0.931666666666667
LCE1A	-0.273
FMR1	0.3044
LOC374920	-0.4435
DUSP3	-0.14725
ANKMY1	0.7245
C7orf50	0.00475
BBS9	-0.4269
UNC119B	-0.76725
C9orf72	0.9945
MGC35440	0.22625
ENTPD6	0.58325
PPP1R2P9	0.554666666666667
ERCC4	0.021
FAHD2B	-0.599
HMHA1	-0.433
HACL1	-0.02875
RAD23A	-0.065
FAM83B	-1.38725
PPP5C	0.1115
RNASEH2C	-1.170375
C9orf153	-0.662
SCAMP4	0.805
GHITM	0.1459
NDUFB7	0.141625
ADCYAP1	0.2315
SP110	0.977
MAP3K7IP2	-0.0875
DHH	0.192
AGRN	0.279214285714286
WDR33	0.1995
CEP290	1.94716666666667
PRPS1L1	-1.76583333333333
KLRA1	-1.1855
GPR97	0.0225
CHD7	0.164166666666667
TLR10	-0.414
SLC30A8	-1.005
HIC1	0.9265
IAPP	-0.0095
RXFP4	0.14775
GP1BB	0.928
SHQ1	-0.096
NKX2-3	0.114333333333333
API5	-0.3385
FTHP1	-0.495
MOV10L1	0.0521666666666667
TRIM6-TRIM34	0.428
ADHFE1	-0.99525
FAM117A	0.34725
DDI1	0.888
CDON	0.2235
TRIM73	-0.495
IGKC	4.7545
MMP14	-0.55325
DYNC1LI1	-0.06375
C11orf66	0.28675
TRBV3-1	-2.06125
FASTKD5	-1.10375
BIVM	-0.4375
LHX4	0.274
CXCL2	-1.9957
RAB2B	0.871333333333333
IZUMO1	-1.0245
MAP3K15	-1.66725
FAM19A2	0.909166666666667
ZC3H8	0.489666666666667
ZMAT1	2.97775
SPINK5L3	-2.708
SLC10A6	-0.388
APPL2	-0.36575
CARD10	-0.819333333333333
LOC402176	1.463375
EEF1D	0.5183
RAB6A	-0.6415
C12orf5	-1.436125
PAPOLG	0.4625
MSRB2	0.7685
BCR	0.403222222222222
PUS3	-0.19075
TIAM2	-1.08325
ZNF317	-0.0615
CHD2	-0.0101428571428571
FZD5	-2.23527272727273
NUDT8	-2.6055
ZNF763	0.3575
PRC1	-1.88966666666667
ABCB9	-0.0225
SPATA3	0.221
TRAK2	0.470125
STAB1	3.0425
LRRTM2	-0.215833333333333
psiTPTE22	0.97275
DBI	-0.19275
SERPINA11	1.302
NAT5	-0.435
C20orf58	-2.59525
RPS6KA4	-1.09133333333333
FLJ90650	-0.48825
TGFBRAP1	0.34025
CHRDL2	-1.099625
FAHD2A	-0.467833333333333
CNTN1	-0.00375
BBS4	0.6123
TMEM181	1.46425
MINPP1	-0.126
MPHOSPH6	-0.6735
HOXC10	2.1388
ITPKB	-0.717875
CLPTM1L	-0.602125
MEOX2	0.135666666666667
ATP6V0C	1.348125
PRPF8	0.199333333333333
TMC5	-0.17925
FKBP3	-0.18275
PLEKHB2	0.604
OR4D6	0.775
ZNF544	-0.5453
D2HGDH	-0.283125
RPL18A	-0.6876
HEL308	-0.036125
MPP6	-2.6895
TCERG1	-1.24425
KRT16	-2.15916666666667
KLF17	-0.544
KLF5	-1.30775
CDR1	0.410875
VCX3A	-4.5855
FBLN2	-0.069875
C14orf104	-0.26775
HBE1	-5.357
OR4S2	0.2525
C1orf108	-1.287
ROBO4	3.834
CPEB4	1.695625
C11orf80	-0.1185
BCKDHA	0.955333333333333
MYOC	0.488
GIF	-0.4025
CKMT1A	2.0685
RPL3	0.1111
THBS1	3.133375
APOO	-0.11975
ARMCX1	-0.42075
HSZFP36	-0.09925
SNAPC5	-0.1065
EIF4ENIF1	-0.54325
ZNF433	1.11825
TNFRSF21	-1.66325
TMPRSS7	0.7945
SPATA18	-0.3743
HPDL	-3.304
MKL2	1.7128
TBX3	3.44892307692308
C21orf93	0.43625
DAXX	0.159
ELMO1	-0.068375
RGS13	2.509
TAF11	-0.4315
UNC13A	-1.595375
LOC653314	1.5358
ORC3L	0.0205
IMAA	-2.672
TARBP2	-0.54
CABIN1	-0.8586
TRIOBP	-0.4515
HIST1H2AC	2.109375
RGS22	-2.89383333333333
NCOA1	1.14466666666667
IL25	0.3785
SNCG	0.568
GPR6	0.6365
AMDHD1	-2.47866666666667
CHEK2	-2.86925
C6orf142	-1.66833333333333
DRD4	0.749
C14orf68	-1.126
GDF11	-1.24925
SEMG2	0.3235
CD247	-0.897
CDAN1	0.2435
RBMX2	-0.4725
TGS1	0.24125
OIT3	1.60875
SYF2	0.071
MCM4	-1.203875
PKHD1L1	0.817875
CEP192	-0.238666666666667
IFT88	-0.14675
RPL9	0.451285714285714
RAB32	-1.034625
DDX43	-2.129
P2RX2	-0.0698333333333333
OR5D18	0.013
UBE1	1.199
SLC24A1	0.77225
ARHGAP5	1.257
CETP	-0.22325
KIAA1731	-0.7195
SLC9A4	0.4085
PTPN6	1.62925
BAHD1	0.32775
GRIK3	-0.4825
CACNB2	-0.1367
PDE10A	-0.33725
DGCR14	-0.63425
PCDHB9	1.11216666666667
RHOQ	0.474833333333333
MAP3K4	-0.615
KTI12	-0.0431666666666667
RPL23AP13	-0.5115
GNG11	-0.426
CLCN3	1.699
GPAM	-0.835125
VSTM2A	0.534
SLAMF7	3.10833333333333
INTS2	0.20575
PPP2CA	-0.3633
LRP12	0.5554
SEC14L2	2.796
DKFZP586H2123	2.2575
MC3R	-0.35
CIRH1A	-1.11233333333333
HIST1H2AB	1.49066666666667
POLH	-0.062125
MGC16703	-2.248
SNAPC2	0.3135
FILIP1L	0.8455
RASGRP4	0.635
LRRC1	1.717
GAS1	-2.20125
PRAC	-0.762
DGKA	-0.887666666666667
NT5C3	-0.43225
PEG3	-3.98683333333333
NADK	-0.9095
PRR17	-0.0474999999999999
LOC374569	-0.60725
SGSH	1.64083333333333
NLRP8	-0.7085
GALT	-0.6495
MCF2	-0.9495
ZNF263	0.18925
TACSTD1	1.37133333333333
TYR	-6.6822
ATP6AP2	0.24975
RNUXA	0.83225
ABHD10	0.237
GDPD2	-0.5085
SLC35C1	-0.16775
UBE2A	0.01475
HERC5	1.37983333333333
FAM112B	-4.99183333333333
FBXL16	1.94525
DKFZP434A0131	-0.43375
ELA3A	-2.091
RBM41	-1.22475
HAO2	0.35725
RNH1	-0.658375
SHANK2	1.243
OSBP2	-1.296375
DAK	0.200333333333333
C3orf58	1.30491666666667
TCL1B	0.7525
KBTBD2	-0.40075
SUGT1L1	1.20575
UBE2E2	0.9855
MYL9	1.635625
CDC23	0.059
PBXIP1	1.6674
CXorf40B	0.994
NBL1	2.7245
RTBDN	-0.2175
RAB11FIP5	-0.557375
TTTY13	-0.5775
SCOTIN	-0.152583333333333
SOHLH1	-0.466666666666667
CDKN1A	2.07764285714286
NCK1	0.20625
ZNF550	1.04375
SAPS3	1.09366666666667
SPIN3	0.893833333333333
MAGEE2	0.25525
MIS12	-0.306666666666667
OR8H2	0.4755
KIAA0774	0.859833333333333
UNC5D	-1.7325
CUL7	0.203166666666667
LIPC	-4.18016666666667
DIO1	-1.65875
C20orf11	-0.4128
CTRL	-0.577
HS3ST2	2.88925
PAK4	1.11566666666667
CCRL1	1.531
RNF10	-0.22475
ZNF567	-0.081
ZNF660	-0.895
TCEAL3	0.9195
MAGOH	-0.521
CENPB	-0.237166666666667
C19orf7	0.4595
LOC388965	0.0575
ZCCHC13	0.258
JMJD1A	0.3523
HIST1H4H	1.601
TBRG1	-1.1437
GPC3	-5.66825
TAF1C	-0.111125
EBNA1BP2	-0.8175
CIAPIN1	-0.2385
PDGFRA	-1.97772222222222
CSTB	-1.16575
CENPI	-2.12166666666667
GTF2E2	-1.87033333333333
RPP21	0.248
CCNF	-0.552166666666667
KCNQ3	0.548
FAM79A	0.76925
SLC22A12	0.4885
NOVA1	0.377166666666667
FZD3	-0.2666
AKAP8	-1.264
SOCS5	-0.144
CFDP1	-0.67075
DLG5	0.4555
PGM5	0.175
C1orf144	-0.0145833333333333
HDAC10	-1.0535
RND2	-0.24475
C20orf199	0.18575
RNMT	-0.6455
SLURP1	-0.053
ASTN1	-0.543125
SH3BGR	0.79175
MYCL1	0.026625
ZHX1	0.4605
CENPK	-2.4555
FOSB	-0.1523
LOC643406	-0.05875
C2orf59	-1.68175
TMEM135	-0.911125
SLC27A2	0.68325
KRT33A	2.8505
OVOL1	1.27775
PAMCI	-3.4775
S100A7	-1.1705
ZNF789	-1.6545
HARS2	0.207
RPL23A	0.406833333333333
TCF23	0.242
UPF3B	-0.43075
C17orf78	1.1285
HLA-DOB	0.3555
C14orf142	0.416166666666667
TEKT5	0.567333333333333
DMWD	0.0225
POLD1	-2.17716666666667
GSCL	-0.1835
CALD1	-0.6214
SCRT1	0.749833333333333
AIG1	2.04425
UNC84B	0.0585
ZNF404	1.32075
TMED6	-3.0195
KIAA1462	1.336
LRRC27	1.0008
PYGO1	0.353
PIGU	-0.612166666666667
ALAS2	-4.44583333333333
WRNIP1	-0.373
CNNM3	1.212
ZNF2	0.63325
ST3GAL5	-0.160416666666667
MRPL23	-0.61725
TSSK6	0.152666666666667
PSMA6	0.15375
C16orf70	-0.1965
KIAA1602	-0.49025
ALMS1	0.0871666666666667
DCN	0.54375
TMEM132D	-1.1845
SUCLG2	-0.338
ABHD14A	1.12775
DEXI	-0.237166666666667
AMPD2	-0.606333333333333
IFNAR2	0.0835
CYB5A	1.8704
TLOC1	1.05715
NXF5	-0.621166666666667
NRBF2	-0.620875
KCTD3	-0.0565
ITGAE	0.0461666666666667
SLC30A3	-2.13533333333333
ZRF1	-0.799
IFRD2	-1.102375
XAB1	0.18275
PYCR2	-0.839666666666667
SERPINB3	-3.875
TMLHE	-0.025
GEFT	-0.150375
ABCA5	0.48275
EMR4	0.054
TSFM	-0.04975
HIST3H2BB	0.37475
ARHGEF19	0.4155
