Hybridization REF	TCGA-AN-A0FJ-01A-11R-A00Z-07
ACAD8	-0.4345
RBM35A	0.58425
GNAI2	-0.592
METTL8	-0.312833333333333
SLC39A7	-2.29975
FBXO8	0.155
CAMK1	-0.92
RFC3	-1.91025
FAM129A	0.772357142857143
ILF2	0.30425
FGFBP3	-0.655125
NOM1	-0.749
PSMA3	-0.5525
ASCC3	-0.5993
ZYG11A	0.57225
SOX21	-1.58942857142857
LYRM1	0.20675
DEFB1	-1.6845
LOC91431	-2.91733333333333
OR7C2	1.3885
FAM46B	0.55725
TMEM18	0.19
ARHGAP30	1.062
TMEM86A	0.843333333333333
EPHA2	-0.2165
C10orf46	0.5367
TCHH	-1.43016666666667
C3orf30	-0.0603333333333333
LOC285636	0.925666666666667
PAIP2	-0.83
CYP2U1	-0.397625
C12orf34	1.01175
SARS2	-0.4905
ZCWPW1	0.08225
SAMD12	1.41725
KIAA1430	-0.5505
ACAT1	-1.60825
MEOX1	1.97516666666667
ADAMDEC1	5.1355
PHKA2	-0.4005
CARD11	-1.95716666666667
CALML4	-0.3215
TSSC1	0.02825
TMEM45A	0.783111111111111
MPP7	-1.74225
POU1F1	-0.587666666666667
SLC2A13	0.2225
FBN2	-0.456428571428571
ZC3H7A	-0.3483
LAIR2	-1.16475
ST3GAL1	-0.237166666666667
LCT	1.81025
GEMIN8	0.314
KLF16	-0.2183
HIF3A	1.0478
FAM44A	-0.926714285714286
AQP10	-1.578
PLA2G2A	-1.0975
FOLH1	4.424
C20orf186	0.3625
MAPKAP1	0.171
SPRR2D	-1.271
UBQLN4	1.00716666666667
RSHL1	1.05616666666667
PIAS3	-0.086875
MRPL24	0.0855
GREB1	-2.366625
FAM27E3	-3.417
NUP62CL	-3.23625
NEUROG3	-0.1965
REEP3	0.154166666666667
MARK1	1.856375
LMBRD1	0.34675
PRPF19	-1.1535
PNMT	-1.06533333333333
CTGLF1	-0.8665
SLC25A16	-0.13575
EIF2B3	-0.59
RPA2	0.52375
PAK6	1.79016666666667
CCDC26	-4.761625
SEMA3E	3.800125
MXD4	-0.0123
TNFSF10	3.5568
SMARCB1	1.05116666666667
DTX3L	0.261333333333333
PLA2G4E	0.4585
PPAP2A	0.595
ULK1	-0.341583333333333
TAS1R3	0.4595
SLC2A3	-3.21427272727273
ARID3A	-1.69075
GNG5	-0.8145
ACOX1	0.7179
KIF5B	0.26875
NUP153	0.36325
MUC7	1.0765
CSDE1	0.270642857142857
CLPTM1	-0.416
C3orf23	-0.153875
LRRC17	-2.313
TTYH3	1.36425
ATP5B	-0.427
ELF3	1.9899
CPSF3L	0.652
ZNF665	-0.656333333333333
TLR6	1.8214
GPI	0.0895
RAD9A	-0.185
NDST4	-3.79075
AGPAT3	-0.306666666666667
MAGI3	0.1325
ADORA2A	-0.134625
CACNG7	0.255
CAMK2D	0.238928571428571
CCHCR1	-1.804
RPS27A	-0.17375
OR10G7	0.5205
GCM2	1.235
FAM135B	0.524444444444444
E2F1	-0.78575
PLCB3	1.13
OR2AE1	0.5255
COIL	0.615166666666667
CDC25C	-1.2275
RAB11FIP2	-0.113083333333333
TSC2	0.2125
CTGLF5	-1.912
CCDC108	-0.102
OR13C4	0.66725
C10orf81	4.6005
PTPRB	1.27675
ACP2	-0.0185
LAG3	0.10475
MRPL54	-0.05925
LOC201175	-0.3455
ITGB1BP3	-2.32725
SPTAN1	0.0986666666666667
SIPA1L2	-2.0195
RCAN2	0.9125
CDX2	-0.9075
ECOP	0.308
ACTR1A	0.386571428571429
PPARG	-2.47166666666667
BBS10	0.445166666666667
TMEM44	-0.801625
BPIL2	0.248
CITED1	-2.181
IRF6	4.6965
PRDM4	0.801666666666667
RRP9	-0.873333333333333
OR10H4	0.04125
IL31RA	-0.71475
GNB1L	0.0895
MYBL2	-1.159875
ZNF407	1.69783333333333
PPIG	0.170666666666667
TTC18	-1.51075
RPSA	-0.0975
MAPT	-1.094
MRE11A	0.130928571428571
C8orf37	-0.441333333333333
RASGEF1C	1.46366666666667
STBD1	-0.90125
CTAG2	-0.767
MGAT5B	-2.6925
ECM1	-0.354
RLN1	0.2995
PARP14	-0.576625
EPB41L1	1.5565
HOXA3	1.31558333333333
MAGEA9	-0.3345
RPS8	0.043
RPS19BP1	0.59675
FOXJ2	0.665125
C10orf76	0.642375
IL17RE	0.5215
C10orf65	-2.0905
ZNF343	0.2065
FBXO33	-0.236125
UHMK1	-0.2561
LY6G6C	0.3755
FGF19	-2.457
C14orf128	-0.245
IFIT2	0.1195
TIGD1	-0.20025
S100G	-0.7315
GUCY1B3	3.9395
NR3C1	-1.2762
CORO1B	-0.4315
PARP11	0.207416666666667
DNALI1	3.12083333333333
OR4N4	0.4225
MAP2K6	-0.366833333333333
FSTL4	-0.1625
ANKRD47	1.26475
TMEM171	1.6085
PNLIP	0.1215
YY1	0.00633333333333333
CCDC138	0.1105
AASDHPPT	-1.0912
CKS1B	0.3805
MCM3	0.0223333333333333
ANAPC7	-0.354333333333333
FAM110A	-0.48025
CDC37L1	0.132833333333333
THTPA	-0.07725
NBPF20	-1.9845
WDR24	0.19825
NPTX2	0.234
CBLB	2.01516666666667
CETN1	-0.157333333333333
RPUSD1	0.18375
FAF1	0.1655
CDK6	0.045
HMX2	1.326
CSK	-0.341333333333333
TEAD2	3.046
SNAP25	-1.95125
TUFT1	0.7597
TMTC3	0.801333333333333
LCK	-1.064
SGOL1	-0.666
AKTIP	0.98925
FURIN	0.9985
SOX12	0.130166666666667
DEFB103A	-0.20925
RAMP1	-2.07125
KIR3DX1	2.794
GAS2L3	-0.491
PDE8A	-1.3562
EDN3	3.26875
GMIP	0.80275
SF3A2	-0.2365
FN3KRP	-0.08275
SMAD7	1.419
RHBDD2	0.225
OR11H6	0.4715
PPP1R3B	1.3634
C9orf23	-1.47
CADPS	-1.06425
GOLGA8A	-3.926125
TMEM57	0.4675
RGL3	-1.1575
S100A14	2.027
FGFR2	3.4066875
XRCC3	-0.63825
RTN4RL2	0.83025
MGC3771	0.935
GH2	0.0743333333333333
BTBD2	0.1985
LMO2	0.207
RDBP	0.097
ACRBP	-2.40425
AMY2A	5.08325
DUOXA1	2.0185
PTK7	1.8215
TWF2	1.025
FAM80A	-1.22975
TNNI2	-1.45683333333333
GLT25D1	0.291833333333333
OCC-1	-2.42075
CYC1	-0.353833333333333
RPL22	1.64890909090909
MORN3	2.70483333333333
DISP1	0.5635
PRB2	2.7815
CHUK	0.10525
HR	1.43425
CCDC134	-0.52275
DENND4B	-1.184
C14orf130	-0.948625
RAB33A	-1.8555
DCST2	0.0465
TNMD	-1.12
PEX7	-0.87075
FAM62A	0.2625
SRD5A2L	-0.85525
IL22	-0.4525
RPS26	-0.598
HOXC5	-0.429
SPATA6	1.08375
FLJ38482	-1.786875
ZNF234	0.6175
C18orf22	1.44875
SPATA22	0.1515
THOC1	0.75325
CYP7B1	3.2465
KCNC3	1.76125
C8orf42	-0.651
ALDH1B1	-0.0615
CCDC100	-0.6421
ARMC4	-3.179
FAM18B2	-0.3015
SLC44A1	0.3385
FBXO17	-1.62716666666667
C6orf107	-0.8785
C19orf29	0.9715
ZC3HAV1L	0.54975
PARP6	-0.4376
SULT2A1	-4.64385714285714
C1orf159	0.30175
TMC1	-0.18675
CHST14	1.43675
GAMT	-2.3815
SMCP	0.195833333333333
TSPAN33	2.87241666666667
MIDN	0.14525
NOX4	1.66375
RNASEN	0.271
TBX1	-0.729666666666667
SALL2	-1.603
C10orf35	2.22075
CYP2E1	-0.718
LRFN2	-0.699333333333333
ACO1	-1.49083333333333
IQCG	2.8692
MEGF9	0.79125
TM7SF4	0.57025
PLEKHA1	1.5594
STK33	2.374
C1orf210	0.567
SNUPN	-0.0111
KIAA0406	-0.01
C20orf29	-0.7805
TMEM55B	-0.81125
OSTM1	-1.121875
CLCN7	-0.4655
OTP	1.64125
FLJ23049	-0.93775
HEATR4	-0.083
MAP3K10	-0.2225
PCDHGA9	0.362
AMDHD2	-0.63425
LCTL	1.21
PDCD2L	0.85925
CABLES2	1.15775
SLC5A9	-0.74325
CLCA2	-1.05866666666667
MGC16025	-1.684
STRAP	1.1335
C20orf196	0.6065
RRBP1	0.398666666666667
NAT13	0.49575
MAT2B	0.675125
CSNK1D	-1.34816666666667
KIR3DL1	0.32025
PRKAG3	5.1815
ZNF599	0.0355
PRM3	0.283
PER2	0.645333333333333
ASPHD1	0.7565
PRMT6	-0.225
KCNE1L	-0.678428571428571
FAM118A	-0.227833333333333
TAF4	-1.3925
NDUFB6	-0.5525
TRIM9	-1.76508333333333
PMFBP1	-0.8165
KY	-0.399
DKFZp762E1312	-1.114
CSMD1	-1.434
TBP	-0.9255
OR1Q1	0.5392
RETNLB	0.43
HPGD	1.71207142857143
DNAJC12	-4.68233333333333
FKBP1B	-0.97875
ANKRD24	1.46566666666667
CXXC5	-2.61433333333333
IL3	0.214125
DRAM	1.2468
PTCH1	0.329125
TP53BP1	0.862
SLC17A7	-0.07725
COL25A1	-1.5717
AMACR	-0.0738333333333333
RHCG	3.965
VPS13A	-1.14991666666667
FAM55D	0.087
PRPF38B	-0.45075
OSBPL6	-2.6555
PFDN5	0.2327
CMTM6	1.310625
KCNK12	-1.369
RP2	1.25225
C16orf52	-0.509
PICK1	1.0895
IFNE1	-0.455833333333333
SEMA4B	-0.24725
TYRO3	-0.386
OR12D2	-0.2795
CSNK1A1	0.0396
FANCF	1.86225
LONP2	-0.546625
TBL1Y	-1.00675
LDOC1L	1.093875
CCNC	0.54675
C3orf60	-0.67275
CHKA	0.99925
UBAP1	0.16775
MAP3K1	-1.7845
ANKRD9	-1.46425
FAM92A1	1.04516666666667
GAB2	1.02425
AZU1	-1.0005
DIS3	0.588583333333333
C21orf109	-1.17625
IQCB1	0.63375
SPATS2	1.14833333333333
EFCAB3	0.257
PRB3	1.0815
FUZ	-0.349833333333333
ZNF813	-0.231875
BMPER	3.6935
HEG1	-0.340375
ALS2CR11	1.32075
SURF2	-0.63225
PSMC1	-0.157666666666667
OR2D2	0.147
SLC7A8	-1.24533333333333
C4orf40	1.1335
SPATA7	-0.056
MAZ	-0.184
PIN4	1.47925
PDE1A	0.268375
TAF6L	0.382333333333333
OR2T34	0.3965
KIAA0284	0.236
ACADS	-1.48881818181818
MKRN2	0.4205
C18orf56	-0.44575
MS4A6E	-0.1402
GALNT4	1.6629
C22orf31	-0.453
FLJ36070	0.334
PSME4	2.1345
TFG	0.5719
EPHX2	1.406625
ANXA5	0.34
KRTAP1-1	-0.0776
BATF	-1.28925
KARS	0.417
MSTP9	1.5795
GPR26	-0.215125
CCDC72	-0.665
TEF	0.530333333333333
FOXK1	0.4351
PRLHR	0.064
EMX1	0.588
C11orf30	0.499875
ICK	1.02125
THSD7B	-0.0175
C21orf100	-0.9175
DUOX1	2.5215
EFCAB4B	0.25175
UBE2G2	-0.8325
C3orf54	0.54325
PARP1	0.5495
FAM60A	1.15291666666667
C6orf146	0.656
OR9K2	0.988
DDX55	-1.11133333333333
RPS15	-0.915
ZNF618	0.3991875
DKFZp686D0972	2.52375
SSPO	-0.1945
SHFM3P1	-0.0271666666666667
CPA6	-0.80675
JAG2	1.13825
DEFA3	0.62825
PPBPL2	0.017
CD34	4.44125
SLCO4A1	-2.973625
AFG3L1	-2.1055
SHD	-0.709
RP13-122B23.3	-0.823166666666667
PRKCSH	-0.3245
DPH5	0.4365
HLA-F	0.738
TBC1D4	1.606
RIG	1.357
GLUD1	0.235333333333333
HNRPCL1	0.26325
HBXIP	-1.01175
RNF207	0.31
APIP	1.61375
PLA2G3	1.73033333333333
CCDC84	-1.658
MYLIP	-1.65623076923077
PHIP	-0.36875
AARS2	-0.4285
DHX32	1.13125
SCAPER	-0.795666666666667
MEN1	-0.108375
NIP7	0.1935
FLJ25404	0.754
FASTKD3	0.087
TMEM158	-0.244833333333333
RARA	0.89225
BDH1	0.7635
ANKRD16	1.40275
CARM1	1.181
SS18	1.58133333333333
IKZF2	-2.14309090909091
MYD88	0.78825
PML	0.29085
TAF1A	-1.2295
CBFB	-0.035125
HIST1H3H	-1.5895
C7orf29	-1.7595
COMMD4	-1.755
DPP3	-0.37625
DAB2	-0.028375
LOC388882	-0.0885
YPEL4	-1.20125
AGBL3	0.01375
LRP6	3.1117
SERPINH1	0.128583333333333
TLE1	0.29225
CD244	0.655666666666667
ZDHHC15	-2.51525
MGLL	-1.6535
PLDN	0.000166666666666675
LOC654346	0.7535
FAP	2.02475
GPR37	0.673166666666667
SCARA5	-0.7125
EBF4	1.02090909090909
LSM6	-0.05475
MLLT1	0.472
SLC5A12	0.3895
A2BP1	-1.40783333333333
COPS5	0.141833333333333
TPM4	0.107071428571429
TNFSF4	1.11866666666667
ACADSB	-0.729
HERPUD1	-0.1875
BCL2L11	-0.213888888888889
CEP78	-1.737
CDCA3	-0.460125
WBSCR19	-0.6586
MYO1A	-2.7845
PPEF1	2.76883333333333
LOC440348	-1.1395
CPEB2	-0.17825
BPTF	-0.548416666666667
RPL21	-0.414375
GSX2	-0.097
ADPRH	1.581
C17orf68	-1.06916666666667
KCNS1	1.507
MLLT6	0.0682
PIWIL4	1.826
RNF26	-0.78175
RAP1B	0.856375
ADAMTS1	0.1838
ZNF571	0.9145
P2RY6	-1.098
TRIM21	0.259166666666667
CADM3	-0.22725
NLRC5	0.170833333333333
ADRA2B	-0.0636666666666666
LOC90835	-1.1715
PCF11	-0.26825
LOC400451	-1.1965
GLTSCR1	0.1492
C17orf88	-0.9855
CDH16	-2.08325
FGF7	2.19975
PCSK4	-1.32083333333333
NPC1L1	-0.761666666666667
TAT	-0.104
TBCA	-0.81025
MGC33407	0.30675
GPR115	-1.427125
CYGB	0.544
FNBP4	-0.662333333333333
C12orf43	-0.226
CBL	-0.0671
CLECL1	1.844
PPAPDC1A	0.24975
WDR25	-0.548
SGCA	1.691
C22orf29	-0.2895
YIPF1	0.624
GALK2	-1.70275
RAB3B	-3.68625
LOC440087	-0.789
UCP1	0.0485
REEP5	0.14375
FADD	-0.2056
FOXA1	-1.873875
CACNA1A	-0.132166666666667
ABI1	1.07933333333333
GRIN2D	-0.718
SLC1A4	0.3605
LOC401127	-0.891
HINT2	-1.2685
PLD4	-0.680833333333333
ZNF286A	0.3035
ENY2	-0.776
IL1F6	0.4195
PXDNL	2.0805
C20orf79	-0.171
TNFSF13B	1.882
DENND3	1.373125
JARID1D	-3.26
HIST1H2AK	-0.176375
LOC93349	-0.3054
SSH1	-1.3529
ENSA	-1.03675
LOC219854	-1.313
CKAP2	-0.1042
DKFZP564J102	-1.76333333333333
MGC87315	-0.0858333333333333
HNRPAB	-0.99825
AMH	-2.7595
ZNF526	0.8545
BRUNOL5	0.013
CACNG3	0.183833333333333
TRPM1	-1.577
PPP2R1A	0.63225
COL2A1	-0.7835
DDN	0.482333333333333
FLJ25770	2.13858333333333
HK2	0.334357142857143
ELOVL6	-0.890375
MDK	-1.4755
EPHX1	0.09575
RASSF2	0.997875
DKFZP434B0335	-0.7555
DLX3	-0.75025
PRTN3	-1.002
AVPR1A	2.51825
C21orf125	-1.73075
TNFAIP8	-0.1895
GNB2L1	-0.87425
CALCRL	4.18875
SCGB2A2	0.433
UBXD7	-0.149
ZNF674	-0.165
TMEM35	1.542125
BRSK2	-0.307375
HECTD3	0.297666666666667
TMEM188	-0.322166666666667
LGALS9	0.812125
SCARB2	0.486833333333333
USP34	0.184666666666667
C17orf28	0.939416666666667
ZDHHC23	0.17025
AQP12B	-0.0205
SLC16A3	-1.627375
APLP2	0.249625
ITIH2	-5.25
MICAL3	0.13125
TNNI3K	-0.2064
HDAC2	1.428375
PRR7	-0.5803
THBS2	-0.549375
LOC751071	0.334666666666667
CA2	0.719666666666667
RANBP17	0.25375
RLN3	1.07725
CRYZ	-1.591
GBAS	1.2575
TAS1R1	3.54375
MPZL3	0.0755
PCDH8	4.64025
HSP90B1	0.156083333333333
KCNK15	-0.9125
TNIP2	-0.329166666666667
GPR146	-0.0345
NOL6	-0.858
SPC25	-1.59977777777778
STEAP2	0.930857142857143
VAMP3	0.417833333333333
TCIRG1	-1.254
ZP4	0.0698333333333333
PARL	0.3385
TRIM39	-0.155666666666667
KIAA1305	2.097
CRNN	-0.134833333333333
GRN	-0.57975
HSH2D	-3.003
SCAMP1	0.628
KIAA1913	3.19925
PTS	-0.80275
BANP	1.06271428571429
PRKACG	0.6105
ADCY6	0.00716666666666667
C16orf46	1.0475
CYP51A1	-0.423875
DDC	-5.06433333333333
ANPEP	-0.499
PROM1	4.61333333333333
SIGLEC10	2.0095
COPG	1.101
FAM26E	2.412375
TRIP4	-0.186
SNX3	0.668166666666667
C1orf175	0.259833333333333
PPY2	0.12325
C14orf152	0.21675
FTSJ1	0.357666666666667
DST	0.49815
LOC554235	0.42575
GLRX5	-0.67675
C20orf12	1.5539
CAB39	0.748333333333333
MSH2	0.567833333333333
PIP4K2C	1.448875
CYLD	1.29775
WTAP	0.68825
MGAT4A	-0.774888888888889
TSC22D4	-0.2122
CHRM2	0.846
PPYR1	9.25185853854297e-18
CCNH	-1.68666666666667
RRM1	0.05225
ECAT8	3.69275
LOC400120	-0.51325
GABRA4	-0.19575
C14orf4	0.378666666666667
C1orf59	1.13
CTDSPL	0.0934166666666667
NHEDC2	-0.485
PDE11A	-1.5666
KLHL29	-2.507
CD5	-0.0917
TSPAN9	0.8280625
WDR67	-0.4495
THUMPD1	0.1353
C18orf17	0.623
CLYBL	0.361333333333333
FLJ13231	-0.290375
CMBL	0.755875
LECT2	-0.27825
NKAPL	0.939666666666667
LOC654780	0.7025
OR4C6	0.679
RAB30	-0.101666666666667
TSSK4	0.061
TMEM163	1.7045
OSBPL11	0.9705
GNB5	-1.258
CCL21	1.64625
C1orf121	0.793
FMO2	3.0175
RPTN	1.1715
MSTN	-0.047
VCL	0.881928571428572
FYTTD1	0.2625
C11orf1	-0.53275
CCDC88C	0.274375
HFE	-1.372
MOGAT1	0.842
FAM125B	0.314666666666667
IRGQ	0.058
RAVER2	1.63225
AKAP5	-1.298
SSSCA1	-0.59475
C11orf63	-1.31125
ACTG2	3.9042
PORCN	-1.044
DTL	-0.397636363636364
TMEM151	0.629
FAM122C	1.99925
RSAD2	0.6586
BAT4	-0.7915
KRTDAP	-2.59866666666667
MYH8	-0.177285714285714
CRTC3	0.2415
LRRFIP2	0.7364
INTS4	-0.125333333333333
TTN	-0.416
SLC26A5	0.578
PLLP	-0.1405
RGS6	-1.1775
SRGAP3	-0.570375
ZNF525	-0.1605
NBR2	-0.4565
C13orf1	-0.126
ZNF137	-0.09
CEP27	-1.132
BEST2	0.457
RNF121	-0.13175
DMRTC2	0.647333333333333
C8orf76	0.14225
BCCIP	0.404375
MEST	-0.939
HTRA2	-0.282
ANGPTL2	0.3855
ILKAP	-0.0115
ERAS	0.128
HBS1L	-1.50975
CPA5	0.0775
TMEM30A	2.39466666666667
CD300LF	1.04083333333333
WISP3	4.08
CRK	0.983428571428571
PDS5A	-0.2923
BRPF3	0.276166666666667
NEDD9	-0.983875
SMPDL3B	2.618
PSG6	-1.87
PSMD13	0.70625
ETV5	-0.0929375
OR51A4	0.4005
BTBD7	-0.166833333333333
GSTO1	-2.076
hCG_16001	0.436
MAD2L1BP	-1.44166666666667
COX6A2	-0.7215
SCNN1A	0.155
LSM1	0.3215
UGT2B11	-2.25125
IDUA	-0.1505
PPP2R3C	-0.415166666666667
COX11	-1.22783333333333
PDZK1	-1.577
ZNF443	0.2285
MGC21874	-0.00816666666666666
ZNF323	1.9298
KRTAP10-10	0.576
CXCL6	-0.96225
SLC34A2	4.2251
LOC284402	0.576
NPTN	-0.15625
UPP1	-2.43775
SLC6A9	-0.1655
OR7G3	0.4225
CISD1	-0.230333333333333
ZNF545	-0.4655
SYT14	-0.4935
NT5C3L	0.669333333333333
ZNHIT3	-0.326
SNRPD3	0.93
KIAA0701	0.43925
UNC93B1	-0.486333333333333
GMNN	-2.063375
SPCS2	0.598
LOC388524	-0.5085
NAPRT1	-2.129
PNLIPRP1	0.31975
OR6V1	0.6125
PRKAB1	-0.0145
EYA4	-2.7765
KIF20A	-0.47625
ALG10	-0.202
ITPKC	0.731833333333333
LMX1B	-0.246
RPUSD4	-0.755833333333333
C7orf34	0.5785
DLGAP2	0.231
PFN1	-0.2108
MICALL2	-0.223916666666667
ZNF654	-0.757
SS18L1	0.394
SLC16A8	1.808
MKI67IP	0.473833333333333
ITGB3	-0.91425
TCEA3	1.953
CEP152	-1.90073333333333
CLIP1	0.141375
ZNF75	-0.0388125
ATP5C1	-0.185833333333333
NUDT5	-0.452666666666667
PSCDBP	0.0955
UBP1	0.6815
RBM27	-0.36475
C13orf15	2.81725
ZNF282	0.2885
ZNF222	0.6959
COL10A1	5.39025
PRDM15	-0.11525
TTTY5	0.202
FAM9C	-0.725583333333333
C20orf67	-0.2115
GNG13	-0.545
F12	-1.2975
C1orf41	-0.4525
CPXCR1	0.063
GSK3A	0.429375
SUPT6H	-0.0338333333333333
PI16	-1.27283333333333
ELL2	-2.17141666666667
C9orf167	-2.2175
PVRL3	-1.3724
FLJ38596	1.85575
ADAM20	0.16425
GPR89A	0.5935
GPR87	1.2145
ZNF30	0.16075
SMR3B	-0.0506666666666667
ZNF770	0.8965
TRPC4AP	-0.427833333333333
DKFZP686E2158	-0.00933333333333334
C2orf28	-0.3125
FREM1	-2.345
LAMA4	0.291
ADPRHL2	0.509
EIF4G2	1.21433333333333
GUCA1A	2.888
CTNNA2	-1.97625
NUDT15	0.602
CEPT1	-0.1385
ZNFX1	-0.7378
CCDC92	1.411
TDRD1	1.764
KCNK5	1.20966666666667
ETNK1	-0.035
LTA	0.6615
TTPA	-0.660666666666667
B3GALNT2	0.073
SC65	-0.732166666666667
PEX5L	-1.467875
EPS15L1	0.8015
MGEA5	-0.6695
HIST1H3A	1.22225
ING1	1.331125
BCAT1	-3.209375
ORC6L	-1.29554545454545
KLK11	-5.10566666666667
C19orf28	-0.653125
DNER	3.82175
MED22	-1.24328571428571
ETV6	4.47225
CHAC2	-0.12675
CD300E	0.2825
CEBPB	2.50783333333333
ZNF398	-0.41775
LRCH3	0.647
HMGA1	-1.263
CAPN7	-0.216
MGC5566	-3.81775
CCL3	1.9805
NANOS1	-0.40475
ZFYVE19	-0.03425
APITD1	0.417
PARD3	1.5145
IRAK4	-0.221333333333333
SERPINI2	-0.8515
CEP170L	0.7235
TTC9	1.8715
MYOM3	1.985
MLPH	-4.162375
LOC222699	-1.0225
NRG1	-1.72641666666667
TBC1D9	-0.614272727272727
TTK	-1.02533333333333
ZNF557	0.0588
DDX41	-0.737666666666667
FANK1	3.3345
UBE2D2	-0.72575
PSMB10	-0.59425
MYH7B	0.2585
GABARAPL2	0.411875
MARVELD2	0.6335
DGCR2	1.088
UNC45A	-0.152
C6orf72	-1.2285
ZNF683	3.9335
GIT2	0.187375
CASK	1.7555
C14orf161	1.45133333333333
LRRC44	-0.113
TIFA	0.708625
UTP11L	0.598
C6orf65	2.16875
FDPS	0.72125
DUSP9	-1.1145
SLC17A8	0.8088
OR51G1	0.3795
NANS	-0.79775
OLFML1	1.7685
ATP10B	-1.073375
NPAS3	0.9475
PRKCA	-2.7067
GGA2	0.2015625
LCE4A	1.085
SPANXN3	-0.0183333333333333
CCDC115	2.38925
SDCCAG3	-1.3175
GLIPR1L1	0.63225
TTC1	-0.4755
C17orf76	2.625
MAD2L2	1.10075
HIPK1	-0.5215
LRRC3B	-0.439833333333333
CLN3	-0.954909090909091
C17orf47	0.1975
FMN2	-3.492125
TUBB1	-0.608428571428571
WAPAL	0.496666666666667
C3orf21	0.0915
SCN5A	-0.811333333333333
SMYD1	1.92675
BEX5	1.6455
ZNF192	0.2365
SEC22A	0.25
GRIA2	0.546571428571428
KIAA0825	-1.92325
NUSAP1	-0.229090909090909
LANCL1	0.725
C15orf40	-1.2753
ZNF645	0.3385
GPR61	0.57625
NLRP14	-0.385
SNX21	-0.891
C1QTNF8	0.203
C17orf46	0.3645
IFNA8	-0.1
SPRR1B	-2.22216666666667
FLRT1	-0.77125
SNX17	-0.241666666666667
ASB2	-1.2955
HBG1	-5.0815
RPRML	1.375
JOSD2	-0.628166666666667
PLSCR3	0.68825
SPOCD1	-1.159
RAB39	-0.4935
GHRH	0.195
ITIH5L	-0.02525
C17orf37	-0.04275
SMCR8	0.13925
DPY19L2P3	-1.8245
IL11RA	-0.266
GDF3	-3.861
RPS6KB1	-1.599
DNAJC19	-0.3502
TOP1	-0.5595
CRCT1	-1.008375
MPST	-0.577
DPM2	-0.354875
FAM38B	-2.06633333333333
SLC18A1	-2.222
FARP1	1.767
PAX7	0.01
TUBD1	-1.31025
GNL3	-0.25275
BTG2	-1.3298
NDUFS6	-0.39875
C1orf79	-1.271
ERAL1	-0.02275
ECHS1	0.96125
VPS4A	0.243333333333333
CYP11A1	-1.49875
ABCC6	-2.15207142857143
PBX4	0.521
MOSC1	-0.612375
NCF4	-0.4165
HYMAI	1.118
NAGPA	-0.34075
OTOP2	0.2265
ACOT12	-0.22775
MTHFD2L	-1.085625
LOC441376	4.46
C19orf34	-0.978
RAB1B	-0.06975
ALDOAP2	-0.6075
NTRK1	-2.20483333333333
ARTS-1	-0.1735
SLC6A11	-0.9275
NAP1L2	-3.91175
CNGB1	0.279666666666667
EPB41L4B	0.448583333333333
FAM134B	-0.713
HS3ST3A1	0.548333333333333
CPXM2	3.09325
SIRPB2	0.1555
CHORDC1	-1.38633333333333
TRIB3	-2.41416666666667
SLC2A5	0.68
C2orf49	-1.00533333333333
DDX5	-0.7625
OR5L1	0.2655
ANAPC4	-1.17483333333333
ZSWIM1	-0.676
LOC93622	-0.85775
KCNK3	-1.0304
RP11-35N6.1	-1.80183333333333
ZFP161	1.1485
AQP9	4.025
SLC15A2	1.395
MREG	-1.50683333333333
OR9I1	0.6175
PDLIM2	0.1675
ADAM7	0.695
GSTCD	-1.00283333333333
WDR21A	-0.66825
SLC12A8	2.1175
TMEM174	0.62175
IGSF3	0.796666666666667
LRRN1	3.403
LOC402117	-0.065
SRPK1	-0.082
LY6K	1.0181875
NFIA	3.019
PTCD3	0.271
LEP	0.819
PCDH21	-0.6665
MAPKAPK2	0.526357142857143
NMNAT1	0.252333333333333
LHFPL2	0.6285
C9orf43	1.16575
DIP2A	0.00149999999999996
ACTR8	-0.062625
CCDC34	1.24825
PTPN22	-1.21475
ITGA3	-2.948625
FAM129C	-0.3735
RABGGTA	0.0326666666666667
UNC45B	1.7365
KIAA1033	-0.17675
ZNF510	0.196333333333333
CYP2D6	-0.0271666666666667
SLC26A10	-2.298
STX8	-0.7785
LUZP1	0.9815
WDR89	0.0301666666666667
EIF4G3	0.3825
C5AR1	0.9575
ZNF623	0.6145
A2M	0.768
TGM7	0.4325
GRPEL1	-0.686
LMNB2	-0.3016
ROCK2	-0.14
SNX16	0.94175
CCDC66	-0.0985
ANXA3	0.179
KIAA1609	0.567375
EED	-1.3445
RNF32	1.03633333333333
HES1	-0.5152
CLC	0.0865
ISL1	0.0215
KIAA0528	-0.063
MANEA	0.133
C1orf61	-1.7935
hCG_2001000	0.26975
RAPGEF6	-0.8061
KIAA0020	0.0436666666666667
NEIL1	-0.678
C16orf45	-2.543625
RBM10	0.271166666666667
C10orf125	-0.424875
MRS2L	-1.585
DNAH17	1.814
C19orf10	-0.30975
C1orf160	0.44325
SLFN12	0.8045
EXOC3	-0.0976666666666667
HIST3H3	0.7045
NCOR2	0.5305
TNFRSF9	1.3425
MFSD8	-1.04225
ALX1	-1.638
NOL1	-0.37
PODN	2.25875
TIAL1	-1.53675
HIST1H1E	-1.2505
NPY6R	0.82
TM4SF4	0.76925
CORO2A	-0.3525
ETNK2	-1.794
APOE	-0.0914
ANGPT4	-0.00750000000000001
HDGF2	0.654
G30	-0.7785
