Hybridization REF	TCGA-AN-A0G0-01A-11R-A034-07
PAIP2	-0.58625
CYP2U1	-0.517857142857143
C12orf34	2.2435
SARS2	0.0898333333333333
ZCWPW1	-0.38375
SAMD12	1.78425
KIAA1430	0.040875
ACAT1	-0.51325
MEOX1	-0.1305
ADAMDEC1	6.46025
PHKA2	-1.79475
CARD11	-1.76133333333333
CALML4	-0.2
TSSC1	-0.54675
TMEM45A	-0.123555555555556
MPP7	0.714875
POU1F1	0.03875
SLC2A13	0.0132
FBN2	1.648
ZC3H7A	-0.0626
LAIR2	-1.68175
ST3GAL1	-0.465166666666667
LCT	2.73275
GEMIN8	-0.00616666666666669
KLF16	0.5703
HIF3A	-0.1826
FAM44A	0.072
AQP10	-0.9163
PLA2G2A	-2.166
FOLH1	3.89416666666667
C20orf186	2.4345
MAPKAP1	-1.05975
SPRR2D	-1.537
UBQLN4	0.42
RSHL1	0.447833333333333
PIAS3	0.623125
MRPL24	1.10475
GREB1	-4.28275
FAM27E3	-0.6945
NUP62CL	-2.163
NEUROG3	0.8575
REEP3	1.69883333333333
MARK1	-1.0455
LMBRD1	0.719
PRPF19	-0.702
PNMT	-0.752
CTGLF1	-1.555
SLC25A16	-0.16525
EIF2B3	-0.559
RPA2	-0.68425
PAK6	0.872166666666667
CCDC26	-4.002125
SEMA3E	4.024625
MXD4	0.2553
TNFSF10	1.6547
SMARCB1	0.615166666666667
DTX3L	1.23466666666667
PLA2G4E	0.237
PPAP2A	-0.39325
ULK1	-0.772333333333333
TAS1R3	0.623
SLC2A3	-3.01645454545455
ARID3A	-2.12525
GNG5	0.164
ACOX1	0.3859
KIF5B	1.34125
NUP153	-1.042
MUC7	0.583
CSDE1	-0.065
CLPTM1	-0.21325
C3orf23	-0.352125
LRRC17	-2.358
TTYH3	0.822625
ATP5B	-0.636
ELF3	2.2753
CPSF3L	-0.263
ZNF665	-0.402666666666667
TLR6	0.4692
GPI	-0.249125
RAD9A	-0.278875
NDST4	-3.64725
AGPAT3	0.603916666666667
MAGI3	0.4925
ADORA2A	-0.3665
CACNG7	0.349
CAMK2D	1.06428571428571
CCHCR1	-0.742
RPS27A	0.10925
OR10G7	0.2295
GCM2	-0.193
FAM135B	0.539888888888889
E2F1	-0.55875
PLCB3	-0.3565
OR2AE1	0.747
COIL	-0.2685
CDC25C	-1.15
RAB11FIP2	-0.0890833333333333
TSC2	0.08325
CTGLF5	-1.8675
CCDC108	0.0869
OR13C4	0.44725
C10orf81	6.6295
PTPRB	0.34275
ACP2	0.715
LAG3	0.852
MRPL54	0.20825
LOC201175	1.1595
ITGB1BP3	-1.17875
SPTAN1	-0.172666666666667
SIPA1L2	0.5065
RCAN2	0.1905
CDX2	-1.5515
ECOP	-1.45225
ACTR1A	0.323928571428571
PPARG	-2.515
BBS10	-0.626833333333333
TMEM44	-1.84225
BPIL2	0.3645
CITED1	-0.8625
IRF6	3.6185
PRDM4	-0.398833333333333
RRP9	-1.29333333333333
OR10H4	0.39975
IL31RA	-0.64425
GNB1L	-0.507
MYBL2	-0.60275
ZNF407	0.827166666666667
PPIG	-0.224166666666667
TTC18	-1.1255
RPSA	-0.632
MAPT	-0.882
MRE11A	-0.293571428571429
C8orf37	0.2165
RASGEF1C	0.0786666666666667
STBD1	-0.1275
CTAG2	-0.937333333333333
MGAT5B	-2.716
ECM1	0.02
RLN1	-0.7425
PARP14	0.609
EPB41L1	-0.3384
HOXA3	-0.630416666666667
MAGEA9	-5.267
RPS8	-0.895333333333333
RPS19BP1	1.25075
FOXJ2	-0.788625
C10orf76	0.477375
IL17RE	0.50075
C10orf65	-2.25525
ZNF343	-0.58
FBXO33	0.212375
UHMK1	1.1364
LY6G6C	-0.4625
FGF19	-2.236
C14orf128	0.7765
IFIT2	1.573875
TIGD1	-0.2865
S100G	0.4345
GUCY1B3	4.27
NR3C1	-1.0943
CORO1B	0.0808333333333333
PARP11	-1.22108333333333
DNALI1	4.53166666666667
OR4N4	0.0825
MAP2K6	1.46433333333333
FSTL4	-0.9025
ANKRD47	0.907125
TMEM171	-0.2125
PNLIP	-0.7795
YY1	0.0218333333333333
CCDC138	-0.2675
AASDHPPT	0.2572
CKS1B	0.3895
MCM3	-1.14466666666667
ANAPC7	-0.439666666666667
FAM110A	2.19175
CDC37L1	-0.2455
THTPA	0.40225
NBPF20	-1.206
WDR24	0.559
NPTX2	-2.17275
CBLB	0.555
CETN1	-0.00600000000000001
RPUSD1	0.06675
FAF1	-0.11575
CDK6	-0.1544
HMX2	0.197
CSK	-0.685
TEAD2	1.34325
SNAP25	-1.26225
TUFT1	1.2128
TMTC3	0.717
LCK	-2.09325
SGOL1	0.156666666666667
AKTIP	0.942
FURIN	0.360625
SOX12	-0.1015
DEFB103A	-0.1515
RAMP1	0.155
KIR3DX1	0.9035
GAS2L3	0.77025
PDE8A	-1.9003
EDN3	-0.845
GMIP	1.12075
SF3A2	0.32075
FN3KRP	-0.3755
SMAD7	-0.0185
RHBDD2	0.67725
OR11H6	1.1165
PPP1R3B	2.2621
C9orf23	-0.47025
CADPS	-0.59225
GOLGA8A	-2.836875
TMEM57	0.785166666666667
RGL3	-0.8545
S100A14	-1.14675
FGFR2	0.2484375
XRCC3	-0.58075
RTN4RL2	0.594
MGC3771	-0.474
GH2	0.478333333333333
BTBD2	0.02025
LMO2	-1.5945
RDBP	-0.25725
ACRBP	-1.155
AMY2A	4.5905
DUOXA1	0.664
PTK7	1.16183333333333
TWF2	-0.032
FAM80A	0.91075
TNNI2	-2.714
GLT25D1	-0.458833333333333
OCC-1	-2.527
CYC1	-0.052
RPL22	0.206818181818182
MORN3	2.17166666666667
DISP1	1.24875
PRB2	0.455
CHUK	0.00975
HR	1.488375
CCDC134	1.39275
DENND4B	0.0555
C14orf130	0.465875
RAB33A	-1.882
DCST2	0.5625
TNMD	-2.53225
PEX7	1.23375
FAM62A	0.011625
SRD5A2L	1.554
IL22	-1.81275
RPS26	-0.361666666666667
HOXC5	-0.6655
SPATA6	3.2125
FLJ38482	0.074125
ZNF234	0.7465
C18orf22	0.9175
SPATA22	0.5715
THOC1	-0.22475
CYP7B1	5.90425
KCNC3	0.1145
C8orf42	0.806
ALDH1B1	-0.45
CCDC100	-0.5823
ARMC4	-4.59975
FAM18B2	-0.22375
SLC44A1	0.240625
FBXO17	-2.63383333333333
C6orf107	-0.39375
C19orf29	-0.42275
ZC3HAV1L	0.51125
PARP6	-0.3169
SULT2A1	-4.931625
C1orf159	0.2265
TMC1	3.472
CHST14	0.140375
GAMT	-1.547
SMCP	0.489166666666667
TSPAN33	1.35983333333333
MIDN	0.81325
NOX4	3.45225
RNASEN	-0.6335
TBX1	-2.839
SALL2	-1.9125
C10orf35	1.251
CYP2E1	-2.153
LRFN2	-0.830666666666667
ACO1	-1.431
IQCG	2.4825
MEGF9	0.2875
TM7SF4	1.9265
PLEKHA1	0.3964
STK33	-3.4475
C1orf210	1.51825
SNUPN	0.5451
KIAA0406	-1.1247
C20orf29	0.43325
TMEM55B	-0.9175
OSTM1	-1.141
CLCN7	-0.627
OTP	0.682
FLJ23049	-1.8815
HEATR4	0.303
MAP3K10	0.1215
PCDHGA9	0.132
AMDHD2	-0.48175
LCTL	0.6085
PDCD2L	0.199
CABLES2	-0.203
SLC5A9	-0.14175
CLCA2	-2.38666666666667
MGC16025	0.243
STRAP	-0.563666666666667
C20orf196	-0.71
RRBP1	1.68416666666667
NAT13	-0.49925
MAT2B	-0.186375
CSNK1D	-0.687166666666667
KIR3DL1	0.6835
PRKAG3	-0.991
ZNF599	-0.714
PRM3	0.9485
PER2	0.513166666666667
ASPHD1	-3.1335
PRMT6	-0.177
KCNE1L	-0.586214285714285
FAM118A	0.0361666666666667
TAF4	-0.4315
NDUFB6	-0.254
TRIM9	2.12433333333333
PMFBP1	0.22975
KY	-0.5455
DKFZp762E1312	-0.615454545454545
CSMD1	0.349
TBP	-0.586
OR1Q1	0.946166666666667
RETNLB	0.101
HPGD	-0.508071428571429
DNAJC12	-2.47533333333333
FKBP1B	-1.8735
ANKRD24	-1.46966666666667
CXXC5	-1.815
IL3	0.625125
DRAM	0.8581
PTCH1	-1.49725
TP53BP1	-0.03475
SLC17A7	0.07175
COL25A1	0.0758
AMACR	-0.0386666666666667
RHCG	0.944
VPS13A	-0.846833333333333
FAM55D	-0.211
PRPF38B	-0.497916666666667
OSBPL6	-0.81675
PFDN5	-0.0749
CMTM6	1.0175
KCNK12	-1.518
RP2	-0.054
C16orf52	-0.896
PICK1	1.057
IFNE1	-2.04883333333333
SEMA4B	0.34475
TYRO3	-0.34425
OR12D2	0.339
CSNK1A1	-0.55225
FANCF	1.4855
LONP2	0.59225
TBL1Y	-0.82625
LDOC1L	1.11775
CCNC	0.637
C3orf60	-0.424
CHKA	0.32475
UBAP1	-0.12275
MAP3K1	-0.298
ANKRD9	0.01875
FAM92A1	-2.70683333333333
GAB2	3.016625
AZU1	-0.452
DIS3	-1.07216666666667
C21orf109	-0.625333333333333
IQCB1	-1.48525
SPATS2	-0.312166666666667
EFCAB3	-0.088
PRB3	1.06975
FUZ	-0.267833333333333
ZNF813	0.118125
BMPER	-1.543
HEG1	-0.760625
ALS2CR11	-1.4845
SURF2	0.2055
PSMC1	0.312
OR2D2	0.424
SLC7A8	-1.248
C4orf40	5.919
SPATA7	0.68425
MAZ	0.0365
PIN4	-1.0435
PDE1A	-1.626875
TAF6L	-0.167833333333333
OR2T34	0.636
KIAA0284	0.74525
ACADS	-0.827545454545455
MKRN2	-0.4615
C18orf56	0.13125
MS4A6E	0.574
GALNT4	0.7371
C22orf31	0.493
FLJ36070	0.19
PSME4	1.0935
TFG	-0.2321
EPHX2	-2.964625
ANXA5	0.4515
KRTAP1-1	-0.2334
BATF	0.5245
KARS	-0.99375
MSTP9	-0.931
GPR26	0.263
CCDC72	-0.6665
TEF	0.63
FOXK1	-0.3126
PRLHR	0.8005
EMX1	0.7245
C11orf30	0.090375
ICK	1.352625
THSD7B	-1.05633333333333
C21orf100	-1.302
DUOX1	1.544
EFCAB4B	-1.05925
UBE2G2	-0.872166666666667
C3orf54	-0.29675
PARP1	0.5115
FAM60A	0.277166666666667
C6orf146	0.475
OR9K2	0.704
DDX55	-0.637833333333333
RPS15	-0.000666666666666686
ZNF618	0.704375
DKFZp686D0972	-0.00175
SSPO	-1.2425
SHFM3P1	-0.00549999999999999
CPA6	-1.4455
JAG2	1.053
DEFA3	0.46
PPBPL2	-0.194666666666667
CD34	3.856625
SLCO4A1	-3.2205
AFG3L1	-1.66466666666667
SHD	-0.11075
RP13-122B23.3	-0.684
PRKCSH	-0.526833333333333
DPH5	-0.271666666666667
HLA-F	1.52825
TBC1D4	0.387
RIG	0.0101666666666667
GLUD1	-1.24466666666667
HNRPCL1	0.61375
HBXIP	0.0555
RNF207	-0.7675
APIP	-0.60625
PLA2G3	-1.50566666666667
CCDC84	-0.70625
MYLIP	-1.13915384615385
PHIP	0.17525
AARS2	-0.253
DHX32	-0.818
SCAPER	-0.210166666666667
MEN1	-0.178625
NIP7	-0.5205
FLJ25404	0.8605
FASTKD3	-0.456
TMEM158	-2.39291666666667
RARA	1.1185
BDH1	0.5265
ANKRD16	0.85175
CARM1	-0.035
SS18	0.0928333333333334
IKZF2	0.482583333333333
MYD88	-0.20075
PML	0.03685
TAF1A	-0.50425
CBFB	0.882
HIST1H3H	-1.60016666666667
C7orf29	-0.45125
COMMD4	-0.662166666666667
DPP3	0.4405
DAB2	0.0214999999999999
LOC388882	-0.495
YPEL4	-0.865625
AGBL3	0.9645
LRP6	1.3903
SERPINH1	0.484083333333333
TLE1	0.71275
CD244	0.751833333333333
ZDHHC15	-0.1095
MGLL	-1.787
PLDN	-0.380166666666667
LOC654346	0.9535
FAP	2.42525
GPR37	2.5635
SCARA5	-0.7055
EBF4	-0.222636363636364
LSM6	-0.2265
MLLT1	-0.194375
SLC5A12	-0.10475
A2BP1	-1.53316666666667
COPS5	0.457333333333333
TPM4	0.895571428571428
TNFSF4	0.423333333333333
ACADSB	-0.785666666666667
HERPUD1	0.61425
BCL2L11	-1.38905555555556
CEP78	-1.13275
CDCA3	-0.440375
WBSCR19	-0.2632
MYO1A	-2.729
PPEF1	2.62266666666667
LOC440348	-1.42525
CPEB2	1.55875
BPTF	-0.194666666666667
RPL21	0.1725625
GSX2	-0.103
ADPRH	1.0775
C17orf68	-0.203833333333333
KCNS1	2.80716666666667
MLLT6	0.4598
PIWIL4	3.0355
RNF26	0.01475
RAP1B	0.305
ADAMTS1	-1.673
ZNF571	0.4215
P2RY6	0.162
TRIM21	0.608166666666667
CADM3	-0.07
NLRC5	0.545333333333333
ADRA2B	0.288333333333333
LOC90835	-0.109125
PCF11	0.27425
LOC400451	1.20275
GLTSCR1	0.3205
C17orf88	-1.038
CDH16	-1.90525
FGF7	1.959875
PCSK4	-1.279
NPC1L1	-1.27616666666667
TAT	0.254
TBCA	-0.6865
MGC33407	-0.182
GPR115	-1.86575
CYGB	-0.739
FNBP4	-0.688833333333333
C12orf43	-0.20575
CBL	0.1529
CLECL1	0.5245
PPAPDC1A	2.685
WDR25	-0.3025
SGCA	-0.6975
C22orf29	0.581333333333333
YIPF1	0.47175
GALK2	0.34575
RAB3B	-3.43958333333333
LOC440087	-2.16
UCP1	-0.665
REEP5	0.18575
FADD	0.034
FOXA1	0.9625
CACNA1A	0.524333333333333
ABI1	0.644666666666667
GRIN2D	0.3675
SLC1A4	-0.544666666666667
LOC401127	0.03975
HINT2	0.262
PLD4	-0.837
ZNF286A	-0.227
ENY2	0.25525
IL1F6	-0.2965
PXDNL	4.85575
C20orf79	0.688666666666667
TNFSF13B	3.35616666666667
DENND3	-0.339875
JARID1D	-3.46675
HIST1H2AK	-0.235125
LOC93349	0.0488
SSH1	-0.178
ENSA	0.5425
LOC219854	-0.056
CKAP2	-0.6151
DKFZP564J102	-1.50133333333333
MGC87315	0.3175
HNRPAB	-0.78125
AMH	-1.8605
ZNF526	0.7095
BRUNOL5	-0.2244
CACNG3	0.1865
TRPM1	-1.9635
PPP2R1A	0.10075
COL2A1	4.019
DDN	-0.033
FLJ25770	1.67990909090909
HK2	0.545214285714286
ELOVL6	-0.606625
MDK	0.6115
EPHX1	0.55525
RASSF2	0.515
DKFZP434B0335	0.50825
DLX3	-0.723125
PRTN3	-0.861
AVPR1A	0.93525
C21orf125	-1.755
TNFAIP8	0.221666666666667
GNB2L1	-1.03575
CALCRL	2.85125
SCGB2A2	0.334166666666667
UBXD7	-0.5485
ZNF674	-0.7865
TMEM35	-0.605375
BRSK2	-1.28725
HECTD3	-0.631333333333333
TMEM188	-0.4115
LGALS9	1.048
SCARB2	1.59558333333333
USP34	0.53275
C17orf28	1.67258333333333
ZDHHC23	-0.1945
AQP12B	0.257
SLC16A3	-1.995375
APLP2	1.589375
ITIH2	-5.275
MICAL3	0.967125
TNNI3K	-0.2786
HDAC2	1.092875
PRR7	0.4909
THBS2	2.30225
LOC751071	0.1295
CA2	-0.169666666666667
RANBP17	1.313
RLN3	0.6105
CRYZ	-1.10116666666667
GBAS	0.342833333333333
TAS1R1	-0.42825
MPZL3	3.2045
PCDH8	-2.41425
HSP90B1	0.694
KCNK15	-0.3615
TNIP2	-0.365333333333333
GPR146	-0.9055
NOL6	-0.34725
SPC25	-1.48866666666667
STEAP2	-0.4075
VAMP3	-1.283
TCIRG1	0.50275
ZP4	0.216166666666667
PARL	0.208
TRIM39	-0.00166666666666668
KIAA1305	2.05375
CRNN	-0.0213333333333334
GRN	-0.412
HSH2D	-2.17375
SCAMP1	0.253875
KIAA1913	0.05925
PTS	0.9915
BANP	0.734071428571429
PRKACG	0.116
ADCY6	0.248166666666667
C16orf46	0.832
CYP51A1	0.295375
DDC	-5.617
ANPEP	-1.13233333333333
PROM1	5.14816666666667
SIGLEC10	2.25
COPG	0.553
FAM26E	0.805125
TRIP4	0.4685
SNX3	-0.113666666666667
C1orf175	0.187333333333333
PPY2	-0.235666666666667
C14orf152	-1.76875
FTSJ1	-1.32483333333333
DST	0.2391
LOC554235	0.5605
GLRX5	-0.39625
C20orf12	1.2865
CAB39	-0.390166666666667
MSH2	-0.7885
PIP4K2C	0.977375
CYLD	-0.07425
WTAP	0.7328125
MGAT4A	2.03088888888889
TSC22D4	0.0819
CHRM2	2.8785
PPYR1	0.233666666666667
CCNH	-1.1735
RRM1	-0.13225
ECAT8	-3.64275
LOC400120	0.44475
GABRA4	-0.471428571428571
C14orf4	1.16583333333333
C1orf59	0.41975
CTDSPL	0.0199166666666667
NHEDC2	-0.4815
PDE11A	-0.799733333333333
KLHL29	-2.40375
CD5	-1.0071
TSPAN9	1.361125
WDR67	0.024
THUMPD1	-0.4861
C18orf17	1.14425
CLYBL	-1.53183333333333
FLJ13231	-0.54225
CMBL	-0.855875
LECT2	-0.44575
NKAPL	1.897
LOC654780	0.7385
OR4C6	0.902
RAB30	-0.287833333333333
TSSK4	0.1135
TMEM163	0.3105
OSBPL11	-0.203166666666667
GNB5	-0.1045
CCL21	0.91875
C1orf121	1.50183333333333
FMO2	1.5635
RPTN	1.2
MSTN	0.4225
VCL	-0.146357142857143
FYTTD1	-0.16675
C11orf1	0.64075
CCDC88C	0.23275
HFE	-0.0352777777777778
MOGAT1	1.6695
FAM125B	-0.1265
IRGQ	-0.3945
RAVER2	0.155
AKAP5	-1.527
SSSCA1	0.27
C11orf63	-1.570875
ACTG2	0.9335
PORCN	-2.1275
DTL	-0.837454545454546
TMEM151	0.9805
FAM122C	-1.95375
RSAD2	3.0065
BAT4	0.163
KRTDAP	-2.21416666666667
MYH8	-0.477625
CRTC3	-0.315
LRRFIP2	-0.4212
INTS4	3.10916666666667
TTN	-1.54516666666667
SLC26A5	0.523
PLLP	-1.90325
RGS6	-0.569625
SRGAP3	0.44625
ZNF525	-0.2365
NBR2	-0.928
C13orf1	-0.1905
ZNF137	-0.24
CEP27	-0.3805
BEST2	0.628
RNF121	0.53675
DMRTC2	0.9145
C8orf76	0.53175
BCCIP	-1.3765
MEST	1.2935
HTRA2	-0.16
ANGPTL2	0.8355
ILKAP	-0.3545
ERAS	0.232
HBS1L	-1.11675
CPA5	0.1965
TMEM30A	1.24333333333333
CD300LF	2.43016666666667
WISP3	7.8385
CRK	-0.00057142857142857
PDS5A	0.3459
BRPF3	0.257666666666667
NEDD9	-1.461875
SMPDL3B	2.3945
PSG6	-0.9145
PSMD13	0.18875
ETV5	0.6210625
OR51A4	0.221
BTBD7	0.856
GSTO1	-0.72175
hCG_16001	3.3235
MAD2L1BP	-0.3265
COX6A2	0.723
SCNN1A	-1.68533333333333
LSM1	0.479666666666667
UGT2B11	0.56525
IDUA	-0.67825
PPP2R3C	-0.323
COX11	-0.907666666666667
PDZK1	-4.61475
ZNF443	0.391666666666667
MGC21874	0.6695
ZNF323	0.0536
KRTAP10-10	0.906
CXCL6	2.206
SLC34A2	4.4875
LOC284402	0.2645
NPTN	0.625666666666667
UPP1	-0.464583333333333
SLC6A9	0.362
OR7G3	-0.01575
CISD1	0.331
ZNF545	0.140666666666667
SYT14	-1.0535
NT5C3L	0.253833333333333
ZNHIT3	-0.133333333333333
SNRPD3	0.68625
KIAA0701	0.161875
UNC93B1	0.202333333333333
GMNN	-0.7545
SPCS2	1.45183333333333
LOC388524	0.693
NAPRT1	0.268875
PNLIPRP1	-0.732
OR6V1	1.127
PRKAB1	-0.59025
EYA4	-2.90816666666667
KIF20A	-1.52425
ALG10	0.5715
ITPKC	0.612166666666667
LMX1B	-0.064
RPUSD4	-0.00316666666666665
C7orf34	0.000800000000000006
DLGAP2	0.389333333333333
PFN1	-0.6581
MICALL2	0.234666666666667
ZNF654	-0.422
SS18L1	-0.5615
SLC16A8	1.9315
MKI67IP	-0.129
ITGB3	0.8245
TCEA3	0.615083333333333
CEP152	-1.46275
CLIP1	0.578375
ZNF75	-0.7319375
ATP5C1	-1.791
NUDT5	-0.0146666666666667
PSCDBP	0.435
UBP1	-0.5245
RBM27	0.45525
C13orf15	2.60875
ZNF282	0.189666666666667
ZNF222	0.3864
COL10A1	6.1965
PRDM15	-0.535625
TTTY5	-0.782
FAM9C	-0.905583333333333
C20orf67	-0.32375
GNG13	-0.056
F12	0.4205
C1orf41	-0.8705
CPXCR1	0.495
GSK3A	0.417
SUPT6H	1.8025
PI16	-1.29833333333333
ELL2	-0.359333333333333
C9orf167	0.401166666666667
PVRL3	-1.8517
FLJ38596	0.157333333333333
ADAM20	-0.5615
GPR89A	1.4115
GPR87	-3.091
ZNF30	0.02625
SMR3B	9.3395
ZNF770	0.332125
TRPC4AP	-0.692166666666667
DKFZP686E2158	-0.002
C2orf28	0.108166666666667
FREM1	0.500333333333333
LAMA4	2.519
ADPRHL2	-0.267
EIF4G2	1.2285
GUCA1A	0.3955
CTNNA2	-1.90075
NUDT15	-0.766833333333333
CEPT1	-0.300833333333333
ZNFX1	-0.1155
CCDC92	0.9905
TDRD1	-0.9285
KCNK5	1.14083333333333
ETNK1	0.94
LTA	1.3225
TTPA	1.98833333333333
B3GALNT2	1.79075
SC65	0.639833333333333
PEX5L	-1.360375
EPS15L1	-0.2295
MGEA5	-1.331
HIST1H3A	1.14875
ING1	0.14275
BCAT1	-0.944875
ORC6L	-1.04118181818182
KLK11	-5.39283333333333
C19orf28	-0.883125
DNER	-1.88325
MED22	-0.999857142857143
ETV6	1.6365
CHAC2	-0.07775
CD300E	-0.0295
CEBPB	1.3395
ZNF398	0.27475
LRCH3	-0.085
HMGA1	-0.000166666666666667
CAPN7	-0.307166666666667
MGC5566	-3.0525
CCL3	3.45371428571429
NANOS1	2.815875
ZFYVE19	-0.583
APITD1	0.4405
PARD3	-0.20925
IRAK4	0.3485
SERPINI2	-0.224
CEP170L	1.1115
TTC9	1.931125
MYOM3	-1.68275
MLPH	-3.366
LOC222699	-0.0025
NRG1	3.37233333333333
TBC1D9	-0.564363636363636
TTK	-0.393833333333333
ZNF557	0.8061
DDX41	-0.731333333333333
FANK1	0.313
UBE2D2	-0.146625
PSMB10	0.323875
MYH7B	0.029
GABARAPL2	-0.482
MARVELD2	1.59866666666667
DGCR2	1.38866666666667
UNC45A	-0.164666666666667
C6orf72	-0.099
ZNF683	4.6885
GIT2	-0.266
CASK	1.09733333333333
C14orf161	4.23883333333333
LRRC44	-1.90425
TIFA	1.214625
UTP11L	-0.452125
C6orf65	-1.245
FDPS	0.15775
DUSP9	-1.9185
SLC17A8	-0.250666666666667
OR51G1	0.285833333333333
NANS	0.267
OLFML1	1.369
ATP10B	-1.09225
NPAS3	-0.345
PRKCA	-1.5273
GGA2	-0.059875
LCE4A	0.1665
SPANXN3	1.34
CCDC115	0.65375
SDCCAG3	-0.60925
GLIPR1L1	-0.084
TTC1	-0.4605
C17orf76	0.48875
MAD2L2	-1.462
HIPK1	0.175
LRRC3B	3.57533333333333
CLN3	-0.936545454545454
C17orf47	0.6195
FMN2	-3.3915
TUBB1	-1.751875
WAPAL	0.187666666666667
C3orf21	-0.315125
SCN5A	-0.6281
SMYD1	0.7875
BEX5	-3.79575
ZNF192	-0.087
SEC22A	-0.104166666666667
GRIA2	1.40025
KIAA0825	-1.72375
NUSAP1	-0.924636363636364
LANCL1	-0.187125
C15orf40	-0.6377
ZNF645	0.64825
GPR61	-0.06175
NLRP14	-0.0195
SNX21	-0.3595
C1QTNF8	0.3765
C17orf46	0.26625
IFNA8	0.306
SPRR1B	-1.75816666666667
FLRT1	-0.4195
SNX17	-0.529333333333333
ASB2	-0.920666666666667
HBG1	-5.828
RPRML	-1.6655
JOSD2	-0.891
PLSCR3	-0.041
SPOCD1	-0.2225
RAB39	-0.467
GHRH	-0.283166666666667
ITIH5L	0.158
C17orf37	0.611
SMCR8	0.616
DPY19L2P3	-0.804166666666667
IL11RA	-0.709833333333333
GDF3	-3.57516666666667
RPS6KB1	-1.45558333333333
DNAJC19	-0.1205
TOP1	-0.34225
CRCT1	-0.577857142857143
MPST	-1.147
DPM2	-0.140875
FAM38B	-1.5195
SLC18A1	-2.63466666666667
FARP1	0.297666666666667
PAX7	0.11425
TUBD1	-1.32225
GNL3	-0.27475
BTG2	-0.784333333333333
NDUFS6	-0.193
C1orf79	-0.07325
ERAL1	1.63025
ECHS1	-0.4645
VPS4A	-0.2595
CYP11A1	-1.409125
ABCC6	-2.39378571428571
PBX4	-2.943
MOSC1	0.545375
NCF4	-0.1975
HYMAI	1.595
NAGPA	-0.68525
OTOP2	0.352
ACOT12	-0.2995
MTHFD2L	0.66175
LOC441376	4.655
C19orf34	-0.002
RAB1B	0.26625
ALDOAP2	-0.4335
NTRK1	-2.34633333333333
ARTS-1	-1.0277
SLC6A11	-1.149
NAP1L2	-4.078
CNGB1	0.0065
EPB41L4B	0.0915
FAM134B	1.251875
HS3ST3A1	-1.9865
CPXM2	3.67075
SIRPB2	-0.4915
CHORDC1	0.226
TRIB3	0.628333333333333
SLC2A5	2.239
C2orf49	0.2255
DDX5	-0.662
OR5L1	-0.7505
ANAPC4	-0.255333333333333
ZSWIM1	0.2285
LOC93622	-0.65175
KCNK3	-0.7778
RP11-35N6.1	-2.32425
ZFP161	0.595
AQP9	6.3005
SLC15A2	2.43
MREG	-0.106166666666667
OR9I1	0.338
PDLIM2	-0.0604285714285714
ADAM7	0.869
GSTCD	0.0103333333333333
WDR21A	-0.969
SLC12A8	1.5265
TMEM174	0.30675
IGSF3	0.881166666666667
LRRN1	1.3485
LOC402117	0.000249999999999986
SRPK1	-0.0768333333333333
LY6K	0.086
NFIA	2.4315
PTCD3	-0.207625
LEP	0.784666666666667
PCDH21	-1.13633333333333
MAPKAPK2	0.566428571428571
NMNAT1	-0.3885
LHFPL2	0.95975
C9orf43	0.369
DIP2A	-0.338
ACTR8	0.018
CCDC34	-0.592
PTPN22	-1.2655
ITGA3	-2.524625
FAM129C	-0.85975
RABGGTA	0.736166666666667
UNC45B	0.22375
KIAA1033	0.124125
ZNF510	-0.806833333333334
CYP2D6	-0.664
SLC26A10	-1.7575
STX8	-0.55325
LUZP1	-0.201875
WDR89	0.072
EIF4G3	0.0305
C5AR1	1.295
ZNF623	0.5315
A2M	-0.11
TGM7	0.1905
GRPEL1	-0.399
LMNB2	-0.5233
ROCK2	-0.1725
SNX16	1.231
CCDC66	-1.4795
ANXA3	1.80875
KIAA1609	0.031
EED	0.5115
RNF32	-0.192
HES1	0.6744
CLC	0.3315
ISL1	-0.665666666666667
KIAA0528	-0.42875
MANEA	0.65675
C1orf61	-2.5205
hCG_2001000	3.58775
RAPGEF6	-1.2769
KIAA0020	-0.472666666666667
NEIL1	1.777
C16orf45	-2.374
RBM10	-0.657333333333333
C10orf125	-0.7715
MRS2L	0.3155
DNAH17	-1.53975
C19orf10	0.40875
C1orf160	0.365
SLFN12	1.74825
EXOC3	-0.926166666666667
HIST3H3	0.29725
NCOR2	0.266166666666667
TNFRSF9	0.364
MFSD8	1.42575
ALX1	-4.3065
NOL1	-0.90325
PODN	2.2695
TIAL1	-0.3075
HIST1H1E	-1.8945
NPY6R	0.033
TM4SF4	-1.3555
CORO2A	-0.663
ETNK2	-0.729166666666667
APOE	1.0011
ANGPT4	0.266
HDGF2	-0.46075
G30	null
ST8SIA4	0.0882499999999999
F2RL1	0.823875
FAM19A4	-3.16475
CCAR1	0.09275
B3GNT7	3.67525
OPHN1	-0.7184
DSCR6	-0.6065
C21orf13	0.5105
GAS2L1	0.436833333333333
RFX3	1.77966666666667
COPS4	-0.06025
BCHE	-3.26433333333333
BCL2	-1.842125
HBZ	-3.30233333333333
ARL13B	-0.841
MAPBPIP	0.52375
MYO15B	-0.866
SPZ1	0.48525
KIAA1324	2.29244444444444
PLCL2	-0.24375
C4orf29	-0.34975
WDFY2	-0.614625
ZNF284	0.0175
NAALADL1	-0.353
DUSP5	-1.03416666666667
