Hybridization REF	TCGA-A8-A09K-01A-11R-A00Z-07
TMEM136	-0.8315
FSCN1	-2.829
KIF17	-0.1265
TRIM66	0.2005
CBR3	-0.419666666666667
C13orf24	-0.763166666666667
C19orf52	-0.42825
BNIP1	-0.1695
AQP3	-2.46825
KRT6C	-2.3425
SIRPA	-0.26875
IGFBP6	-1.27933333333333
PLEKHK1	-0.89625
RNASE7	0.5455
ARHGEF15	0.91775
NPHS2	0.46475
SRD5A1	-1.0335
REXO4	-0.92425
EEF1DP3	0.3845
SLC37A2	-0.70675
ZNF142	0.5235
ANKHD1	-1.4585
MUT	0.9515
VPS37A	1.19375
GPRIN1	-0.4
SLC38A3	-1.506125
BAZ2B	1.392
WDR87	0.0153333333333333
BRD7	-0.82275
POU6F2	-0.425
NISCH	0.895625
TCEB1	0.19075
LINGO2	-2.42275
TAX1BP3	-0.7655
RPL34	-0.546777777777778
MARK2	0.709
AKAP12	-2.7837
AMBN	0.0845
SLC25A27	-0.914
FLJ21865	0.076375
KIR2DS2	0.4385
WDR77	-0.4105
ATF2	-0.03375
ITFG3	0.6145
SLC39A13	0.61725
ARL6IP5	1.9175
C10orf137	-0.271
QTRT1	-0.0693333333333333
CCNT1	-0.11975
DYNLL1	0.6061
WDR53	0.025
LIPG	-0.879
ASAH3	0.417
HELB	-0.3955
PHACTR2	-0.91375
VENTX	-0.579
LAD1	-2.168
PAOX	2.005
MAPK8	0.8935
CCDC38	0.3955
DNAJC8	-0.3003
RBBP8	-0.11425
WNT11	-1.3203
KCNJ12	-2.197
HDAC8	0.524833333333333
STARD4	-2.9295
ACVR1	0.556833333333333
C14orf65	-0.220166666666667
KLB	-0.9725
C1orf65	-0.7755
ZFYVE28	1.1295
NSUN6	-0.19175
KIF27	0.795333333333333
SYTL2	0.414166666666667
UBXD2	0.1712
OR6T1	0.4665
CCDC91	1.64607142857143
GRID2	0.175
CALN1	-0.611375
ZNF423	0.17725
PSMB4	-0.234666666666667
XPNPEP3	0.549666666666667
ARPP-21	-2.75566666666667
SART1	-0.87875
RACGAP1P	-1.522
SPTA1	-4.363
C6orf113	-0.446666666666667
C7orf16	-3.6315
CHST7	-1.28266666666667
C21orf29	-0.473333333333333
SEMA6D	-1.0835
PCMTD1	2.815375
KIAA1754	-2.17283333333333
MYCN	0.04075
KCNJ3	4.75825
MAPK13	2.1779
ERO1LB	-0.05175
NTF3	-2.43666666666667
NKX6-2	-0.5655
GTF2B	0.301
GSPT1	-0.298166666666667
GUSB	0.303666666666667
LOC221091	-1.802
LIG1	-0.9895
EXTL3	-1.25066666666667
NID2	-3.21225
TTC29	-0.95075
TMEM97	-1.19925
EXTL2	-1.20083333333333
SUZ12	-0.646375
IL1F8	-0.3565
KRT18	-0.437090909090909
MRPS16	-0.20375
PI4K2B	0.248
LACRT	-1.396
OR51F2	0.0175
JMJD2C	0.3815
KGFLP1	0.764
CDK5RAP3	-0.3982
YTHDF2	0.305333333333333
GGCX	0.829375
ARPC4	0.36175
EGLN2	2.20133333333333
KBTBD4	1.00514285714286
ROBO3	-1.6715
DEFB118	-0.872
KIAA1543	2.04675
RTCD1	-0.4085
MZF1	0.68775
C18orf26	0.2955
CNIH4	-2.25666666666667
ZFP2	1.18666666666667
HTATSF1	0.879
WFDC2	3.64925
NDUFA7	0.9595
TTC22	0.1445
FAM40B	-2.535125
DCPS	-1.44475
SH2D1B	-0.2965
MRGPRE	0.6645
SBK1	0.802
UNQ6411	0.1105
OSBPL9	-1.674
NUP107	-1.424
MYOZ3	0.5589
PDE4B	-1.523
FAM113A	0.4615
IDH3G	0.011
FBXL7	1.91
ARFGAP3	-0.49375
MAPRE2	-1.29446153846154
IL1RN	0.6688
KIF13A	-1.32425
RAC3	0.2065
TCTE1	-0.2845
TMEM14B	-0.829333333333333
ADIPOR1	0.935166666666667
GRINA	1.7625
CLIP4	-2.005
LRIT2	1.2185
TFPI	-3.59071428571429
FABP6	-1.37775
SLITRK2	-0.1911
HKR1	-0.251
SMTN	0.1565
C1orf75	0.20575
CD209	0.652375
CYB5R2	-1.979
DNTTIP2	-0.326666666666667
CSGlcA-T	0.081625
GABRB3	-2.87
PCBD1	0.491
TAF3	0.468416666666667
HOXD3	-1.13433333333333
GIPC3	0.0975
P11	0.5239
BFSP1	-3.2915
LCP2	0.95625
TAS2R8	-0.218
SEZ6L	2.9745
NR2C1	-1.379
EXDL2	1.2719
TNFRSF13B	-1.83383333333333
MKI67	-2.0535
GLS	-0.0976666666666667
C7orf54	-0.4301
LGALS13	-0.458333333333333
IL4R	-1.313
SEC11A	-0.246
SPP2	0.254166666666667
C18orf32	2.29225
CLSPN	-1.7095
SPAG1	1.478875
C9orf82	-0.307
TM4SF1	-3.57391666666667
EMILIN2	0.50275
SMG7	0.7135
TAS2R13	0.4325
ZNF628	0.002
DZIP1L	-1.30333333333333
ANKRD13A	0.0739
VASP	0.387875
ZCCHC11	-3.34775
SYPL1	-0.537375
MGC34774	0.10825
C4orf28	0.793875
KIAA1211	0.783333333333333
RPS27L	-0.4465
TATDN3	-0.05175
PDCD1	1.2745
OR5P2	0.4235
IFIT1L	0.744
MIPOL1	-1.17725
OR51D1	0.1305
C1orf92	-1.265
LAMP2	0.736944444444445
CAT	0.801833333333333
C16orf80	-0.842
C15orf32	0.9105
ZNF746	0.0445
C1orf76	-1.4105
ATXN1	0.115
LAMC2	-1.596125
SLC2A7	-0.206
CPOX	-1.66825
APH1B	0.959166666666667
LOC442245	-1.13366666666667
CTNND1	0.242222222222222
GABRG2	-0.390428571428571
MADCAM1	0.069
F5	-2.83671428571429
SEMA4F	-0.111833333333333
NUDCD3	0.78425
PDZD11	0.481
TRIML1	0.533
GCNT3	-2.63416666666667
TMEM120A	0.1735
CNDP1	0.423
N4BP1	-0.136
SLC35F2	-1.356125
LCP1	-0.242166666666667
IGBP1	-0.0926
DCAKD	0.6085
ELA2A	-0.659
C12orf56	-2.14475
PITRM1	-0.316857142857143
GUK1	0.518166666666667
RASSF8	-1.231125
OR2A14	0.62125
ADM	-4.046
FGD3	0.215166666666667
GHRHR	0.354
RHPN2	0.54225
C4orf39	-1.73666666666667
VPS72	-0.215
SERF2	1.36011111111111
CD22	1.47
CD47	-0.5097
PPIC	-2.56933333333333
IMPDH1	-0.463833333333333
ACP6	-0.971333333333333
PRKACA	0.102875
PPP1R1A	-1.541375
TRPV3	0.2265
ASXL1	-0.354
C17orf55	-1.17066666666667
FXYD1	-0.558166666666667
LMOD2	0.04
ANKRD33	0.5815
LCE2C	0.38825
ZNF620	-0.3255
DKFZP566E164	-1.355
VSIG2	-0.61825
KIAA1128	1.084
USO1	-0.192
NUDT4	1.10428571428571
CLDN1	-3.46392857142857
OR4Q3	1.0605
FASTK	0.0351666666666667
ICOS	2.78333333333333
LDB1	0.66675
GSTA5	-0.90175
ABCC1	-2.18116666666667
FAM54A	-2.214
PCBP2	-0.3825
NUP205	-0.49
ACTA1	-1.98533333333333
GABBR2	-1.7205
PIP5K1B	-1.39383333333333
AGXT	-2.4
RNF181	0.3305
ATP8A2	-1.77175
AFTPH	1.7043125
FGF21	0.472
FCER1G	1.859625
SNTB1	-2.57325
SLC24A3	-0.924
TXNL4B	-1.7283
RPL10L	-0.4035
LOC389517	-0.26435
TSGA13	-0.462
SHOX2	-1.416
ITGA7	-1.11
KCNIP2	-0.4
KLF13	0.5345
ZFAND2A	-0.87825
CEACAM1	0.533285714285714
PFKFB4	-0.8995
MED19	0.18925
LRRC57	1.00283333333333
RNF11	0.69375
ANKRD32	-2.978
P117	0.51025
OBFC2A	-1.37
POLD3	-1.018
RAB18	1.967625
TPH2	-0.0394
PHB	-0.7508
JDP2	0.403666666666667
MORF4L1	-0.0148
POU2F1	0.14575
CNNM2	0.140833333333333
LOXHD1	0.1814
ZC3H15	-0.45075
ELK3	0.0436666666666667
FAM111B	-0.31775
CBLC	3.3185
SBNO1	0.51125
ANKMY2	-0.5775
PLEKHA5	0.531
DHX58	0.9675
ARCN1	-0.641166666666667
TREML1	0.5073
KNCN	0.4905
SEC24A	-1.007875
PSCA	-0.64575
MGC24125	0.500666666666667
DNA2L	-1.57275
CIB4	-0.04325
HIGD2A	-0.388833333333333
TBX6	-0.099
TTLL5	-0.4195
SGK3	0.887833333333333
GCN1L1	-0.4265
AMOT	-0.3797
LDOC1	1.23483333333333
NRK	0.328
ASB9	-4.43025
NAT1	0.9302
TRAFD1	0.27425
PEAR1	0.2945
FAM36A	0.677125
OR1S2	0.066
LOC388323	-2.15075
PGS1	0.762333333333333
LEPREL1	-4.35175
TFF1	-4.04383333333333
HAP1	0.1585
EPHB2	1.2015
ACTG1	1.014
ZFP42	-0.7154
HAVCR2	0.2248
NME1	0.0515
SNX26	0.0160833333333333
LACTB	0.0243333333333333
ZKSCAN2	0.80075
C5orf35	-0.733
ANKS3	0.189
RBM28	-1.24625
DKFZP586P0123	-0.614
HNRNPA1	-0.656166666666667
BCAS3	-0.00375000000000009
FLJ20184	0.376
POLA2	-1.55533333333333
TMC7	-2.368
HSD17B6	-0.1825
ZNF658B	0.767833333333333
TTTY10	-0.465
RANBP9	-0.186
CPNE7	-2.853
EVL	0.954411764705882
LNX1	1.65216666666667
IFNA21	0.407
CFD	2.95575
PYCARD	1.36733333333333
MYBPC2	-1.6655
ENPP3	-0.845333333333333
ACSL4	-1.94525
LOC440258	-0.1875
TMEM176B	3.09766666666667
SOX2	-4.90525
SCO1	-0.557166666666667
COMT	0.70625
AOC2	-0.335
PDLIM5	2.59221428571429
SPHK2	0.637166666666667
NXPH2	-0.114
GPR108	0.165833333333333
RAD51L1	-1.42566666666667
TMEM54	1.28425
LETMD1	-0.956444444444445
SLC6A17	0.465
KRT75	0.047
STT3B	-0.193833333333333
CD3EAP	0.335333333333333
TMEM63A	-0.37725
DUSP13	0.16475
CD1C	-0.312
LASS2	1.04933333333333
AVP	-0.0845
PITPNM1	-1.321
FLJ22795	-1.747
MCTP1	-2.05
TRIM68	-0.808666666666667
UCK2	-0.6495
ABHD1	0.6295
FAM50A	0.35025
RNASEH1	-1.25516666666667
PCP2	2.64033333333333
OR52H1	0.6275
C20orf149	0.825
RBP5	0.128166666666667
HYAL3	-0.27125
CLPB	-1.56125
SMNDC1	-0.285
DONSON	-1.97483333333333
FLJ27523	0.76725
BARHL2	0.277166666666667
SLC30A9	0.822333333333333
TMPRSS11B	0.13975
E2F8	-1.14533333333333
CCDC25	-1.02433333333333
C14orf48	0.5695
C20orf116	0.914125
TSPAN11	0.461
YIF1B	-0.767333333333334
FAM12B	0.0406666666666667
OR1L6	0.787
HPN	1.1873
NBN	0.1
C14orf94	-1.04083333333333
OCLM	0.7325
ZSCAN18	-1.5679
L3MBTL	-0.6118
TSTA3	1.58833333333333
RAC1	-0.23575
C19orf15	0.6465
NFE2	-4.3935
KLK14	0.5955
ARSF	0.013
MAST2	0.949666666666667
AMICA1	2.67133333333333
GTF2A1	0.00099999999999999
ATP1A3	0.51425
TC2N	1.0329
PNKP	0.0295
ODZ2	-3.113375
MATR3	0.065
S100P	-3.285625
KRT82	0.045
CA13	-0.6629
PROZ	-1.8715
AASDH	0.581125
C19orf40	-0.379666666666667
DCK	0.301846153846154
FAM5C	-1.16625
SLC6A4	-3.002
MID1IP1	-0.53725
TESSP5	0.2905
TMOD4	-0.046
DOCK2	-0.669833333333333
TUG1	0.836
NUP214	-1.07475
DPYSL2	-1.43459090909091
GOLM1	-2.73575
MPFL	0.2555
SOX13	1.0765
SDCCAG8	0.9204
KEL	-1.724
NUP210L	-2.17225
GK	-0.27325
DNAJB1	1.10025
ALPK3	-0.406
CHID1	0.3821
CYLC2	-0.210666666666667
IKZF5	0.97275
C8orf51	1.76283333333333
PPM1J	2.84575
GIMAP8	2.8055
GPR101	0.803
NR2F1	-2.923
ACAD8	0.5445
RBM35A	0.938
GNAI2	0.292
METTL8	-0.634166666666667
SLC39A7	-1.84575
FBXO8	1.0415
CAMK1	-0.1295
RFC3	-1.959625
FAM129A	2.75764285714286
ILF2	-0.59525
FGFBP3	-2.10885714285714
NOM1	-0.823
PSMA3	-1.23475
ASCC3	-0.654
ZYG11A	-3.41925
SOX21	-1.48875
LYRM1	0.9425
DEFB1	-0.615
LOC91431	-2.0885
OR7C2	1.5595
FAM46B	-0.3555
TMEM18	-0.629875
ARHGAP30	1.394
TMEM86A	1.57258333333333
EPHA2	-2.60833333333333
C10orf46	0.36955
TCHH	-1.6425
C3orf30	-0.0781666666666667
LOC285636	0.134166666666667
PAIP2	-0.039
CYP2U1	-0.115
C12orf34	1.439
SARS2	-0.416833333333333
ZCWPW1	-0.323
SAMD12	2.467625
KIAA1430	0.38225
ACAT1	-1.53275
MEOX1	3.143
ADAMDEC1	6.0855
PHKA2	-0.09625
CARD11	-0.848333333333333
CALML4	-0.737
TSSC1	-0.09575
TMEM45A	-3.84088888888889
MPP7	1.921
POU1F1	1.9885
SLC2A13	-1.0288
FBN2	-1.73035714285714
ZC3H7A	0.5653
LAIR2	-0.83875
ST3GAL1	1.77983333333333
LCT	-3.24775
GEMIN8	1.49916666666667
KLF16	0.3521
HIF3A	-0.2243
FAM44A	1.0445
AQP10	-1.1192
PLA2G2A	-0.3025
FOLH1	-0.774
C20orf186	0.775
MAPKAP1	-0.006625
SPRR2D	-1.2365
UBQLN4	0.552
RSHL1	0.1185
PIAS3	0.07275
MRPL24	1.026
GREB1	-2.842
FAM27E3	-1.2475
NUP62CL	-0.8265
NEUROG3	0.151
REEP3	0.054
MARK1	1.57225
LMBRD1	0.29675
PRPF19	-0.789
PNMT	0.638833333333333
CTGLF1	-0.9195
SLC25A16	-0.19
EIF2B3	-0.9015
RPA2	-0.31025
PAK6	1.31166666666667
CCDC26	-4.011375
SEMA3E	-1.044875
MXD4	1.5583
TNFSF10	2.2289
SMARCB1	0.176166666666667
DTX3L	0.7235
PLA2G4E	0.057
PPAP2A	-0.373
ULK1	0.692666666666667
TAS1R3	0.155
SLC2A3	-3.501
ARID3A	-1.0685
GNG5	0.10525
ACOX1	0.9933
KIF5B	0.15225
NUP153	-1.28275
MUC7	0.286
CSDE1	-0.316928571428571
CLPTM1	0.1575
C3orf23	0.01675
LRRC17	-2.626
TTYH3	-1.338125
ATP5B	-0.7515
ELF3	1.8601
CPSF3L	0.531
ZNF665	-0.435666666666667
TLR6	-0.0295
GPI	-1.588125
RAD9A	-0.528
NDST4	-3.37925
AGPAT3	0.68775
MAGI3	2.01016666666667
ADORA2A	0.038625
CACNG7	-0.8505
CAMK2D	-1.21978571428571
CCHCR1	-1.4995
RPS27A	-0.91225
OR10G7	0.4505
GCM2	0.146
FAM135B	1.1606
E2F1	-1.2075
PLCB3	-0.66325
OR2AE1	0.731
COIL	0.882833333333333
CDC25C	-1.7245
RAB11FIP2	0.476
TSC2	0.7795
CTGLF5	-1.1165
CCDC108	0.5534
OR13C4	-0.29
C10orf81	2.1185
PTPRB	0.55975
ACP2	0.85
LAG3	2.067
MRPL54	1.09325
LOC201175	0.087
ITGB1BP3	-1.9415
SPTAN1	0.633833333333333
SIPA1L2	-0.94775
RCAN2	-1.7295
CDX2	-0.43
ECOP	1.13325
ACTR1A	0.0362142857142857
PPARG	-1.20416666666667
BBS10	0.199
TMEM44	-1.02475
BPIL2	0.165
CITED1	-0.8875
IRF6	3.941
PRDM4	0.598666666666667
RRP9	-0.301666666666667
OR10H4	0.389
IL31RA	-0.274333333333333
GNB1L	-0.00433333333333335
MYBL2	-2.29075
ZNF407	1.1875
PPIG	0.107666666666667
TTC18	1.96025
RPSA	-0.274
MAPT	2.26128571428571
MRE11A	-0.169230769230769
C8orf37	0.829333333333333
RASGEF1C	-1.0682
STBD1	-0.32975
CTAG2	-0.124
MGAT5B	-2.72216666666667
ECM1	-1.0425
RLN1	-0.415
PARP14	0.944125
EPB41L1	1.3404
HOXA3	-1.42733333333333
MAGEA9	-4.242
RPS8	-0.911
RPS19BP1	0.85325
FOXJ2	0.63375
C10orf76	0.528875
IL17RE	0.99575
C10orf65	-0.34775
ZNF343	0.5715
FBXO33	-0.273625
UHMK1	1.6093
LY6G6C	0.015
FGF19	-2.27425
C14orf128	-0.9305
IFIT2	1.349
TIGD1	0.286
S100G	0.034
GUCY1B3	0.48
NR3C1	-0.4829
CORO1B	-0.0248333333333333
PARP11	0.724083333333333
DNALI1	4.61133333333333
OR4N4	1.006875
MAP2K6	-0.2145
FSTL4	0.19775
ANKRD47	0.617125
TMEM171	-1.8345
PNLIP	0.3025
YY1	0.0245
CCDC138	-2.65666666666667
AASDHPPT	-0.6345
CKS1B	-0.7303
MCM3	-1.99316666666667
ANAPC7	-0.543666666666667
FAM110A	2.088
CDC37L1	0.7065
THTPA	0.71425
NBPF20	-0.182
WDR24	0.98175
NPTX2	-4.68075
CBLB	0.900166666666667
CETN1	0.195333333333333
RPUSD1	0.794
FAF1	-0.41925
CDK6	-3.278
HMX2	0.4485
CSK	-0.0686666666666667
TEAD2	-2.3345
SNAP25	-2.0095
TUFT1	1.2088
TMTC3	0.816
LCK	-0.866
SGOL1	-1.74616666666667
AKTIP	0.546
FURIN	0.40275
SOX12	0.840166666666667
DEFB103A	-0.16275
RAMP1	4.08575
KIR3DX1	-0.658
GAS2L3	-0.69925
PDE8A	-0.9919
EDN3	-0.6095
GMIP	0.6045
SF3A2	-0.03325
FN3KRP	0.99675
SMAD7	1.292
RHBDD2	1.1645
OR11H6	0.396
PPP1R3B	-1.411
C9orf23	0.56175
CADPS	-0.07225
GOLGA8A	-3.84775
TMEM57	1.015
RGL3	0.679
S100A14	1.12825
FGFR2	1.161625
XRCC3	-0.8925
RTN4RL2	0.69075
MGC3771	2.1195
GH2	-0.160333333333333
BTBD2	0.78175
LMO2	-1.276
RDBP	-0.699125
ACRBP	-1.586
AMY2A	2.82525
DUOXA1	-0.4245
PTK7	-2.14133333333333
TWF2	0.178666666666667
FAM80A	-0.74475
TNNI2	-2.97833333333333
GLT25D1	-0.741333333333333
OCC-1	-4.068
CYC1	0.00916666666666666
RPL22	-0.2985
MORN3	1.20633333333333
DISP1	1.1185
PRB2	-1.293
CHUK	0.34425
HR	-0.425875
CCDC134	0.234375
DENND4B	-0.66925
C14orf130	0.05275
RAB33A	-1.23975
DCST2	0.19
TNMD	-1.68125
PEX7	1.01175
FAM62A	-0.19925
SRD5A2L	-0.042
IL22	0.583333333333333
RPS26	-1.237
HOXC5	1.041
SPATA6	-0.000499999999999994
FLJ38482	0.825
ZNF234	1.629
C18orf22	0.90975
SPATA22	1.0865
THOC1	-0.43075
CYP7B1	1.58975
KCNC3	-0.26425
C8orf42	-0.7815
ALDH1B1	-1.34116666666667
CCDC100	0.248
ARMC4	-2.88725
FAM18B2	0.02
SLC44A1	0.566375
FBXO17	-1.9785
C6orf107	-0.7105
C19orf29	0.16425
ZC3HAV1L	0.26175
PARP6	0.0844
SULT2A1	-4.261
C1orf159	0.33625
TMC1	0.363333333333333
CHST14	0.441
GAMT	0.7275
SMCP	0.3185
TSPAN33	1.30241666666667
MIDN	0.0275
NOX4	0.33425
RNASEN	-0.4413
TBX1	2.85433333333333
SALL2	0.677
C10orf35	1.311
CYP2E1	-0.062
LRFN2	2.414
ACO1	-2.11816666666667
IQCG	1.5862
MEGF9	0.53825
TM7SF4	1.5345
PLEKHA1	0.712533333333333
STK33	-3.11775
C1orf210	2.72575
SNUPN	0.514
KIAA0406	-0.5666
C20orf29	0.4055
TMEM55B	-0.24425
OSTM1	-1.2495
CLCN7	0.858
OTP	0.13275
FLJ23049	-0.20725
HEATR4	0.8955
MAP3K10	0.510333333333333
PCDHGA9	-0.0535
AMDHD2	0.87175
LCTL	-0.7695
PDCD2L	-0.834
CABLES2	0.55475
SLC5A9	-0.50475
CLCA2	-2.02533333333333
MGC16025	0.0965
STRAP	-0.728833333333333
C20orf196	-0.1885
RRBP1	-0.171833333333333
NAT13	-0.55425
MAT2B	-0.661125
CSNK1D	-0.285166666666667
KIR3DL1	0.09225
PRKAG3	0.7915
ZNF599	-0.0275
PRM3	1.082
PER2	1.55233333333333
ASPHD1	-1.908
PRMT6	-1.756
KCNE1L	-0.990571428571429
FAM118A	-1.103
TAF4	0.295
NDUFB6	-0.733
TRIM9	-0.875083333333333
PMFBP1	-0.637
KY	0.177
DKFZp762E1312	-2.64672727272727
CSMD1	-1.52225
TBP	-0.301166666666667
OR1Q1	0.321166666666667
RETNLB	0.81975
HPGD	0.609571428571429
DNAJC12	3.46216666666667
FKBP1B	-1.96725
ANKRD24	-0.111333333333333
CXXC5	1.7055
IL3	-0.279125
DRAM	0.5263
PTCH1	-2.284125
TP53BP1	0.3215
SLC17A7	0.624375
COL25A1	-0.6961
AMACR	0.225
RHCG	-0.00325
VPS13A	0.462333333333333
FAM55D	-0.0185
PRPF38B	-0.272416666666667
OSBPL6	0.99275
PFDN5	0.0813
CMTM6	1.265125
KCNK12	-1.6795
RP2	-0.48575
C16orf52	-1.3065
PICK1	1.3755
IFNE1	-0.7806
SEMA4B	1.035
TYRO3	-1.9335
OR12D2	0.561
CSNK1A1	0.3784
FANCF	1.4915
LONP2	0.543875
TBL1Y	1.3405
LDOC1L	0.3965
CCNC	-0.7395
C3orf60	0.654
CHKA	-0.44225
UBAP1	0.4105
MAP3K1	0.824
ANKRD9	-1.5695
FAM92A1	-3.60516666666667
GAB2	-0.244625
AZU1	-0.2175
DIS3	-0.3705
C21orf109	-0.92575
IQCB1	0.4215
SPATS2	-0.4635
EFCAB3	-0.01475
PRB3	0.60225
FUZ	0.212666666666667
ZNF813	-0.39575
BMPER	-0.544166666666667
HEG1	-1.454375
ALS2CR11	-1.226
SURF2	-0.13675
PSMC1	-0.64475
OR2D2	0.076
SLC7A8	2.15116666666667
C4orf40	0.1725
SPATA7	-0.42625
MAZ	0.35325
PIN4	1.0635
PDE1A	-1.4955
TAF6L	-0.400833333333333
OR2T34	0.4135
KIAA0284	0.43475
ACADS	-1.12518181818182
MKRN2	-0.3315
C18orf56	-0.75825
MS4A6E	0.0826666666666667
GALNT4	0.6098
C22orf31	-0.255
FLJ36070	-0.0905
PSME4	-0.976
TFG	0.5121
EPHX2	0.72325
ANXA5	-1.168
KRTAP1-1	-0.1578
BATF	1.56175
KARS	-1.76825
MSTP9	-0.306
GPR26	-0.095125
CCDC72	0.9115
TEF	1.17183333333333
FOXK1	-0.7204
PRLHR	0.042
EMX1	0.64575
C11orf30	-0.20125
ICK	1.086
THSD7B	0.246333333333333
C21orf100	-0.8185
DUOX1	-0.725
EFCAB4B	-1.20675
UBE2G2	0.126666666666667
C3orf54	1.41475
PARP1	-0.5645
FAM60A	-1.794
C6orf146	-0.8095
OR9K2	0.3675
DDX55	-0.789333333333333
RPS15	0.00358333333333333
ZNF618	0.10675
DKFZp686D0972	-0.639
SSPO	-0.2675
SHFM3P1	1.1925
CPA6	-1.01975
JAG2	1.42025
DEFA3	0.504
PPBPL2	0.075
CD34	3.169
SLCO4A1	-3.44325
AFG3L1	-0.959666666666667
SHD	-0.49575
RP13-122B23.3	-0.131666666666667
PRKCSH	-1.27466666666667
DPH5	-0.274
HLA-F	1.615
TBC1D4	-1.32675
RIG	-0.0233333333333333
GLUD1	0.624
HNRPCL1	0.15325
HBXIP	-0.08925
RNF207	-1.059
APIP	-0.07875
PLA2G3	-0.00133333333333333
CCDC84	-1.126
MYLIP	0.126615384615385
PHIP	-0.17175
AARS2	-0.818833333333333
DHX32	0.1195
SCAPER	1.11116666666667
MEN1	0.183375
NIP7	-1.40075
FLJ25404	-0.7345
FASTKD3	-0.43575
TMEM158	-3.56558333333333
RARA	1.817
BDH1	1.189
ANKRD16	1.198
CARM1	-0.048
SS18	0.670166666666667
IKZF2	0.413416666666667
MYD88	0.80575
PML	-0.47325
TAF1A	-1.278
CBFB	-1.21575
HIST1H3H	2.34016666666667
C7orf29	-1.06
COMMD4	0.4185
DPP3	-0.50425
DAB2	-0.397625
LOC388882	-0.0435
YPEL4	-1.366
AGBL3	0.22475
LRP6	-0.152
SERPINH1	-1.8855
TLE1	-0.5255
CD244	1.42116666666667
ZDHHC15	0.06225
MGLL	-0.2264
PLDN	0.642666666666667
LOC654346	1.249
FAP	0.92275
GPR37	1.44683333333333
SCARA5	1.15916666666667
EBF4	2.83363636363636
LSM6	-0.90475
MLLT1	0.0781875
SLC5A12	1.1605
A2BP1	-1.41283333333333
COPS5	0.592166666666667
TPM4	-1.18192857142857
TNFSF4	-0.448333333333333
ACADSB	2.11977777777778
HERPUD1	0.7845
BCL2L11	-0.6065
CEP78	-0.889875
CDCA3	-1.46275
WBSCR19	0.5152
MYO1A	-2.4265
PPEF1	1.5395
LOC440348	0.4015
CPEB2	1.267875
BPTF	1.27333333333333
RPL21	-0.9030625
GSX2	-1.234
ADPRH	0.814166666666667
C17orf68	0.3355
KCNS1	-1.03016666666667
MLLT6	0.4628
PIWIL4	0.39725
RNF26	-1.177
RAP1B	-0.023125
ADAMTS1	-4.2827
ZNF571	0.8065
P2RY6	-0.3315
TRIM21	0.733166666666667
CADM3	-0.14925
NLRC5	1.17816666666667
ADRA2B	0.563166666666667
LOC90835	1.4495
PCF11	1.087
LOC400451	2.53175
GLTSCR1	0.4255
C17orf88	-0.1
CDH16	-1.53175
FGF7	0.283125
PCSK4	0.920333333333333
NPC1L1	-0.800166666666667
TAT	0.05775
TBCA	-0.2915
MGC33407	0.3175
GPR115	-1.12875
CYGB	-0.3445
FNBP4	-0.694333333333333
C12orf43	-0.13075
CBL	-0.4481
CLECL1	0.69175
PPAPDC1A	-2.31925
WDR25	0.0418333333333333
SGCA	-0.763
C22orf29	0.5175
YIPF1	1.57075
GALK2	-1.1445
RAB3B	-3.32591666666667
LOC440087	-0.13125
UCP1	-0.4585
REEP5	1.591875
FADD	-0.3798
FOXA1	3.71
CACNA1A	0.441833333333333
ABI1	0.375166666666667
GRIN2D	0.1255
SLC1A4	-0.738333333333333
LOC401127	-0.75325
HINT2	1.02475
PLD4	-0.489
ZNF286A	-1.32025
ENY2	-0.36825
IL1F6	0.397
PXDNL	4.89225
C20orf79	0.531
TNFSF13B	2.98366666666667
DENND3	-0.827625
JARID1D	-3.26575
HIST1H2AK	2.618125
LOC93349	-0.5195
SSH1	-0.6171
ENSA	0.852
LOC219854	-0.136
CKAP2	-1.6262
DKFZP564J102	-0.747833333333333
MGC87315	1.10983333333333
HNRPAB	-0.6905
AMH	0.94
ZNF526	0.277
BRUNOL5	-0.096
CACNG3	-0.189666666666667
TRPM1	-2.1405
PPP2R1A	0.25425
COL2A1	4.0105
DDN	-0.438666666666667
FLJ25770	0.42825
HK2	-0.629928571428572
ELOVL6	-0.511625
MDK	0.2805
EPHX1	0.808
RASSF2	0.27975
DKFZP434B0335	-0.13275
DLX3	0.448875
PRTN3	-0.3385
AVPR1A	0.11375
C21orf125	-2.35975
TNFAIP8	-1.2015
GNB2L1	-1.1655
CALCRL	0.66025
SCGB2A2	1.02416666666667
UBXD7	0.59175
ZNF674	0.0005
TMEM35	-0.6645
BRSK2	-0.863
HECTD3	0.152
TMEM188	-0.990416666666667
LGALS9	1.107875
SCARB2	0.684
USP34	-0.0165
C17orf28	3.27833333333333
ZDHHC23	0.1685
AQP12B	0.108
SLC16A3	-1.751125
APLP2	0.7565
ITIH2	-5.19725
MICAL3	-0.502875
TNNI3K	0.9481
HDAC2	-0.688625
PRR7	-0.9924
THBS2	-2.945
LOC751071	-0.787833333333333
CA2	-1.91866666666667
RANBP17	-1.0935
RLN3	-0.31575
CRYZ	-0.3205
GBAS	0.265166666666667
TAS1R1	-0.48125
MPZL3	-0.314
PCDH8	-1.74866666666667
HSP90B1	-0.737
KCNK15	1.269
TNIP2	0.907
GPR146	-0.517
NOL6	-0.212
SPC25	-3.77877777777778
STEAP2	3.29785714285714
VAMP3	0.248166666666667
