Hybridization REF	TCGA-A8-A07U-01A-11R-A034-07
FSTL4	-0.3505
ANKRD47	1.296625
TMEM171	1.1045
PNLIP	-0.02525
YY1	-0.192
CCDC138	-1.7325
AASDHPPT	-0.7305
CKS1B	1.0024
MCM3	-0.969166666666667
ANAPC7	-0.915166666666667
FAM110A	1.64125
CDC37L1	0.9715
THTPA	-0.00699999999999999
NBPF20	-0.324
WDR24	0.26475
NPTX2	-3.47875
CBLB	0.657333333333333
CETN1	0.401333333333333
RPUSD1	0.6655
FAF1	-0.4875
CDK6	-1.9433
HMX2	0.256
CSK	0.814833333333333
TEAD2	0.45575
SNAP25	-0.34175
TUFT1	0.7358
TMTC3	-0.127833333333333
LCK	0.6065
SGOL1	-0.525333333333333
AKTIP	0.766
FURIN	1.0905
SOX12	-1.126
DEFB103A	0.083
RAMP1	0.87775
KIR3DX1	-0.0825
GAS2L3	-0.14825
PDE8A	-0.8491
EDN3	-0.30075
GMIP	1.533
SF3A2	1.34
FN3KRP	0.08825
SMAD7	0.37425
RHBDD2	0.74375
OR11H6	0.355
PPP1R3B	0.2894
C9orf23	0.488
CADPS	-1.054
GOLGA8A	-3.02875
TMEM57	-0.197666666666667
RGL3	-2.2595
S100A14	3.60425
FGFR2	0.44025
XRCC3	-0.2745
RTN4RL2	0.6315
MGC3771	-0.3985
GH2	0.4215
BTBD2	-0.02375
LMO2	0.673
RDBP	-0.467125
ACRBP	-0.5855
AMY2A	1.8855
DUOXA1	0.9775
PTK7	0.563333333333333
TWF2	0.704666666666667
FAM80A	-2.253
TNNI2	-1.32733333333333
GLT25D1	0.2945
OCC-1	-2.54225
CYC1	0.887
RPL22	-0.377181818181818
MORN3	3.505
DISP1	0.2365
PRB2	0.193
CHUK	-0.55725
HR	1.222375
CCDC134	0.101375
DENND4B	0.279
C14orf130	-0.69175
RAB33A	-0.3415
DCST2	0.528
TNMD	0.19025
PEX7	-0.0275
FAM62A	-0.024
SRD5A2L	1.29325
IL22	0.204
RPS26	-1.328
HOXC5	0.019
SPATA6	-1.174
FLJ38482	-0.40775
ZNF234	0.577
C18orf22	0.6955
SPATA22	0.549
THOC1	-0.64225
CYP7B1	4.526
KCNC3	0.1065
C8orf42	-0.591
ALDH1B1	0.5045
CCDC100	-0.3844
ARMC4	-1.19075
FAM18B2	0.05625
SLC44A1	1.303125
FBXO17	0.757166666666667
C6orf107	-0.078
C19orf29	-0.3205
ZC3HAV1L	-0.15875
PARP6	0.7981
SULT2A1	-4.395125
C1orf159	0.21775
TMC1	0.06825
CHST14	-0.285125
GAMT	-2.68983333333333
SMCP	-0.0586666666666667
TSPAN33	2.29758333333333
MIDN	-0.6265
NOX4	1.706
RNASEN	-0.3815
TBX1	-1.17
SALL2	-2.8225
C10orf35	1.32
CYP2E1	-0.452
LRFN2	-0.3685
ACO1	-0.939333333333333
IQCG	1.3234
MEGF9	-0.1665
TM7SF4	1.7215
PLEKHA1	0.480333333333333
STK33	-2.2955
C1orf210	1.5895
SNUPN	0.5994
KIAA0406	-0.7303
C20orf29	0.42425
TMEM55B	0.59875
OSTM1	-1.0396875
CLCN7	-0.0205
OTP	0.07675
FLJ23049	-0.31775
HEATR4	0.2705
MAP3K10	1.41933333333333
PCDHGA9	0.3705
AMDHD2	0.1495
LCTL	-1.404
PDCD2L	1.8765
CABLES2	0.2495
SLC5A9	-0.275
CLCA2	-1.59983333333333
MGC16025	2.238
STRAP	0.0558333333333333
C20orf196	-0.043
RRBP1	0.748666666666667
NAT13	0.263
MAT2B	0.46025
CSNK1D	-0.517166666666667
KIR3DL1	0.554
PRKAG3	1.5085
ZNF599	-0.1575
PRM3	0.547
PER2	0.0783333333333333
ASPHD1	-1.2525
PRMT6	-0.856
KCNE1L	2.60978571428571
FAM118A	0.159166666666667
TAF4	-0.529
NDUFB6	0.03225
TRIM9	-0.832666666666667
PMFBP1	-0.22725
KY	0.022
DKFZp762E1312	-1.78927272727273
CSMD1	-1.01825
TBP	-0.578333333333333
OR1Q1	0.151166666666667
RETNLB	1.12275
HPGD	-0.167071428571429
DNAJC12	-4.0205
FKBP1B	-2.0655
ANKRD24	-0.523666666666667
CXXC5	0.477333333333333
IL3	0.052375
DRAM	1.7222
PTCH1	-0.792875
TP53BP1	-0.125
SLC17A7	0.157875
COL25A1	-0.5128
AMACR	0.285833333333333
RHCG	3.17
VPS13A	-0.797416666666667
FAM55D	0.29
PRPF38B	-1.08758333333333
OSBPL6	-1.84975
PFDN5	-0.5588
CMTM6	1.12325
KCNK12	1.99075
RP2	0.21125
C16orf52	-1.17875
PICK1	0.061
IFNE1	-0.860333333333333
SEMA4B	0.83775
TYRO3	0.081
OR12D2	-0.096
CSNK1A1	-0.0294
FANCF	0.0095
LONP2	-0.167625
TBL1Y	0.6365
LDOC1L	-0.392875
CCNC	-0.0915
C3orf60	-0.2385
CHKA	-0.122
UBAP1	0.512
MAP3K1	0.151
ANKRD9	-0.9925
FAM92A1	-1.232
GAB2	0.28875
AZU1	-0.65225
DIS3	-0.746833333333333
C21orf109	-0.22475
IQCB1	0.41
SPATS2	-0.595333333333333
EFCAB3	-0.1965
PRB3	0.374875
FUZ	-0.2565
ZNF813	1.641125
BMPER	-0.778166666666667
HEG1	0.4575
ALS2CR11	-0.607
SURF2	-0.8945
PSMC1	0.134416666666667
OR2D2	0.062
SLC7A8	0.133
C4orf40	0.189
SPATA7	-0.9255
MAZ	-0.628166666666667
PIN4	-0.56125
PDE1A	-0.8675
TAF6L	0.193833333333333
OR2T34	0.34
KIAA0284	0.82375
ACADS	1.15890909090909
MKRN2	-0.645
C18orf56	-1.83875
MS4A6E	0.687333333333333
GALNT4	-0.1335
C22orf31	0.3665
FLJ36070	0.784
PSME4	0.79725
TFG	1.0301
EPHX2	0.175625
ANXA5	-0.293125
KRTAP1-1	-0.1262
BATF	2.75375
KARS	-0.1265
MSTP9	0.0375
GPR26	0.09475
CCDC72	-0.64625
TEF	0.685333333333333
FOXK1	-0.0819
PRLHR	0.1175
EMX1	0.55825
C11orf30	-0.698
ICK	0.759125
THSD7B	0.04775
C21orf100	0.0465
DUOX1	0.4495
EFCAB4B	-0.418
UBE2G2	-0.952666666666667
C3orf54	0.87525
PARP1	-0.896
FAM60A	0.367416666666667
C6orf146	0.3495
OR9K2	-0.032
DDX55	-1.08083333333333
RPS15	-0.882583333333333
ZNF618	1.27725
DKFZp686D0972	0.18175
SSPO	-0.561
SHFM3P1	0.843
CPA6	-0.719
JAG2	0.515
DEFA3	0.18325
PPBPL2	0.152666666666667
CD34	3.854375
SLCO4A1	-1.0025
AFG3L1	-1.201
SHD	-0.20275
RP13-122B23.3	-0.873666666666667
PRKCSH	-0.418
DPH5	-1.07066666666667
HLA-F	3.51775
TBC1D4	0.10025
RIG	-0.1005
GLUD1	-0.601166666666667
HNRPCL1	0.307
HBXIP	-0.50025
RNF207	-0.7205
APIP	0.11175
PLA2G3	-1.92383333333333
CCDC84	-1.40725
MYLIP	0.704846153846154
PHIP	-0.0555
AARS2	-0.00400000000000001
DHX32	0.2805
SCAPER	-0.463333333333333
MEN1	-0.07725
NIP7	0.1465
FLJ25404	0.4475
FASTKD3	-0.553
TMEM158	-1.23725
RARA	0.63925
BDH1	0.878
ANKRD16	2.60125
CARM1	0.226
SS18	-0.150333333333333
IKZF2	0.0938333333333333
MYD88	1.429625
PML	2.1395
TAF1A	-0.80925
CBFB	0.258125
HIST1H3H	-0.0195
C7orf29	-0.55675
COMMD4	-0.6165
DPP3	-0.71025
DAB2	0.699
LOC388882	0.12
YPEL4	-0.35175
AGBL3	1.3205
LRP6	0.4156
SERPINH1	-0.0764166666666667
TLE1	0.43325
CD244	1.35633333333333
ZDHHC15	-1.06625
MGLL	0.8662
PLDN	-0.158583333333333
LOC654346	2.472
FAP	1.65625
GPR37	0.0306666666666667
SCARA5	1.8095
EBF4	0.624727272727273
LSM6	-0.512
MLLT1	0.0373125
SLC5A12	0.2805
A2BP1	-1.14283333333333
COPS5	-0.144
TPM4	-0.222357142857143
TNFSF4	2.42483333333333
ACADSB	-0.878444444444444
HERPUD1	1.3085
BCL2L11	-0.319777777777778
CEP78	-1.6785
CDCA3	0.613625
WBSCR19	-0.1514
MYO1A	-1.3485
PPEF1	0.194
LOC440348	-0.474
CPEB2	0.067625
BPTF	-1.00208333333333
RPL21	-0.28525
GSX2	0.2185
ADPRH	1.35666666666667
C17orf68	-0.066
KCNS1	1.40283333333333
MLLT6	0.2018
PIWIL4	1.50625
RNF26	-0.402
RAP1B	0.24225
ADAMTS1	-2.2797
ZNF571	0.16525
P2RY6	2.02675
TRIM21	1.62716666666667
CADM3	0.51675
NLRC5	1.7775
ADRA2B	-0.152666666666667
LOC90835	-1.393125
PCF11	-0.89725
LOC400451	0.19
GLTSCR1	0.9582
C17orf88	-0.608666666666667
CDH16	-1.21675
FGF7	1.33175
PCSK4	-0.846333333333333
NPC1L1	-1.35066666666667
TAT	0.273
TBCA	-1.004
MGC33407	-0.1765
GPR115	-0.091
CYGB	0.162
FNBP4	-0.535
C12orf43	-0.2405
CBL	-0.1026
CLECL1	1.948
PPAPDC1A	0.5415
WDR25	0.092
SGCA	0.4305
C22orf29	-0.2745
YIPF1	0.76225
GALK2	-0.48025
RAB3B	-2.9265
LOC440087	-0.4865
UCP1	-0.487
REEP5	0.75075
FADD	0.5235
FOXA1	-3.973
CACNA1A	0.472833333333333
ABI1	1.85916666666667
GRIN2D	1.505
SLC1A4	-0.816666666666667
LOC401127	-0.91025
HINT2	-0.14925
PLD4	0.765833333333333
ZNF286A	-0.46975
ENY2	0.35
IL1F6	0.066
PXDNL	1.587
C20orf79	0.24625
TNFSF13B	4.7465
DENND3	0.949125
JARID1D	-2.78675
HIST1H2AK	0.784125
LOC93349	0.5532
SSH1	-0.3875
ENSA	-0.271
LOC219854	-1.35483333333333
CKAP2	-0.1467
DKFZP564J102	0.658
MGC87315	-0.235166666666667
HNRPAB	-0.7315
AMH	-2.269
ZNF526	0.7065
BRUNOL5	-0.0943
CACNG3	0.293333333333333
TRPM1	-1.073
PPP2R1A	-0.422625
COL2A1	-1.14775
DDN	0.2815
FLJ25770	0.271166666666667
HK2	-0.483428571428571
ELOVL6	-2.03225
MDK	0.23325
EPHX1	0.05475
RASSF2	1.414375
DKFZP434B0335	0.557
DLX3	0.028875
PRTN3	-0.57125
AVPR1A	0.58125
C21orf125	-2.03075
TNFAIP8	0.6735
GNB2L1	-0.5485
CALCRL	1.7665
SCGB2A2	1.2655
UBXD7	-0.4925
ZNF674	-0.2555
TMEM35	-0.693
BRSK2	-1.0265
HECTD3	-0.0758333333333333
TMEM188	-0.273833333333333
LGALS9	3.063625
SCARB2	0.641333333333333
USP34	-0.14475
C17orf28	0.01375
ZDHHC23	0.468
AQP12B	0.0505
SLC16A3	-1.412125
APLP2	0.4285
ITIH2	-5.08925
MICAL3	0.097125
TNNI3K	0.0751
HDAC2	-0.272875
PRR7	0.2145
THBS2	-0.46325
LOC751071	-0.787833333333333
CA2	0.431
RANBP17	0.1215
RLN3	0.11925
CRYZ	-0.886666666666667
GBAS	0.0261666666666667
TAS1R1	-0.5365
MPZL3	-0.049
PCDH8	2.127
HSP90B1	0.419
KCNK15	0.083
TNIP2	0.814833333333333
GPR146	0.39525
NOL6	0.51025
SPC25	-1.66011111111111
STEAP2	2.06878571428571
VAMP3	-0.208833333333333
TCIRG1	0.84475
ZP4	-0.0436666666666667
PARL	0.6035
TRIM39	0.271833333333333
KIAA1305	0.854
CRNN	0.113
GRN	1.44375
HSH2D	1.295
SCAMP1	-0.5725
KIAA1913	1.4465
PTS	-0.2955
BANP	0.328785714285714
PRKACG	-0.002
ADCY6	-0.155
C16orf46	-0.2725
CYP51A1	-0.128
DDC	-2.9965
ANPEP	0.3905
PROM1	2.9585
SIGLEC10	2.8245
COPG	1.2135
FAM26E	0.78275
TRIP4	0.3275
SNX3	0.563666666666667
C1orf175	0.448333333333333
PPY2	0.2595
C14orf152	0.3045
FTSJ1	-0.4075
DST	-0.99775
LOC554235	0
GLRX5	0.0135
C20orf12	0.000900000000000001
CAB39	-0.181666666666667
MSH2	-0.4965
PIP4K2C	0.165375
CYLD	1.416625
WTAP	0.3515625
MGAT4A	1.91855555555556
TSC22D4	0.326
CHRM2	-1.993
PPYR1	0.524833333333333
CCNH	-1.56216666666667
RRM1	-1.7865
ECAT8	-1.68675
LOC400120	0.07475
GABRA4	0.091
C14orf4	0.652166666666667
C1orf59	0.29725
CTDSPL	-0.524666666666667
NHEDC2	-0.5025
PDE11A	-0.59875
KLHL29	0.8895
CD5	1.2487
TSPAN9	1.7891875
WDR67	-0.52475
THUMPD1	-0.764
C18orf17	0.17175
CLYBL	0.7195
FLJ13231	-0.842375
CMBL	-1.281625
LECT2	0.07525
NKAPL	0.936833333333333
LOC654780	0.5335
OR4C6	0.0985
RAB30	-0.165166666666667
TSSK4	-0.024
TMEM163	0.8445
OSBPL11	0.72
GNB5	-1.6395
CCL21	0.71075
C1orf121	0.747
FMO2	2.34333333333333
RPTN	0.689
MSTN	0.6885
VCL	-0.332428571428571
FYTTD1	0.63775
C11orf1	-0.88625
CCDC88C	0.4126875
HFE	-0.193
MOGAT1	0.5515
FAM125B	0.943666666666667
IRGQ	-0.0025
RAVER2	-0.29525
AKAP5	-0.702
SSSCA1	0.013
C11orf63	-0.124
ACTG2	-0.1757
PORCN	-1.0775
DTL	-1.75763636363636
TMEM151	0.591
FAM122C	-0.41325
RSAD2	5.0089
BAT4	-0.685
KRTDAP	-0.8005
MYH8	-0.097125
CRTC3	1.11825
LRRFIP2	0.691
INTS4	-0.445333333333333
TTN	-0.4745
SLC26A5	0.3875
PLLP	-0.884
RGS6	0.74525
SRGAP3	0.666875
ZNF525	0.806333333333333
NBR2	-0.952166666666667
C13orf1	-0.1072
ZNF137	1.2525
CEP27	-1.40425
BEST2	0.362
RNF121	0.01425
DMRTC2	0.91375
C8orf76	0.4945
BCCIP	-0.5565
MEST	0.32325
HTRA2	-0.426
ANGPTL2	0.56
ILKAP	-0.760666666666667
ERAS	0.062
HBS1L	-0.753875
CPA5	0.1565
TMEM30A	1.418
CD300LF	2.041
WISP3	-0.094
CRK	0.350428571428571
PDS5A	-0.3165
BRPF3	-0.124
NEDD9	-0.129125
SMPDL3B	0.7145
PSG6	-0.78175
PSMD13	-0.21375
ETV5	-1.2935625
OR51A4	0.097
BTBD7	-0.04175
GSTO1	-0.549375
hCG_16001	-0.1235
MAD2L1BP	-0.2445
COX6A2	1.476
SCNN1A	0.304666666666667
LSM1	0.0376666666666667
UGT2B11	-3.027
IDUA	0.42925
PPP2R3C	-0.414
COX11	-1.10983333333333
PDZK1	-4.2675
ZNF443	-0.635833333333333
MGC21874	0.538833333333333
ZNF323	0.3545
KRTAP10-10	0.2385
CXCL6	1.24675
SLC34A2	3.061
LOC284402	0.112
NPTN	1.03525
UPP1	-1.37416666666667
SLC6A9	0.5675
OR7G3	0.13975
CISD1	-0.196166666666667
ZNF545	1.55166666666667
SYT14	0.192
NT5C3L	-0.248833333333333
ZNHIT3	-0.7935
SNRPD3	0.0535
KIAA0701	-0.242625
UNC93B1	1.45416666666667
GMNN	-0.954125
SPCS2	0.342666666666667
LOC388524	-0.435
NAPRT1	1.67075
PNLIPRP1	-0.19525
OR6V1	1.1675
PRKAB1	-0.4215
EYA4	-2.66916666666667
KIF20A	-0.75275
ALG10	0.45
ITPKC	0.594333333333333
LMX1B	0.0666666666666667
RPUSD4	-0.7865
C7orf34	-0.0121666666666667
DLGAP2	0.333875
PFN1	0.0733
MICALL2	-0.0171666666666666
ZNF654	-0.383
SS18L1	-0.85825
SLC16A8	0.256
MKI67IP	0.093
ITGB3	-1.21025
TCEA3	1.575
CEP152	-1.4373125
CLIP1	0.92975
ZNF75	-0.109625
ATP5C1	1.27316666666667
NUDT5	1.1065
PSCDBP	2.707
UBP1	-0.364
RBM27	-0.2315
C13orf15	2.1855
ZNF282	0.154
ZNF222	-0.6158
COL10A1	4.8015
PRDM15	-0.449875
TTTY5	-0.3055
FAM9C	-0.12625
C20orf67	0.26125
GNG13	-0.0735
F12	-1.3585
C1orf41	-0.58175
CPXCR1	0.436
GSK3A	-0.024375
SUPT6H	-0.225666666666667
PI16	3.59416666666667
ELL2	-0.110166666666667
C9orf167	-0.923
PVRL3	-1.8924
FLJ38596	0.13625
ADAM20	-0.20275
GPR89A	1.3615
GPR87	2.365
ZNF30	-0.58825
SMR3B	0.116
ZNF770	-0.207875
TRPC4AP	-0.1355
DKFZP686E2158	-0.4895
C2orf28	0.228166666666667
FREM1	-0.272666666666667
LAMA4	0.530833333333333
ADPRHL2	0.705
EIF4G2	0.273166666666667
GUCA1A	-0.6215
CTNNA2	-1.224625
NUDT15	-0.0496666666666667
CEPT1	-0.126166666666667
ZNFX1	1.8881
CCDC92	1.12975
TDRD1	-0.3885
KCNK5	0.217333333333333
ETNK1	0.48
LTA	0.855
TTPA	0.160833333333333
B3GALNT2	0.515625
SC65	0.0698333333333333
PEX5L	-0.810375
EPS15L1	-0.228
MGEA5	-0.60525
HIST1H3A	0.30325
ING1	-0.036375
BCAT1	-0.45175
ORC6L	-2.47745454545455
KLK11	-4.76583333333333
C19orf28	-0.928
DNER	-3.6005
MED22	-0.881857142857143
ETV6	2.81383333333333
CHAC2	-0.9975
CD300E	0.0235
CEBPB	1.7245
ZNF398	-0.18975
LRCH3	0.1095
HMGA1	-0.291
CAPN7	-0.461833333333333
MGC5566	-1.96675
CCL3	3.138375
NANOS1	0.340625
ZFYVE19	-0.16925
APITD1	-1.18033333333333
PARD3	1.859625
IRAK4	-0.405666666666667
SERPINI2	-0.1405
CEP170L	-0.7735
TTC9	1.6595
MYOM3	-1.2805
MLPH	-3.350625
LOC222699	-0.2595
NRG1	-1.387
TBC1D9	0.749636363636364
TTK	-0.386
ZNF557	0.1407
DDX41	-0.407666666666667
FANK1	0.423
UBE2D2	0.08325
PSMB10	2.191625
MYH7B	0.241
GABARAPL2	0.168125
MARVELD2	-0.165
DGCR2	0.6955
UNC45A	0.282666666666667
C6orf72	0.4055
ZNF683	5.137
GIT2	0.202
CASK	0.817333333333333
C14orf161	1.06683333333333
LRRC44	-0.496
TIFA	0.142
UTP11L	-0.803625
C6orf65	-0.70925
FDPS	0.5035
DUSP9	-1.5421
SLC17A8	0.148
OR51G1	0.146333333333333
NANS	-0.305
OLFML1	1.29575
ATP10B	-0.0595
NPAS3	0.9545
PRKCA	-2.0062
GGA2	0.068375
LCE4A	0.2195
SPANXN3	0.159
CCDC115	1.639125
SDCCAG3	-0.9105
GLIPR1L1	0.47025
TTC1	-0.54325
C17orf76	-0.02925
MAD2L2	-1.07175
HIPK1	-0.3142
LRRC3B	-0.485
CLN3	-0.693909090909091
C17orf47	0.28
FMN2	-1.888875
TUBB1	-1.152375
WAPAL	-0.035
C3orf21	0.3805
SCN5A	-0.3357
SMYD1	0.31875
BEX5	-2.038
ZNF192	0.049
SEC22A	0.9175
GRIA2	0.142357142857143
KIAA0825	-1.422
NUSAP1	-1.89
LANCL1	-1.14625
C15orf40	-0.7864
ZNF645	0.183875
GPR61	-0.06425
NLRP14	0.2
SNX21	-0.1474
C1QTNF8	-0.1445
C17orf46	0.55375
IFNA8	0.344
SPRR1B	-0.915333333333333
FLRT1	-0.33875
SNX17	0.256333333333333
ASB2	1.29233333333333
HBG1	-5.772
RPRML	-1.089
JOSD2	0.539833333333333
PLSCR3	0.39175
SPOCD1	-0.464333333333333
RAB39	0.411
GHRH	-0.180333333333333
ITIH5L	0.02475
C17orf37	-0.111
SMCR8	0.1605
DPY19L2P3	-0.165666666666667
IL11RA	0.521666666666667
GDF3	-2.97783333333333
RPS6KB1	-1.46883333333333
DNAJC19	-0.2574
TOP1	-0.63475
CRCT1	-0.839375
MPST	0.209875
DPM2	-0.082875
FAM38B	-2.0035
SLC18A1	-1.67
FARP1	-0.0466666666666667
PAX7	-0.009
TUBD1	-1.46075
GNL3	-0.631625
BTG2	1.13666666666667
NDUFS6	-0.25
C1orf79	-1.358
ERAL1	-0.5305
ECHS1	0.61125
VPS4A	0.662833333333333
CYP11A1	1.572375
ABCC6	-0.998285714285714
PBX4	-0.2275
MOSC1	0.131375
NCF4	2.25625
HYMAI	-0.159
NAGPA	-0.157625
OTOP2	0.3445
ACOT12	-0.185
MTHFD2L	-0.9595
LOC441376	3.733
C19orf34	0.3775
RAB1B	-0.137
ALDOAP2	-0.755
NTRK1	-1.2135
ARTS-1	-0.461
SLC6A11	0.297
NAP1L2	-1.71975
CNGB1	0.423333333333333
EPB41L4B	0.94025
FAM134B	0.875
HS3ST3A1	-1.26216666666667
CPXM2	4.4015
SIRPB2	0.297
CHORDC1	-0.986333333333333
TRIB3	-0.955333333333333
SLC2A5	1.43675
C2orf49	-0.612666666666667
DDX5	-0.71275
OR5L1	0.2615
ANAPC4	-0.608
ZSWIM1	-0.398625
LOC93622	-0.574125
KCNK3	3.2308
RP11-35N6.1	-1.752
ZFP161	-0.106333333333333
AQP9	4.554
SLC15A2	0.531
MREG	-0.5405
OR9I1	0.053
PDLIM2	0.911375
ADAM7	0.1725
GSTCD	-0.546833333333333
WDR21A	0.78675
SLC12A8	1.92766666666667
TMEM174	-0.04525
IGSF3	0.206083333333333
LRRN1	0.44975
LOC402117	0.0705
SRPK1	-0.437833333333333
LY6K	1.77525
NFIA	0.795
PTCD3	-0.65075
LEP	3.04033333333333
PCDH21	-0.450166666666667
MAPKAPK2	0.791714285714286
NMNAT1	-1.32766666666667
LHFPL2	1.163875
C9orf43	-1.14275
DIP2A	-0.3415
ACTR8	-0.139
CCDC34	-0.825
PTPN22	0.609
ITGA3	-1.086875
FAM129C	1.644
RABGGTA	0.745833333333333
UNC45B	0.0155
KIAA1033	-0.181
ZNF510	-0.549666666666667
CYP2D6	-0.161166666666667
SLC26A10	-2.1815
STX8	0.06575
LUZP1	0.00512499999999999
WDR89	-0.2545
EIF4G3	-1.0533
C5AR1	0.976625
ZNF623	0.845
A2M	1.2075
TGM7	0.003
GRPEL1	-0.0508333333333333
LMNB2	-1.2924
ROCK2	0.229
SNX16	0.149125
CCDC66	-0.76425
ANXA3	0.07225
KIAA1609	1.37925
EED	-0.72525
RNF32	0.364833333333333
HES1	0.4224
CLC	0.937833333333333
ISL1	-0.307333333333333
KIAA0528	-0.34625
MANEA	0.849375
C1orf61	-1.122
hCG_2001000	-0.14575
RAPGEF6	-0.6287
KIAA0020	0.802166666666667
NEIL1	0.18375
C16orf45	-2.271375
RBM10	-0.0391666666666667
C10orf125	-0.231625
MRS2L	0.30775
DNAH17	-0.40675
C19orf10	-0.14625
C1orf160	0.4595
SLFN12	0.8925
EXOC3	-0.0065
HIST3H3	0.12
NCOR2	0.273
TNFRSF9	1.6675
MFSD8	0.6115
ALX1	-2.60333333333333
NOL1	0.48175
PODN	2.03325
TIAL1	-1.06875
HIST1H1E	-0.25875
NPY6R	0.2185
TM4SF4	1.01325
CORO2A	-0.63825
ETNK2	-0.851333333333333
APOE	1.3212
ANGPT4	0.3085
HDGF2	-0.4765
G30	0.0105
ST8SIA4	0.736125
F2RL1	-1.34425
FAM19A4	-1.8175
CCAR1	-0.90625
B3GNT7	0.5045
OPHN1	-0.3431
DSCR6	-0.802
C21orf13	-0.0536666666666667
GAS2L1	0.7875
RFX3	-0.322
COPS4	-0.653875
BCHE	-4.47566666666667
BCL2	0.380125
HBZ	-2.9785
ARL13B	-0.679375
MAPBPIP	0.992125
MYO15B	-0.631
SPZ1	-0.032
KIAA1324	-3.17244444444444
PLCL2	1.41275
C4orf29	-1.067
WDFY2	-0.20875
ZNF284	-0.8235
NAALADL1	-0.025
DUSP5	0.410166666666667
PXDN	-0.518
SLMO1	-0.337
TNXB	0.8981
BIRC7	-0.74675
A4GALT	1.2895
TIMM22	-0.10425
FAM110C	-1.17375
TOMM34	-0.79825
ABHD9	0.889
ADAM32	1.9395
CRHBP	0.765
AQP2	0.490875
LOC130355	-0.27475
ZNF187	-0.1405
ZNF816A	1.8615
F7	-0.904375
CNOT1	-0.0738
SLC13A4	0.26625
ZBTB11	-0.53525
B3GALT5	0.31475
EXOC2	0.347666666666667
IRS1	-1.4507
TMEM1	0.1945
MRPL34	-0.770333333333333
SAMM50	-0.15
CDC42EP3	0.420875
HSF2	-0.9427
MFN2	0.0205
TSPAN7	-1.39433333333333
NUCB1	0.878
RHOH	-0.43825
ARL16	-0.4455
TACR1	0.0895
SFRS5	-0.941833333333333
SNX25	-1.079625
RHBDF1	0.9505
PCDH18	1.34433333333333
HMG1L1	-0.23525
MYO5C	-0.488375
MAPK10	-0.034
LDHAL6A	-0.00866666666666665
NUDT12	-0.665833333333333
NCAM1	-0.33225
GLIS2	0.9185
GGTL4	0.25675
DAPP1	1.66575
ATF7	0.100875
KIAA0748	0.451
NFIL3	0.11125
TM6SF1	-0.422
SEZ6	0.004125
NANOS3	-0.224833333333333
DNAJA3	-0.493666666666667
CLDN6	-1.69
CIITA	3.6546
EPHA4	-0.982416666666667
FANCC	-0.1455
CMTM3	0.149375
PSG3	-0.017625
MRPL15	0.9715
C21orf59	-0.49175
PLCXD2	0.13625
C2orf34	-0.11025
UBE2L6	2.2585
MED14	0.173833333333333
HP1BP3	-0.182
C6orf208	-0.21
TPBG	-0.58225
OSR2	0.07675
XPC	-0.1675
KLHL7	-0.719
CCR3	-0.0163333333333333
AGTPBP1	-0.120333333333333
PCSK6	0.132466666666667
STAT5A	0.4483
FAM18B	0.308
LONRF2	-4.1915
PTPN2	0.049625
SF3A3	-0.771833333333333
EFCBP2	-0.258
HCFC1	-0.29
AHNAK	-0.16905
ACTR5	-0.1785
KIF14	-1.63714285714286
TENC1	0.5105
HEATR5B	0.045
YIPF2	0.832333333333333
MYEOV2	-0.2515
DUSP18	0.9715
KIAA1012	-0.70225
AHR	0.028
C17orf53	-0.345333333333333
PTPRH	-2.495
ATP6V1C1	0.1982
TAS2R3	0.1215
LOC440356	-1.55
COQ10B	0.1725
PSMF1	0.389083333333333
SORBS2	-0.298083333333333
NFE2L2	-0.14825
TMCO7	-0.07275
SH3PXD2A	-0.3991
SH2D2A	1.27425
SPINK5	-1.14525
MRPS24	-0.46775
OPA3	0.576
TRAF7	-0.36
C4orf35	0.187166666666667
MT1G	-1.085875
MGC39545	0.1105
HS1BP3	0.2964
OR2B2	0.2015
CHRM4	-0.0545
SFRP2	2.22266666666667
RIC3	-0.346
ART1	-0.02
C6orf1	0.25775
DUS4L	-0.87525
C10orf104	0.1305
TNFAIP6	2.05925
RTEL1	-1.31275
CCT4	-0.3809
ZNF709	-0.45075
CHMP6	0.213333333333333
UPP2	0.3085
CYP19A1	-1.5985
CD151	-1.49466666666667
NDUFA13	-0.496333333333333
ARFRP1	-0.551
FAM26B	1.9645
CRYBA1	-0.9855
MRPL41	-0.652166666666667
NPFFR2	-0.943
HRH2	0.117
SCAMP3	0.920333333333333
MTMR6	0.2519
MTG1	-0.684
UBTD1	0.625
CRABP1	0.1685
FLJ33790	0.0229
KIAA1908	0.601166666666667
GPR158	-1.809
PACSIN3	0.1365
OMD	2.04916666666667
CATSPER1	0.170166666666667
HOXB8	-0.219375
FBXO46	0.2625
OAS1	3.35716666666667
SVIL	2.30575
PHB2	0.39575
ADCY3	1.302
NDRG2	1.30283333333333
ERMAP	0.1493
APBA2	-0.6145
IGSF9	2.87625
WNT6	1.26471428571429
MYCBPAP	-0.35825
ATP2B2	0.5943
CPVL	0.7403
TRAM2	-0.363833333333333
NOP5/NOP58	-0.9565
ZNRF4	-0.315
TLK1	0.077625
MTMR12	0.610928571428571
ZNF384	0.475166666666667
FAM9B	-1.51275
RPN1	1.0797
PMVK	0.59975
EIF3D	0.1492
SIX2	-0.5215
HPS1	0.714428571428572
RNF7	0.692
