Hybridization REF	TCGA-BH-A0DQ-11A-12R-A089-07
ZFAND6	0.47975
C6orf57	-1.173
NUF2	-4.624375
ARID2	0.06875
RCC1	-0.174
CD86	1.51383333333333
FAM91A1	-0.3235
CALM2	0.7035
GYG2	-0.1975
PARS2	0.0731666666666667
INTS12	0.5115
CTSF	1.990875
BNIPL	2.323
GNA13	0.115125
HUNK	0.2415
ZBTB4	1.8195
B4GALT4	0.04025
CHD1L	-1.329125
MSTO1	-0.725
FUT8	0.305846153846154
AGA	0.9465
TRMT11	0.0501666666666667
WWP1	1.34066666666667
B9D2	0.419333333333333
STAT1	0.650375
PTTG1	-3.96816666666667
TMEM62	1.34975
SSBP2	0.45575
MRFAP1	0.76575
NME4	-0.9075
LOC55565	0.639666666666667
DLL4	2.5235
MYOCD	0.334833333333333
HTR3D	-0.0605
C9orf156	1.06775
CHMP4C	1.4245
PROCA1	-2.19775
GCDH	-0.13825
APOF	-0.894833333333333
WEE1	0.403166666666667
SSR4	0.4165
RGS1	5.61075
ACCN4	-1.96816666666667
FLJ20489	0.6485
ZNF215	-0.925666666666667
AGPAT6	-0.291125
PDE7B	0.54525
BBX	0.502375
MS4A3	-3.99683333333333
OR4A16	-0.7395
EFEMP1	2.9095
TULP2	-0.520333333333333
RERE	1.108625
BNC1	1.60025
PIGB	0.642
COMMD8	-0.232
TRIP11	0.442166666666667
FLJ40142	-0.13925
PCDHB6	2.18
FKBP8	-0.226166666666667
FLJ12716	0.3618
POT1	-0.449833333333333
KIAA1109	1.2085
PTPRC	0.70625
UNQ9391	0.7675
CCT7	-0.561333333333333
EEF1A2	-3.00325
MIPEP	0.167
ZFX	0.5335
UCHL3	0.33275
LOC388419	-0.483
GSG1L	0.885
RAB24	-0.237
SLA2	-0.16825
SDS	1.125
LYPLA3	-0.3695
CASQ1	0.54175
SLC25A40	-0.7515
IRAK1BP1	1.33475
ACOT6	0.3725
COL9A3	-2.83025
ASB11	-0.708
C2orf18	0.405166666666667
FOXD2	-0.17025
C6orf211	1.10925
OR8G1	-0.0995
MDGA1	0.69525
ADARB1	-0.38025
GGT1	-0.058
WNT1	0.2095
DBP	0.35725
COL5A3	0.96825
RHOD	-0.17175
COL4A2	1.60925
LOC201164	-0.43875
HEBP1	1.0705
LUM	1.71475
ZCCHC6	0.531
PAGE1	-3.7035
DTX2	0.422
SLC7A13	1.103
H3F3A	0.417285714285714
RABIF	-0.422125
D4S234E	0.208166666666667
DYRK3	0.158666666666667
PFAS	-1.302
ALOXE3	-0.147833333333333
RPLP0	-0.198142857142857
RBM34	-0.228833333333333
C12orf28	0.0765
U2AF2	-0.265333333333333
MKNK2	0.3021875
SEC16A	0.7025
ZNF44	0.297
YWHAG	-1.189125
IGF2BP2	-2.58875
OR1D5	0.0895
SIX6	-3.201
CCR6	0.34375
PALM	1.32575
PUM2	0.649857142857143
SPRYD5	-1.141
ALG10B	-0.07675
ZNF365	0.489
PHC1	-1.24825
KIAA0913	-0.15325
ARX	0.756875
PPP3CB	0.838
IRX6	-0.00379999999999999
ANGPTL4	-0.5038
LSM14B	-0.5345
PCDHGB7	0.6055
INSM1	-0.553
WBP2NL	-1.362
ZNF493	0.135625
NGEF	-3.2315
RNASE13	-0.262
SPPL2A	0.169166666666667
SFXN1	-1.936
FAM102A	0.450125
SAPS2	-0.367083333333333
JTV1	-1.4415
OR51B4	-1.59975
SCGB1A1	-0.1595
NEUROD2	0.984875
tAKR	-0.61925
C1orf26	0.98475
RICH2	0.35975
TEDDM1	0.0605
CYP2S1	-0.9445
TBCE	-1.082
MAPK1	-0.8895
HDHD1A	-0.376
MRM1	-1.1135
ATP9A	-0.174214285714286
HSD17B3	0.0871666666666667
HN1L	-0.226416666666667
RNF216	-0.475125
HOXD12	-0.0455
PPP1R14B	-1.60125
SBF1	-0.6045
TAS2R42	0.387
USP46	0.096
LILRB3	1.24083333333333
SPI1	0.73825
OXSM	-0.268
GYS2	0.351666666666667
NUPL2	-0.42725
C8orf46	-0.23275
SF3A1	0.2858
C21orf99	-0.03925
HOXB4	0.9673
YRDC	-0.7475
GPRC5D	0.464
BLVRA	0.837875
KIF12	3.362
LRRC23	0.5805
FAM14A	0.864333333333333
RASL12	1.686125
DAZAP2	1.43725
IKBKB	0.4955
ZNF271	1.13283333333333
BOK	0.00175
CXorf6	-1.1245
MYEOV	-0.82775
BTN2A2	-0.9444
FRG1	-0.1555
HSP90AB6P	-0.313
ENOX1	-0.804
ZNF706	0.3571
DOK1	0.1127
PGAP1	0.491375
TMEM136	-0.394
FSCN1	-2.0825
KIF17	0.47275
TRIM66	-0.0225
CBR3	0.844333333333333
C13orf24	0.711333333333333
C19orf52	-0.8815
BNIP1	0.37375
AQP3	1.11625
KRT6C	-0.599166666666667
SIRPA	0.831916666666667
IGFBP6	0.6005
PLEKHK1	-1.2615
RNASE7	0.2825
ARHGEF15	0.83525
NPHS2	0.36375
SRD5A1	-1.10475
REXO4	-0.87925
EEF1DP3	0.251
SLC37A2	-1.22025
ZNF142	0.0445
ANKHD1	-1.108
MUT	1.0445
VPS37A	-0.33775
GPRIN1	-1.81275
SLC38A3	-1.13775
BAZ2B	1.841
WDR87	-0.268666666666667
BRD7	-0.0775
POU6F2	-0.5595
NISCH	1.2835
TCEB1	-0.91975
LINGO2	-2.0045
TAX1BP3	-0.927
RPL34	0.673444444444444
MARK2	0.194666666666667
AKAP12	0.048
AMBN	-0.0135
SLC25A27	1.01983333333333
FLJ21865	-0.40925
KIR2DS2	0.055
WDR77	-1.09575
ATF2	0.345583333333333
ITFG3	-0.2765
SLC39A13	0.5165
ARL6IP5	1.401
C10orf137	-0.160375
QTRT1	-0.5865
CCNT1	-0.25075
DYNLL1	0.0787
WDR53	-0.35225
LIPG	-0.724
ASAH3	-0.1195
HELB	-0.67875
PHACTR2	1.723875
VENTX	-0.2605
LAD1	0.3835
PAOX	1.2525
MAPK8	0.6235
CCDC38	0.7
DNAJC8	0.1911
RBBP8	0.60675
WNT11	0.3758
KCNJ12	-0.199166666666667
HDAC8	0.0118333333333333
STARD4	-3.033
ACVR1	1.17916666666667
C14orf65	-0.241333333333333
KLB	-1.1315
C1orf65	0.09275
ZFYVE28	0.63475
NSUN6	0.135
KIF27	0.753333333333333
SYTL2	-0.638833333333333
UBXD2	0.3781
OR6T1	0.0415
CCDC91	0.717642857142857
GRID2	-0.151
CALN1	-0.687
ZNF423	0.86
PSMB4	-0.921
XPNPEP3	-0.458
ARPP-21	-2.9813
SART1	-0.5115
RACGAP1P	-2.758
SPTA1	-3.0955
C6orf113	-0.590166666666667
C7orf16	-2.50075
CHST7	-0.359666666666667
C21orf29	-0.377666666666667
SEMA6D	1.105
PCMTD1	2.091875
KIAA1754	-0.8185
MYCN	-1.3234375
KCNJ3	2.221
MAPK13	1.9598
ERO1LB	1.25325
NTF3	-0.095
NKX6-2	-0.838
GTF2B	0.3445
GSPT1	-0.807166666666667
GUSB	-0.224833333333333
LOC221091	0.8695
LIG1	-1.23875
EXTL3	-0.4435
NID2	-0.8755
TTC29	-0.0305
TMEM97	-1.7505
EXTL2	0.1855
SUZ12	-0.725625
IL1F8	0.5275
KRT18	-0.914818181818182
MRPS16	-0.775
PI4K2B	-0.36775
LACRT	3.3445
OR51F2	0.228
JMJD2C	0.40075
KGFLP1	3.33975
CDK5RAP3	-0.4831
YTHDF2	0.0723333333333333
GGCX	0.1965
ARPC4	0.19875
EGLN2	0.165
KBTBD4	0.534285714285714
ROBO3	0.1977
DEFB118	-0.0545
KIAA1543	1.17175
RTCD1	-0.732666666666667
MZF1	-0.2595
C18orf26	-0.385
CNIH4	-1.11666666666667
ZFP2	2.97033333333333
HTATSF1	0.079
WFDC2	3.325
NDUFA7	-0.275
TTC22	1.03266666666667
FAM40B	-3.073375
DCPS	-1.01275
SH2D1B	-0.366666666666667
MRGPRE	-0.0635
SBK1	-0.48775
UNQ6411	-0.0985
OSBPL9	-0.153
NUP107	-0.95325
MYOZ3	0.4098
PDE4B	1.05283333333333
FAM113A	-0.4605
IDH3G	-0.047
FBXL7	-0.121875
ARFGAP3	0.39425
MAPRE2	-0.479153846153846
IL1RN	-1.5412
KIF13A	-0.6435
RAC3	-1.0075
TCTE1	-0.3415
TMEM14B	-0.316166666666667
ADIPOR1	-0.086
GRINA	0.3495
CLIP4	1.28575
LRIT2	-0.7715
TFPI	-1.0345
FABP6	-2.41225
SLITRK2	-0.3668
HKR1	0.7615
SMTN	0.1785
C1orf75	-1.075
CD209	0.4175
CYB5R2	1.30725
DNTTIP2	-0.0953333333333333
CSGlcA-T	0.122375
GABRB3	0.089
PCBD1	0.511666666666667
TAF3	0.450333333333333
HOXD3	0.308333333333333
GIPC3	-0.4025
P11	0.7145
BFSP1	-0.624
LCP2	0.201
TAS2R8	0.6145
SEZ6L	-0.657375
NR2C1	-0.60375
EXDL2	0.8631
TNFRSF13B	-1.71316666666667
MKI67	-4.216
GLS	-0.220083333333333
C7orf54	-0.4172
LGALS13	0.119166666666667
IL4R	0.7025
SEC11A	-0.035
SPP2	0.112166666666667
C18orf32	1.03525
CLSPN	-3.07633333333333
SPAG1	0.075875
C9orf82	0.54975
TM4SF1	0.0235
EMILIN2	2.1235
SMG7	-0.0941666666666667
TAS2R13	0.444
ZNF628	-0.504
DZIP1L	-0.141666666666667
ANKRD13A	0.1262
VASP	-0.05425
ZCCHC11	-0.395
SYPL1	0.878
MGC34774	-0.1305
C4orf28	0.686875
KIAA1211	-0.637
RPS27L	0.12125
TATDN3	-0.7335
PDCD1	-0.071
OR5P2	0.3675
IFIT1L	-0.0025
MIPOL1	0.8205
OR51D1	0.14025
C1orf92	-0.388833333333333
LAMP2	0.884
CAT	1.23516666666667
C16orf80	0.0075
C15orf32	-0.4685
ZNF746	-0.18725
C1orf76	-1.057
ATXN1	0.055
LAMC2	2.149625
SLC2A7	-0.093
CPOX	-0.90425
APH1B	1.3815
LOC442245	0.82525
CTNND1	1.1615
GABRG2	-0.695125
MADCAM1	-0.362166666666667
F5	-3.227375
SEMA4F	-0.141666666666667
NUDCD3	0.118125
PDZD11	-0.191
TRIML1	-1.3915
GCNT3	-0.417333333333333
TMEM120A	0.441
CNDP1	0.4135
N4BP1	0.25275
SLC35F2	-1.223
LCP1	-0.489083333333333
IGBP1	0.8104
DCAKD	0.525625
ELA2A	-1.028
C12orf56	-2.207125
PITRM1	-0.161785714285714
GUK1	0.0273333333333333
RASSF8	-0.140625
OR2A14	0.3465
ADM	-1.788
FGD3	0.540666666666667
GHRHR	0.0758333333333333
RHPN2	0.50575
C4orf39	1.69983333333333
VPS72	-0.3115
SERF2	0.636888888888889
CD22	0.4625
CD47	0.8441
PPIC	0.903
IMPDH1	-0.60675
ACP6	-0.0455
PRKACA	-0.192625
PPP1R1A	1.622625
TRPV3	-0.06125
ASXL1	-0.575125
C17orf55	-1.195
FXYD1	2.63833333333333
LMOD2	-0.057
ANKRD33	-0.137
LCE2C	0.08675
ZNF620	0.1805
DKFZP566E164	-1.11125
VSIG2	3.07175
KIAA1128	1.52175
USO1	0.448333333333333
NUDT4	-0.316
CLDN1	-1.12664285714286
OR4Q3	0.023
FASTK	-0.765833333333333
ICOS	1.08683333333333
LDB1	0.23075
GSTA5	0.53325
ABCC1	-1.7515
FAM54A	-4.16225
PCBP2	0.425166666666667
NUP205	-1.498
ACTA1	-2.21816666666667
GABBR2	-1.77975
PIP5K1B	1.01616666666667
AGXT	-2.0825
RNF181	-0.276
ATP8A2	-0.74925
AFTPH	1.128125
FGF21	-0.084
FCER1G	0.96325
SNTB1	-0.7605
SLC24A3	1.114125
TXNL4B	-0.4444
RPL10L	0.465333333333333
LOC389517	-0.71145
TSGA13	0.0175
SHOX2	-0.138333333333333
ITGA7	-0.0923
KCNIP2	0.477
KLF13	0.1134
ZFAND2A	-0.3325
CEACAM1	1.50164285714286
PFKFB4	-2.881
MED19	0.46975
LRRC57	0.494666666666667
RNF11	1.46225
ANKRD32	-2.459
P117	-0.252666666666667
OBFC2A	-0.570833333333333
POLD3	-0.968
RAB18	1.411625
TPH2	-0.4285
PHB	-0.0739
JDP2	1.33033333333333
MORF4L1	0.5214
POU2F1	-0.3645
CNNM2	-0.593083333333333
LOXHD1	0.662333333333333
ZC3H15	-0.3995
ELK3	0.227166666666667
FAM111B	-2.5355
CBLC	2.671
SBNO1	-0.06525
ANKMY2	0.34525
PLEKHA5	-0.08225
DHX58	1.12416666666667
ARCN1	0.0316666666666667
TREML1	0.0174
KNCN	0.852
SEC24A	-0.8185
PSCA	-1.4775
MGC24125	0.433333333333333
DNA2L	-2.317
CIB4	0.512375
HIGD2A	-0.390166666666667
TBX6	-0.2715
TTLL5	-0.397
SGK3	2.65983333333333
GCN1L1	-0.4565
AMOT	0.945
LDOC1	0.328166666666667
NRK	0.136666666666667
ASB9	-2.4335
NAT1	3.1808
TRAFD1	0.1785
PEAR1	0.8035
FAM36A	0.4165
OR1S2	0.00133333333333333
LOC388323	-2.56275
PGS1	-0.663833333333333
LEPREL1	-1.19425
TFF1	-0.68
HAP1	0.145
EPHB2	-0.50675
ACTG1	0.0835
ZFP42	-1.31033333333333
HAVCR2	-0.4771
NME1	-0.966
SNX26	-0.4705
LACTB	0.0378333333333333
ZKSCAN2	-0.792625
C5orf35	0.4965
ANKS3	-0.4135
RBM28	-1.32
DKFZP586P0123	-0.92625
HNRNPA1	0.15
BCAS3	-1.19358333333333
FLJ20184	0.093
POLA2	-1.71583333333333
TMC7	-1.19933333333333
HSD17B6	-0.995
ZNF658B	1.36333333333333
TTTY10	-0.293666666666667
RANBP9	-0.473083333333333
CPNE7	-2.89516666666667
EVL	0.235764705882353
LNX1	1.25041666666667
IFNA21	0.00733333333333333
CFD	2.813
PYCARD	0.0755
MYBPC2	-1.5035
ENPP3	-1.1315
ACSL4	-1.1135
LOC440258	-0.332666666666667
TMEM176B	3.163
SOX2	-5.100625
SCO1	-0.468833333333333
COMT	0.196
AOC2	-0.2275
PDLIM5	1.34535714285714
SPHK2	0.0805
NXPH2	1.016
GPR108	1.01833333333333
RAD51L1	0.371333333333333
TMEM54	0.5955
LETMD1	-0.0153333333333333
SLC6A17	0.013
KRT75	-0.1245
STT3B	-0.565833333333333
CD3EAP	-0.988333333333333
TMEM63A	0.16
DUSP13	-2.81775
CD1C	0.688166666666667
LASS2	0.1985
AVP	-0.7295
PITPNM1	-1.942625
FLJ22795	-0.712
MCTP1	-1.961
TRIM68	1.03916666666667
UCK2	-1.4385
ABHD1	0.265
FAM50A	-0.99825
RNASEH1	-1.15833333333333
PCP2	1.343
OR52H1	0.389
C20orf149	0.41175
RBP5	0.1245
HYAL3	-1.57325
CLPB	-1.52675
SMNDC1	-0.32175
DONSON	-3.29116666666667
FLJ27523	-0.019
BARHL2	0.209
SLC30A9	0.590666666666667
TMPRSS11B	0.06475
E2F8	-2.65083333333333
CCDC25	0.1435
C14orf48	0.0978333333333334
C20orf116	0.283875
TSPAN11	-0.05
YIF1B	-1.33
FAM12B	1.3375
OR1L6	-0.1325
HPN	-0.2566
NBN	0.3635
C14orf94	-0.1845
OCLM	0.389
ZSCAN18	1.5849
L3MBTL	-0.4036
TSTA3	0.1565
RAC1	0.2875
C19orf15	0.640166666666667
NFE2	-4.909
KLK14	-0.052
ARSF	0.251
MAST2	-0.726666666666667
AMICA1	2.1695
GTF2A1	-0.10925
ATP1A3	0.33075
TC2N	2.8664
PNKP	-0.5815
ODZ2	1.029
MATR3	0.18375
S100P	-4.6745
KRT82	-0.028
CA13	0.8277
PROZ	-2.058
AASDH	0.222875
C19orf40	-0.792333333333333
DCK	-0.881692307692308
FAM5C	1.14925
SLC6A4	-2.0115
MID1IP1	-0.998625
TESSP5	0.4565
TMOD4	-0.055
DOCK2	-1.21616666666667
TUG1	0.605875
NUP214	-1.12475
DPYSL2	0.287727272727273
GOLM1	1.48858333333333
MPFL	-0.12925
SOX13	0.49125
SDCCAG8	0.9544
KEL	-1.71983333333333
NUP210L	-2.28925
GK	-1.283625
DNAJB1	1.1295
ALPK3	-0.343
CHID1	0.5397
CYLC2	-0.509
IKZF5	0.87525
C8orf51	-0.316666666666667
PPM1J	1.0585
GIMAP8	3.93766666666667
GPR101	0.0015
NR2F1	1.213
ACAD8	0.8715
RBM35A	0.68
GNAI2	0.2085
METTL8	-0.7785
SLC39A7	-0.83775
FBXO8	1.20925
CAMK1	-0.228
RFC3	-1.138125
FAM129A	1.78771428571429
ILF2	-0.42525
FGFBP3	-0.287
NOM1	-1.0935
PSMA3	-0.59375
ASCC3	-0.1362
ZYG11A	-1.7485
SOX21	-1.57375
LYRM1	1.07625
DEFB1	2.597
LOC91431	-2.64266666666667
OR7C2	0.5185
FAM46B	1.134875
TMEM18	0.49325
ARHGAP30	0.519666666666667
TMEM86A	1.87516666666667
EPHA2	-0.488666666666667
C10orf46	0.9144
TCHH	-1.20333333333333
C3orf30	0.213166666666667
LOC285636	-0.369666666666667
PAIP2	0.79575
CYP2U1	0.47975
C12orf34	0.09425
SARS2	-0.642
ZCWPW1	1.0075
SAMD12	0.915375
KIAA1430	0.208625
ACAT1	0.07275
MEOX1	3.61283333333333
ADAMDEC1	2.43775
PHKA2	-0.41175
CARD11	-1.54116666666667
CALML4	-0.7285
TSSC1	-0.81425
TMEM45A	-1.38611111111111
MPP7	2.13775
POU1F1	-0.05725
SLC2A13	-0.7306
FBN2	-0.832857142857143
ZC3H7A	0.2898
LAIR2	-0.996
ST3GAL1	-0.203
LCT	-2.659
GEMIN8	0.676333333333333
KLF16	-0.343
HIF3A	0.4546
FAM44A	0.400785714285714
AQP10	-1.3322
PLA2G2A	-0.681
FOLH1	2.41316666666667
C20orf186	0.1815
MAPKAP1	-0.055875
SPRR2D	-1.72025
UBQLN4	-0.598166666666667
RSHL1	0.074
PIAS3	0.381375
MRPL24	-0.4145
GREB1	-0.0085
FAM27E3	-1.4355
NUP62CL	-0.764
NEUROG3	-1.1975
REEP3	0.622666666666667
MARK1	0.4505
LMBRD1	1.81725
PRPF19	-1.6775
PNMT	2.3605
CTGLF1	-0.214
SLC25A16	-0.32925
EIF2B3	-0.8375
RPA2	-0.04575
PAK6	0.963333333333333
CCDC26	-4.054125
SEMA3E	4.09475
MXD4	1.1044
TNFSF10	3.9944
SMARCB1	-0.169
DTX3L	0.467666666666667
PLA2G4E	-0.0905
PPAP2A	1.79075
ULK1	-0.351333333333333
TAS1R3	-0.254
SLC2A3	-3.48990909090909
ARID3A	-2.886
GNG5	-0.61925
ACOX1	0.2522
KIF5B	-0.04375
NUP153	-0.554
MUC7	0.3845
CSDE1	-0.220142857142857
CLPTM1	0.17725
C3orf23	0.0765
LRRC17	1.22633333333333
TTYH3	-1.290625
ATP5B	-0.846
ELF3	0.7797
CPSF3L	-0.2815
ZNF665	0.641333333333333
TLR6	0.2434
GPI	-1.52175
RAD9A	-0.574375
NDST4	-3.4375
AGPAT3	-0.032
MAGI3	1.19216666666667
ADORA2A	-0.7895
CACNG7	0.00999999999999998
CAMK2D	0.3725
CCHCR1	-0.52075
RPS27A	0.55275
OR10G7	0.27
GCM2	0.1065
FAM135B	0.2826
E2F1	-2.65575
PLCB3	-0.404
OR2AE1	0
COIL	0.1645
CDC25C	-3.54266666666667
RAB11FIP2	0.71325
TSC2	0.37875
CTGLF5	-0.4185
CCDC108	0.3054
OR13C4	0.307
C10orf81	5.6815
PTPRB	2.33275
ACP2	0.63075
LAG3	-0.413
MRPL54	0.11575
LOC201175	-1.175
ITGB1BP3	-1.712
SPTAN1	0.492666666666667
SIPA1L2	-0.2695
RCAN2	-0.6315
CDX2	1.546
ECOP	-0.082
ACTR1A	-0.164428571428571
PPARG	0.0411666666666667
BBS10	1.06666666666667
TMEM44	-1.032625
BPIL2	-0.31775
CITED1	3.99475
IRF6	3.59425
PRDM4	0.3165
RRP9	-0.952333333333333
OR10H4	0.04625
IL31RA	-0.589
GNB1L	-1.686
MYBL2	-3.25575
ZNF407	1.2165
PPIG	-0.100166666666667
TTC18	3.07975
RPSA	0.104
MAPT	2.003625
MRE11A	-0.0595
C8orf37	-0.305833333333333
RASGEF1C	0.213833333333333
STBD1	0.1615
CTAG2	0.0238333333333333
MGAT5B	-2.11583333333333
ECM1	-0.753625
RLN1	1.4385
PARP14	0.6105
EPB41L1	0.1466
HOXA3	0.773833333333333
MAGEA9	-4.3845
RPS8	0.64
RPS19BP1	0.30175
FOXJ2	0.8075
C10orf76	0.276
IL17RE	0.0615
C10orf65	-0.51825
ZNF343	0.0903333333333333
FBXO33	0.5445
UHMK1	1.2764
LY6G6C	-0.552
FGF19	-1.89975
C14orf128	0.766166666666667
IFIT2	2.037875
TIGD1	-0.60775
S100G	1.035
GUCY1B3	2.8825
NR3C1	0.4816
CORO1B	0.148333333333333
PARP11	1.12633333333333
DNALI1	3.85066666666667
OR4N4	0.23375
MAP2K6	1.41416666666667
FSTL4	-0.679
ANKRD47	1.548875
TMEM171	-1.66
PNLIP	0.58025
YY1	0.154
CCDC138	-1.79216666666667
AASDHPPT	-0.2367
CKS1B	-1.4496
MCM3	-1.41183333333333
ANAPC7	-0.3575
FAM110A	1.10025
CDC37L1	1.36966666666667
THTPA	0.584
NBPF20	-0.556
WDR24	-0.64525
NPTX2	-3.35125
CBLB	0.655833333333333
CETN1	-0.275333333333333
RPUSD1	-0.744
FAF1	-0.81
CDK6	-1.7404
HMX2	0.0685
CSK	-0.744
TEAD2	0.62825
SNAP25	0.87875
TUFT1	-0.4111
TMTC3	0.466333333333333
LCK	-1.91825
SGOL1	-2.70266666666667
AKTIP	1.5155
FURIN	0.010625
SOX12	-0.941833333333333
DEFB103A	-0.19025
RAMP1	0.43325
KIR3DX1	-0.651
GAS2L3	-0.67425
PDE8A	-0.6129
EDN3	6.717
GMIP	0.00375
SF3A2	-0.37625
FN3KRP	0.07225
SMAD7	0.32625
RHBDD2	0.3255
OR11H6	0.3095
PPP1R3B	1.3158
C9orf23	0.168
CADPS	-1.73225
GOLGA8A	-1.319375
TMEM57	-0.0246666666666667
RGL3	-0.297
S100A14	1.4585
FGFR2	2.311375
XRCC3	-1.15675
RTN4RL2	-0.2695
MGC3771	0.893
GH2	-0.358666666666667
BTBD2	0.39225
LMO2	0.8825
RDBP	-0.57425
ACRBP	-2.091
AMY2A	2.78925
DUOXA1	-0.4215
PTK7	0.712833333333333
TWF2	-0.312
FAM80A	-2.03025
TNNI2	-1.592
GLT25D1	-1.25633333333333
OCC-1	-1.4405
CYC1	-1.1415
RPL22	0.376590909090909
MORN3	0.7975
DISP1	1.2085
PRB2	-0.1855
CHUK	0.2145
HR	0.13275
CCDC134	-0.627
DENND4B	-1.4905
C14orf130	-0.2415
RAB33A	-2.2035
DCST2	0.0145
TNMD	1.4475
PEX7	1.119
FAM62A	-0.44475
SRD5A2L	-0.00575
IL22	-0.4275
RPS26	-1.20333333333333
HOXC5	0.27
SPATA6	1.33775
FLJ38482	0.346
ZNF234	1.131
C18orf22	0.43775
SPATA22	0.01875
THOC1	-0.08025
CYP7B1	3.50125
KCNC3	0.35325
C8orf42	-0.001
ALDH1B1	-1.1155
CCDC100	0.6677
ARMC4	-1.9715
FAM18B2	0.59175
SLC44A1	1.110375
FBXO17	-0.6835
C6orf107	-0.697
C19orf29	-0.239
ZC3HAV1L	-0.22475
PARP6	-0.0905
SULT2A1	-4.36925
C1orf159	-1.048
TMC1	0.20175
CHST14	0.287875
GAMT	-0.270666666666667
SMCP	-0.0171666666666667
TSPAN33	0.2575
MIDN	-0.80375
NOX4	0.09675
RNASEN	-0.5851
TBX1	0.332833333333333
SALL2	0.3485
C10orf35	0.64525
CYP2E1	0.221
LRFN2	-0.0346666666666667
ACO1	-0.698833333333333
IQCG	1.0733
MEGF9	2.51425
TM7SF4	0.47925
PLEKHA1	0.668666666666667
STK33	-2.2115
C1orf210	2.119
SNUPN	0.3376
KIAA0406	-1.0595
C20orf29	-0.2765
TMEM55B	-0.07475
OSTM1	-1.2874375
CLCN7	-0.641
OTP	-0.10275
FLJ23049	-1.11875
HEATR4	0.7325
MAP3K10	-0.336833333333333
PCDHGA9	-0.0615
AMDHD2	-0.62275
LCTL	-0.9905
PDCD2L	-1.14875
CABLES2	-1.0095
SLC5A9	-0.555
CLCA2	0.310333333333333
MGC16025	0.3385
STRAP	-0.883333333333333
C20orf196	0.072
RRBP1	-0.310833333333333
NAT13	-0.3745
MAT2B	1.221875
CSNK1D	-1.37616666666667
KIR3DL1	-0.32625
PRKAG3	0.3015
ZNF599	1.55
PRM3	-0.3345
PER2	1.74566666666667
ASPHD1	-2.2315
PRMT6	-0.50275
KCNE1L	-0.272428571428571
FAM118A	-1.1615
TAF4	-0.746
NDUFB6	-0.3245
TRIM9	-0.049
PMFBP1	-1.30925
KY	1.651
DKFZp762E1312	-4.37845454545455
CSMD1	-0.225
TBP	-0.2245
OR1Q1	0.226833333333333
RETNLB	0.042
HPGD	0.419714285714286
DNAJC12	1.23983333333333
FKBP1B	-0.76725
ANKRD24	-0.270333333333333
CXXC5	-0.0786666666666667
IL3	-0.165125
DRAM	1.4681
PTCH1	-0.474625
TP53BP1	-0.104
SLC17A7	0.345125
COL25A1	-0.7517
AMACR	0.105333333333333
RHCG	0.3815
VPS13A	0.0745833333333333
FAM55D	0.678
PRPF38B	-0.233166666666667
OSBPL6	-0.553
PFDN5	0.8477
CMTM6	1.43075
KCNK12	-2.2595
RP2	0.54475
C16orf52	-1.14975
PICK1	0.827
IFNE1	0.0823333333333333
SEMA4B	0.96525
TYRO3	-1.9055
OR12D2	0.115
CSNK1A1	0.38965
FANCF	1.31925
LONP2	0.4535
TBL1Y	-0.719
LDOC1L	0.533375
CCNC	0.73025
C3orf60	-0.062
CHKA	-0.48725
UBAP1	0.63075
MAP3K1	1.8455
ANKRD9	-1.669
FAM92A1	-0.9905
GAB2	0.379
AZU1	0.08125
DIS3	0.0769166666666667
C21orf109	-0.70425
IQCB1	-0.20075
SPATS2	-0.8045
EFCAB3	-0.69575
PRB3	-0.46075
FUZ	0.00833333333333333
ZNF813	0.686875
BMPER	-0.2415
HEG1	-0.0135
ALS2CR11	-0.5905
SURF2	-0.5925
PSMC1	-0.196416666666667
OR2D2	-0.0455
SLC7A8	2.02283333333333
C4orf40	0.3545
SPATA7	0.56475
MAZ	-1.33366666666667
PIN4	0.956
PDE1A	0.533375
TAF6L	-0.305333333333333
OR2T34	-0.0995
KIAA0284	0.3555
ACADS	0.971272727272727
MKRN2	-0.518
C18orf56	-3.2625
MS4A6E	0.104166666666667
GALNT4	0.9013
C22orf31	0.6485
FLJ36070	-0.438
PSME4	-0.568
TFG	-0.0588
EPHX2	2.114625
ANXA5	-0.213125
KRTAP1-1	-0.1181
BATF	2.9335
KARS	-0.6915
MSTP9	-0.2375
GPR26	-0.12475
CCDC72	-0.0575
TEF	1.60866666666667
FOXK1	-0.5667
PRLHR	-0.202
EMX1	-0.1335
C11orf30	0.282375
ICK	0.8375
THSD7B	0.77525
C21orf100	-1.0765
DUOX1	1.8435
EFCAB4B	-0.1835
UBE2G2	-1.36383333333333
C3orf54	0.99325
PARP1	-1.44475
FAM60A	-0.847333333333333
C6orf146	0.47775
OR9K2	0.6785
DDX55	-1.52616666666667
RPS15	0.0485833333333333
ZNF618	0.651625
DKFZp686D0972	0.87325
SSPO	0.143
SHFM3P1	0.872666666666667
CPA6	-0.1005
JAG2	1.4305
DEFA3	-0.0655
PPBPL2	0.0328333333333333
CD34	4.701625
SLCO4A1	-3.2905
AFG3L1	-1.10533333333333
SHD	-1.446
RP13-122B23.3	-0.833166666666667
PRKCSH	-0.304833333333333
DPH5	0.036
HLA-F	1.20975
TBC1D4	0.592
RIG	-0.126166666666667
GLUD1	1.02983333333333
HNRPCL1	0.82325
HBXIP	-0.5005
RNF207	-0.1685
