Hybridization REF	TCGA-A8-A07I-01A-11R-A00Z-07
SMCP	-0.2165
TSPAN33	0.655583333333333
MIDN	0.599625
NOX4	4.1145
RNASEN	-0.3424
TBX1	-1.629
SALL2	-0.697
C10orf35	1.3895
CYP2E1	-0.442125
LRFN2	1.92566666666667
ACO1	-0.875666666666667
IQCG	1.6429
MEGF9	1.79325
TM7SF4	2.64775
PLEKHA1	0.3064
STK33	-3.80625
C1orf210	1.92625
SNUPN	-0.1016
KIAA0406	-0.6099
C20orf29	-0.03075
TMEM55B	-0.464
OSTM1	-0.33075
CLCN7	-0.3415
OTP	0.2325
FLJ23049	-1.3655
HEATR4	1.4845
MAP3K10	0.7145
PCDHGA9	0.701
AMDHD2	0.11625
LCTL	-1.811
PDCD2L	-0.5905
CABLES2	0.00375
SLC5A9	-0.2855
CLCA2	-2.06783333333333
MGC16025	0.998
STRAP	-0.759833333333333
C20orf196	-0.307
RRBP1	0.712333333333333
NAT13	-0.47325
MAT2B	-0.039375
CSNK1D	-1.10333333333333
KIR3DL1	0.50275
PRKAG3	1.3665
ZNF599	0.6425
PRM3	0.6125
PER2	1.0395
ASPHD1	-2.912
PRMT6	-1.025
KCNE1L	-0.652714285714286
FAM118A	-0.758166666666667
TAF4	-0.44625
NDUFB6	0.033
TRIM9	-1.40691666666667
PMFBP1	-0.2665
KY	0.207
DKFZp762E1312	-1.21572727272727
CSMD1	-1.2905
TBP	-0.109333333333333
OR1Q1	0.131
RETNLB	0.2115
HPGD	-0.491166666666667
DNAJC12	-1.5305
FKBP1B	-1.63525
ANKRD24	-0.145833333333333
CXXC5	1.39433333333333
IL3	-0.221
DRAM	0.9818
PTCH1	-1.668
TP53BP1	0.37075
SLC17A7	0.144285714285714
COL25A1	-1.0699
AMACR	0.281
RHCG	1.12725
VPS13A	-1.03141666666667
FAM55D	0.413
PRPF38B	-1.02625
OSBPL6	0.71475
PFDN5	-0.1462
CMTM6	0.58925
KCNK12	-1.5365
RP2	-0.25825
C16orf52	-1.6085
PICK1	-1.001
IFNE1	-0.812666666666667
SEMA4B	0.557
TYRO3	-1.3665
OR12D2	0.138
CSNK1A1	0.8998
FANCF	1.00975
LONP2	1.186875
TBL1Y	-0.608
LDOC1L	-0.021375
CCNC	0.34675
C3orf60	-0.37275
CHKA	-1.8525
UBAP1	0.55975
MAP3K1	0.9615
ANKRD9	-0.93275
FAM92A1	-1.19516666666667
GAB2	-0.631625
AZU1	-0.0885
DIS3	0.07025
C21orf109	-1.49925
IQCB1	-0.662
SPATS2	0.213833333333333
EFCAB3	-0.4525
PRB3	0.323125
FUZ	-0.804333333333333
ZNF813	0.784
BMPER	-1.06266666666667
HEG1	0.26925
ALS2CR11	-2.18675
SURF2	0.051
PSMC1	0.372
OR2D2	0.4385
SLC7A8	3.00083333333333
C4orf40	0.384
SPATA7	0.1615
MAZ	-0.164583333333333
PIN4	0.93025
PDE1A	-1.53025
TAF6L	-0.303166666666667
OR2T34	0.697
KIAA0284	1.1925
ACADS	-1.34945454545455
MKRN2	-0.27
C18orf56	-1.73775
MS4A6E	0.690833333333333
GALNT4	0.2351
C22orf31	-0.328
FLJ36070	0.7975
PSME4	0.338
TFG	0.3825
EPHX2	-0.53575
ANXA5	0.514625
KRTAP1-1	-0.2937
BATF	2.16725
KARS	-0.6135
MSTP9	-0.949
GPR26	0.00924999999999999
CCDC72	-0.1285
TEF	-0.208833333333333
FOXK1	-0.4375
PRLHR	0.4775
EMX1	0.84625
C11orf30	0.821125
ICK	0.930125
THSD7B	-0.6085
C21orf100	-1.22
DUOX1	1.688
EFCAB4B	-0.767666666666667
UBE2G2	-0.879833333333333
C3orf54	0.43025
PARP1	-0.5415
FAM60A	-1.19583333333333
C6orf146	-0.0716666666666667
OR9K2	0.8195
DDX55	-1.10766666666667
RPS15	-0.562
ZNF618	0.683125
DKFZp686D0972	0.8995
SSPO	-0.536
SHFM3P1	0.573666666666667
CPA6	-0.01325
JAG2	0.442
DEFA3	0.41325
PPBPL2	0.244833333333333
CD34	4.0015
SLCO4A1	-2.54125
AFG3L1	-0.3885
SHD	-0.4365
RP13-122B23.3	-0.128166666666667
PRKCSH	-0.812166666666667
DPH5	-0.964333333333333
HLA-F	2.5585
TBC1D4	-0.74025
RIG	-0.2704
GLUD1	-0.0433333333333333
HNRPCL1	0.382
HBXIP	-1.17375
RNF207	-0.357
APIP	-0.886
PLA2G3	-3.301
CCDC84	-2.21575
MYLIP	0.854846153846154
PHIP	0.18175
AARS2	0.261333333333333
DHX32	-0.09
SCAPER	-0.180833333333333
MEN1	-0.115125
NIP7	-1.003
FLJ25404	0.0855
FASTKD3	-0.555
TMEM158	-2.03025
RARA	1.41825
BDH1	-0.0305
ANKRD16	-0.97875
CARM1	-0.4135
SS18	0.490166666666667
IKZF2	-0.02375
MYD88	1.162625
PML	0.81715
TAF1A	-0.84225
CBFB	-0.48075
HIST1H3H	0.333166666666667
C7orf29	-2.35375
COMMD4	-0.637
DPP3	0.3755
DAB2	0.63125
LOC388882	-0.3345
YPEL4	-0.7245
AGBL3	0.7385
LRP6	0.0186
SERPINH1	0.369583333333333
TLE1	-0.73175
CD244	0.333833333333333
ZDHHC15	-1.32475
MGLL	-0.6167
PLDN	-0.0210833333333333
LOC654346	2.0615
FAP	3.58475
GPR37	-0.780333333333333
SCARA5	-0.356
EBF4	1.79372727272727
LSM6	-0.70725
MLLT1	0.134875
SLC5A12	-0.6215
A2BP1	1.55616666666667
COPS5	0.285833333333333
TPM4	0.533071428571429
TNFSF4	2.984
ACADSB	-0.608055555555556
HERPUD1	1.35125
BCL2L11	-0.379444444444444
CEP78	-1.44075
CDCA3	-0.725
WBSCR19	-0.8432
MYO1A	-1.8565
PPEF1	3.62966666666667
LOC440348	-0.657
CPEB2	1.22975
BPTF	-0.15975
RPL21	-1.1095625
GSX2	-1.1215
ADPRH	1.66633333333333
C17orf68	-0.0921666666666667
KCNS1	-0.7765
MLLT6	1.4225
PIWIL4	0.18875
RNF26	-1.1985
RAP1B	0.07975
ADAMTS1	-3.2204
ZNF571	0.8655
P2RY6	0.716
TRIM21	1.70133333333333
CADM3	0.3605
NLRC5	1.45733333333333
ADRA2B	-0.1475
LOC90835	-1.385625
PCF11	-1.34125
LOC400451	1.59225
GLTSCR1	0.72
C17orf88	-1.04766666666667
CDH16	-1.6665
FGF7	0.77525
PCSK4	-0.392
NPC1L1	-0.255666666666667
TAT	0.219125
TBCA	-0.3755
MGC33407	0.04125
GPR115	-0.468
CYGB	0.3295
FNBP4	-1.48833333333333
C12orf43	0.30725
CBL	-0.8322
CLECL1	1.70725
PPAPDC1A	2.6965
WDR25	0.324166666666667
SGCA	-0.029
C22orf29	-0.0956666666666667
YIPF1	2.2385
GALK2	-0.5035
RAB3B	-1.38958333333333
LOC440087	-1.127
UCP1	-0.002
REEP5	2.347125
FADD	0.0291
FOXA1	3.766375
CACNA1A	0.3774
ABI1	0.1065
GRIN2D	0.8615
SLC1A4	0.6085
LOC401127	-0.54825
HINT2	-0.09475
PLD4	0.343
ZNF286A	-1.75875
ENY2	-0.57975
IL1F6	0.0165
PXDNL	2.167
C20orf79	0.20275
TNFSF13B	4.29816666666667
DENND3	-0.09175
JARID1D	-2.69925
HIST1H2AK	0.76
LOC93349	0.2435
SSH1	-0.9135
ENSA	0.85325
LOC219854	-0.4585
CKAP2	-1.4055
DKFZP564J102	0.3545
MGC87315	-0.202166666666667
HNRPAB	-0.84975
AMH	-0.719
ZNF526	0.565
BRUNOL5	0.0769
CACNG3	0.3715
TRPM1	-2.1185
PPP2R1A	0.6915
COL2A1	-1.1795
DDN	-0.2035
FLJ25770	1.98575
HK2	-0.589642857142857
ELOVL6	-1.969375
MDK	-1.04825
EPHX1	0.83375
RASSF2	0.574875
DKFZP434B0335	-0.667
DLX3	2.11975
PRTN3	-0.43425
AVPR1A	0.19725
C21orf125	-2.08525
TNFAIP8	-0.382
GNB2L1	-0.5885
CALCRL	3.09775
SCGB2A2	8.38183333333333
UBXD7	-0.29725
ZNF674	-0.185
TMEM35	-0.115125
BRSK2	-1.32625
HECTD3	0.314
TMEM188	-0.453916666666667
LGALS9	2.152375
SCARB2	1.36875
USP34	0.119666666666667
C17orf28	1.9025
ZDHHC23	0.21675
AQP12B	0.276
SLC16A3	-2.266375
APLP2	0.4905
ITIH2	-5.06825
MICAL3	-0.730875
TNNI3K	2.4557
HDAC2	-0.298125
PRR7	-0.8566
THBS2	1.176125
LOC751071	-0.666666666666667
CA2	-0.988166666666667
RANBP17	0.57925
RLN3	0.27425
CRYZ	-1.652
GBAS	-0.657333333333333
TAS1R1	-0.41025
MPZL3	0.126
PCDH8	-3.0075
HSP90B1	-0.07125
KCNK15	0.827
TNIP2	0.249833333333333
GPR146	-0.4125
NOL6	0.335125
SPC25	-1.96055555555556
STEAP2	0.601642857142857
VAMP3	0.579166666666667
TCIRG1	-0.548
ZP4	0.335833333333333
PARL	-0.215375
TRIM39	0.957666666666667
KIAA1305	0.5875
CRNN	0.054
GRN	0.51075
HSH2D	0.61975
SCAMP1	1.1706875
KIAA1913	1.81725
PTS	-0.52875
BANP	0.279642857142857
PRKACG	0.3
ADCY6	0.851333333333333
C16orf46	0.528
CYP51A1	-0.1945
DDC	-5.55575
ANPEP	-0.386166666666667
PROM1	-2.101
SIGLEC10	3.28275
COPG	0.7275
FAM26E	2.0365
TRIP4	0.5945
SNX3	0.274666666666667
C1orf175	0.329333333333333
PPY2	0.395
C14orf152	0.548
FTSJ1	-0.327166666666667
DST	0.2746
LOC554235	0.38925
GLRX5	-0.00375
C20orf12	0.8099
CAB39	0.167
MSH2	-1.33833333333333
PIP4K2C	1.564
CYLD	1.5295
WTAP	0.2671875
MGAT4A	2.376
TSC22D4	-0.9355
CHRM2	-1.9185
PPYR1	0.384
CCNH	-0.4905
RRM1	-0.30825
ECAT8	-3.51425
LOC400120	-0.6195
GABRA4	0.596571428571428
C14orf4	1.17116666666667
C1orf59	-0.155
CTDSPL	0.646666666666667
NHEDC2	-0.6395
PDE11A	1.05306666666667
KLHL29	-1.22625
CD5	-0.4668
TSPAN9	1.5335
WDR67	-0.8575
THUMPD1	-0.1319
C18orf17	-0.98575
CLYBL	0.320333333333333
FLJ13231	-0.8115
CMBL	0.7505
LECT2	0.24225
NKAPL	1.35716666666667
LOC654780	0.5005
OR4C6	-0.1195
RAB30	-0.201333333333333
TSSK4	-0.5745
TMEM163	-0.0575
OSBPL11	0.0689166666666667
GNB5	-0.972666666666667
CCL21	1.2015
C1orf121	0.505166666666667
FMO2	1.65316666666667
RPTN	1.008
MSTN	1.3
VCL	1.08771428571429
FYTTD1	0.083
C11orf1	-0.94025
CCDC88C	0.56925
HFE	-0.454111111111111
MOGAT1	-1.1905
FAM125B	0.161
IRGQ	0.5025
RAVER2	-1.21725
AKAP5	-0.0875
SSSCA1	0.01975
C11orf63	0.785375
ACTG2	0.5467
PORCN	-1.169
DTL	0.0755454545454546
TMEM151	0.547
FAM122C	-0.99675
RSAD2	5.0555
BAT4	-0.2685
KRTDAP	-0.9155
MYH8	0.662125
CRTC3	0.833
LRRFIP2	0.5814
INTS4	1.03333333333333
TTN	-1.3458
SLC26A5	0.7385
PLLP	-1.74
RGS6	-0.039125
SRGAP3	0.650875
ZNF525	0.532833333333333
NBR2	-1.25316666666667
C13orf1	-0.064
ZNF137	0.8755
CEP27	-1.00375
BEST2	0.48
RNF121	0.084
DMRTC2	1.82925
C8orf76	0.56125
BCCIP	-0.787875
MEST	-1.61475
HTRA2	-0.29
ANGPTL2	0.8295
ILKAP	0.201166666666667
ERAS	-0.016
HBS1L	-0.06125
CPA5	0.249
TMEM30A	0.865166666666667
CD300LF	2.98716666666667
WISP3	1.117
CRK	0.206785714285714
PDS5A	-0.3783
BRPF3	0.879666666666667
NEDD9	0.29625
SMPDL3B	0.52525
PSG6	-2.14475
PSMD13	0.72175
ETV5	-1.430875
OR51A4	0.4245
BTBD7	0.713833333333333
GSTO1	-0.711875
hCG_16001	-0.5155
MAD2L1BP	0.0778333333333333
COX6A2	1.108
SCNN1A	-1.7885
LSM1	0.5125
UGT2B11	-3.19075
IDUA	1.06025
PPP2R3C	-0.0608333333333333
COX11	-1.87016666666667
PDZK1	-1.78175
ZNF443	0.659166666666667
MGC21874	1.50633333333333
ZNF323	1.7496
KRTAP10-10	0.596
CXCL6	-0.693
SLC34A2	0.6749
LOC284402	0.38
NPTN	1.03083333333333
UPP1	-1.41841666666667
SLC6A9	0.6445
OR7G3	0.48975
CISD1	-1.454
ZNF545	0.610666666666667
SYT14	-0.8195
NT5C3L	-0.993666666666667
ZNHIT3	-0.176166666666667
SNRPD3	-1.101
KIAA0701	-0.0155
UNC93B1	0.0431666666666667
GMNN	-1.03475
SPCS2	1.23883333333333
LOC388524	-0.453
NAPRT1	0.881
PNLIPRP1	0.067
OR6V1	0.599
PRKAB1	-0.2815
EYA4	-3.6555
KIF20A	-0.75475
ALG10	-0.427
ITPKC	1.55016666666667
LMX1B	1.46466666666667
RPUSD4	-1.022
C7orf34	-0.365833333333333
DLGAP2	0.496
PFN1	-0.3517
MICALL2	-0.5065
ZNF654	-0.5615
SS18L1	-0.772875
SLC16A8	0.428
MKI67IP	-0.00933333333333333
ITGB3	-0.35625
TCEA3	2.35375
CEP152	-1.7678125
CLIP1	1.3705
ZNF75	0.4040625
ATP5C1	-1.00283333333333
NUDT5	-1.38783333333333
PSCDBP	1.16
UBP1	-0.182
RBM27	0.0755
C13orf15	2.0785
ZNF282	-0.324166666666667
ZNF222	1.0267
COL10A1	6.01425
PRDM15	-0.57
TTTY5	-0.316
FAM9C	-0.628090909090909
C20orf67	0.059
GNG13	-0.2215
F12	0.75375
C1orf41	-0.76225
CPXCR1	0.856
GSK3A	0.39175
SUPT6H	0.344666666666667
PI16	-0.169333333333333
ELL2	-0.700916666666667
C9orf167	-1.59983333333333
PVRL3	-2.0158
FLJ38596	1.026
ADAM20	0.19275
GPR89A	-0.789
GPR87	-0.433
ZNF30	0.84125
SMR3B	-0.10475
ZNF770	0.202125
TRPC4AP	-0.4535
DKFZP686E2158	0.256166666666667
C2orf28	-0.387666666666667
FREM1	-1.806
LAMA4	0.8135
ADPRHL2	0.43625
EIF4G2	0.871
GUCA1A	0.345
CTNNA2	-1.422625
NUDT15	-1.937
CEPT1	-0.766166666666667
ZNFX1	1.7241
CCDC92	0.82575
TDRD1	-0.817
KCNK5	-2.76616666666667
ETNK1	-0.0494166666666667
LTA	0.7675
TTPA	0.185
B3GALNT2	0.207375
SC65	-0.152333333333333
PEX5L	-1.486375
EPS15L1	0.6915
MGEA5	0.241875
HIST1H3A	0.61525
ING1	0.850125
BCAT1	-2.11625
ORC6L	-2.22981818181818
KLK11	-4.83916666666667
C19orf28	-0.75975
DNER	-3.631125
MED22	-0.583642857142857
ETV6	1.0585
CHAC2	-1.214
CD300E	0.253
CEBPB	0.00875000000000001
ZNF398	-0.73225
LRCH3	0.2415
HMGA1	-0.606833333333333
CAPN7	0.166166666666667
MGC5566	-2.48725
CCL3	3.495125
NANOS1	0.271375
ZFYVE19	0.211
APITD1	-0.00516666666666666
PARD3	1.545125
IRAK4	-0.339333333333333
SERPINI2	0.027
CEP170L	-0.74825
TTC9	3.0365
MYOM3	-1.32425
MLPH	2.279875
LOC222699	1.603
NRG1	-0.879583333333333
TBC1D9	2.50681818181818
TTK	-1.23266666666667
ZNF557	1.0442
DDX41	0.372833333333333
FANK1	0.8585
UBE2D2	0.155875
PSMB10	0.807125
MYH7B	0.236
GABARAPL2	0.300625
MARVELD2	2.24566666666667
DGCR2	0.296833333333333
UNC45A	0.514666666666667
C6orf72	0.2995
ZNF683	4.14675
GIT2	0.11525
CASK	1.00833333333333
C14orf161	5.38583333333333
LRRC44	-1.4935
TIFA	-0.222625
UTP11L	-0.767125
C6orf65	-0.713
FDPS	-0.31725
DUSP9	-1.65
SLC17A8	0.289333333333333
OR51G1	0.3
NANS	0.29725
OLFML1	1.74925
ATP10B	-1.22375
NPAS3	-1.128
PRKCA	-2.7584
GGA2	-0.392875
LCE4A	0.5895
SPANXN3	0.47825
CCDC115	1.455125
SDCCAG3	-0.807
GLIPR1L1	0.23625
TTC1	0.30575
C17orf76	0.0565
MAD2L2	-0.86075
HIPK1	-0.5047
LRRC3B	-0.416
CLN3	-0.233318181818182
C17orf47	0.0385
FMN2	-2.6625
TUBB1	-0.939142857142857
WAPAL	0.223166666666667
C3orf21	-0.439125
SCN5A	-1.1551
SMYD1	0.24275
BEX5	1.286
ZNF192	0.1695
SEC22A	0.03
GRIA2	-0.00130769230769231
KIAA0825	-1.7475
NUSAP1	-1.00163636363636
LANCL1	-0.38775
C15orf40	-1.0335
ZNF645	0.01125
GPR61	0.10175
NLRP14	-0.0335
SNX21	-0.177
C1QTNF8	0.525
C17orf46	0.00425
IFNA8	0.89
SPRR1B	-1.56483333333333
FLRT1	-0.84125
SNX17	0.0538333333333333
ASB2	-0.543666666666667
HBG1	-4.953
RPRML	-2.32975
JOSD2	-0.218833333333333
PLSCR3	0.04975
SPOCD1	0.629666666666667
RAB39	0.468
GHRH	-0.324166666666667
ITIH5L	1.068
C17orf37	2.373
SMCR8	0.37075
DPY19L2P3	-0.893166666666667
IL11RA	-0.00766666666666667
GDF3	-3.231
RPS6KB1	0.349416666666667
DNAJC19	-0.2773
TOP1	-0.2475
CRCT1	0.0958750000000001
MPST	-0.343375
DPM2	0.2565
FAM38B	-2.12883333333333
SLC18A1	-2.18616666666667
FARP1	1.21633333333333
PAX7	0.15325
TUBD1	0.19475
GNL3	-0.469125
BTG2	2.652
NDUFS6	-0.29325
C1orf79	-1.07775
ERAL1	-0.1055
ECHS1	-0.055
VPS4A	0.142833333333333
CYP11A1	-0.07525
ABCC6	-1.99607142857143
PBX4	-2.429
MOSC1	0.47575
NCF4	1.121
HYMAI	-0.155
NAGPA	-0.63325
OTOP2	0.56275
ACOT12	-0.10325
MTHFD2L	-0.1775
LOC441376	4.85775
C19orf34	0.093
RAB1B	0.63975
ALDOAP2	-0.6255
NTRK1	-1.58966666666667
ARTS-1	-0.3074
SLC6A11	-0.7455
NAP1L2	1.3695
CNGB1	0.267833333333333
EPB41L4B	1.6745
FAM134B	1.95125
HS3ST3A1	-0.596
CPXM2	4.74175
SIRPB2	0.669
CHORDC1	-1.42166666666667
TRIB3	0.6745
SLC2A5	1.078
C2orf49	-0.692
DDX5	0.29175
OR5L1	1.2215
ANAPC4	-0.5295
ZSWIM1	0.297625
LOC93622	0.30325
KCNK3	-0.5289
RP11-35N6.1	-1.838625
ZFP161	-0.0925
AQP9	5.10825
SLC15A2	-0.563833333333333
MREG	0.161166666666667
OR9I1	0.5385
PDLIM2	0.47875
ADAM7	0.559
GSTCD	0.106666666666667
WDR21A	0.13675
SLC12A8	1.3145
TMEM174	0.00625000000000001
IGSF3	0.167083333333333
LRRN1	0.2095
LOC402117	-0.665
SRPK1	-0.449
LY6K	-2.3583125
NFIA	2.044
PTCD3	-0.698125
LEP	2.265
PCDH21	-1.0805
MAPKAPK2	1.91378571428571
NMNAT1	-0.511166666666667
LHFPL2	1.470625
C9orf43	-0.69625
DIP2A	-0.296333333333333
ACTR8	0.0055
CCDC34	-1.7105
PTPN22	-0.394875
ITGA3	1.88675
FAM129C	0.71425
RABGGTA	0.673166666666667
UNC45B	-0.13125
KIAA1033	0.661875
ZNF510	0.0611666666666667
CYP2D6	-0.683166666666667
SLC26A10	-1.8795
STX8	0.1385
LUZP1	0.409625
WDR89	-0.2775
EIF4G3	-0.2072
C5AR1	1.723875
ZNF623	0.443
A2M	0.6455
TGM7	0.4875
GRPEL1	-0.5575
LMNB2	-0.9347
ROCK2	0.493666666666667
SNX16	0.701125
CCDC66	-0.68975
ANXA3	2.35875
KIAA1609	0.805625
EED	-1.0085
RNF32	0.500833333333333
HES1	1.5295
CLC	0.99
ISL1	-0.782333333333333
KIAA0528	-0.2935
MANEA	0.39
C1orf61	-1.5515
hCG_2001000	-0.45625
RAPGEF6	-0.5225
KIAA0020	-0.7095
NEIL1	0.4505
C16orf45	-1.322625
RBM10	-0.172
C10orf125	-1.385125
MRS2L	-0.18925
DNAH17	-1.62775
C19orf10	-0.53125
C1orf160	-0.169
SLFN12	0.58425
EXOC3	0.0195
HIST3H3	1.58
NCOR2	0.2395
TNFRSF9	0.76225
MFSD8	0.342
ALX1	-3.177
NOL1	-0.7485
PODN	3.2455
TIAL1	-0.904
HIST1H1E	0.95625
NPY6R	0.54975
TM4SF4	1.7635
CORO2A	-0.6265
ETNK2	2.316
APOE	1.1403
ANGPT4	-0.022
HDGF2	-0.3805
G30	4.524
ST8SIA4	-0.13075
F2RL1	-0.11125
FAM19A4	-4.319
CCAR1	-0.01675
B3GNT7	0.13725
OPHN1	-0.6119
DSCR6	0.1685
C21orf13	1.05083333333333
GAS2L1	0.289916666666667
RFX3	-0.8785
COPS4	0.075375
BCHE	-5.55616666666667
BCL2	2.404625
HBZ	-2.85033333333333
ARL13B	0.12975
MAPBPIP	0.101
MYO15B	-0.147
SPZ1	0.738
KIAA1324	1.997
PLCL2	-0.2935
C4orf29	-0.88725
WDFY2	-0.64325
ZNF284	0.281
NAALADL1	0.4025
DUSP5	1.1075
PXDN	0.4155
SLMO1	-0.49
TNXB	0.3488
BIRC7	-0.52825
A4GALT	0.676666666666667
TIMM22	0.11925
FAM110C	1.669
TOMM34	-0.61025
ABHD9	0.457
ADAM32	2.698
CRHBP	0.19
AQP2	0.534625
LOC130355	1.13925
ZNF187	0.793333333333333
ZNF816A	1.2765
F7	1.373125
CNOT1	0.3732
SLC13A4	-0.87725
ZBTB11	0.07625
B3GALT5	-0.262
EXOC2	2.56233333333333
IRS1	0.6467
TMEM1	0.0186666666666667
MRPL34	-0.612166666666667
SAMM50	-0.67525
CDC42EP3	-0.7345
HSF2	-0.6242
MFN2	0.1015
TSPAN7	-2.24883333333333
NUCB1	0.51925
RHOH	-0.34125
ARL16	-0.1495
TACR1	0.15875
SFRS5	-0.369333333333333
SNX25	0.584
RHBDF1	0.912666666666667
PCDH18	1.68183333333333
HMG1L1	-0.0105
MYO5C	1.346625
MAPK10	-1.855
LDHAL6A	-0.0746
NUDT12	0.351
NCAM1	-0.36475
GLIS2	0.6655
GGTL4	-0.34175
DAPP1	0.51225
ATF7	0.29125
KIAA0748	-1.02225
NFIL3	0.28475
TM6SF1	0.8383
SEZ6	0.16775
NANOS3	-0.0565
DNAJA3	-0.289833333333333
CLDN6	-1.975
CIITA	2.4707
EPHA4	-1.87425
FANCC	0.25375
CMTM3	0.742375
PSG3	-1.46942857142857
MRPL15	-0.23625
C21orf59	-1.14
PLCXD2	-1.10975
C2orf34	-0.258
UBE2L6	2.036125
MED14	-0.296333333333333
HP1BP3	-0.4496
C6orf208	0.193
TPBG	0.74625
OSR2	-0.241125
XPC	0.0215
KLHL7	-1.29275
CCR3	-0.349833333333333
AGTPBP1	-0.783
PCSK6	0.785266666666667
STAT5A	-1.1899
FAM18B	-0.1145
LONRF2	-1.4905
PTPN2	-0.45
SF3A3	-0.758
EFCBP2	-0.458
HCFC1	-0.343166666666667
AHNAK	1.748
ACTR5	-0.4395
KIF14	-0.403142857142857
TENC1	0.63475
HEATR5B	0.624
YIPF2	0.497166666666667
MYEOV2	-0.00466666666666667
DUSP18	0.93725
KIAA1012	0.3145
AHR	-0.269333333333333
C17orf53	-1.575
PTPRH	-3.7915
ATP6V1C1	0.2367
TAS2R3	0.2865
LOC440356	-1.569
COQ10B	0.86625
PSMF1	0.399833333333333
SORBS2	0.5135
NFE2L2	-0.08475
TMCO7	-0.14075
SH3PXD2A	-0.1225
SH2D2A	-0.53125
SPINK5	-3.6795
MRPS24	-0.8435
OPA3	0.405125
TRAF7	-0.381
C4orf35	-0.594833333333333
MT1G	1.2695
MGC39545	0.9145
HS1BP3	0.617222222222222
OR2B2	0.46
CHRM4	0.3435
SFRP2	3.89491666666667
RIC3	1.85075
ART1	-0.0135
C6orf1	0.65175
DUS4L	-1.756
C10orf104	0.03
TNFAIP6	3.31225
RTEL1	-1.40175
CCT4	-0.4969
ZNF709	-0.1075
CHMP6	0.167
UPP2	0.31175
CYP19A1	-1.84942857142857
CD151	-0.426333333333333
NDUFA13	-0.347166666666667
ARFRP1	-0.82
FAM26B	1.64475
CRYBA1	-2.608
MRPL41	0.3765
NPFFR2	-1.75485714285714
HRH2	0.256
SCAMP3	0.355166666666667
MTMR6	1.317
MTG1	-1.62066666666667
UBTD1	1.435
CRABP1	-2.5555
FLJ33790	0.7559
KIAA1908	-0.192166666666667
GPR158	-2.7645
PACSIN3	-1.124
OMD	3.34116666666667
CATSPER1	-0.365833333333333
HOXB8	-0.790625
FBXO46	1.0165
OAS1	2.99416666666667
SVIL	-0.37725
PHB2	-1.04575
ADCY3	-1.566
NDRG2	-0.988
ERMAP	1.31
APBA2	-0.347166666666667
IGSF9	3.339
WNT6	-0.504428571428571
MYCBPAP	3.7345
ATP2B2	-0.1039
CPVL	-0.808
TRAM2	-0.651416666666667
NOP5/NOP58	-0.8185
ZNRF4	0.38325
TLK1	0.055375
MTMR12	0.246357142857143
ZNF384	-0.433333333333333
FAM9B	-2.97675
RPN1	0.5605
PMVK	1.39375
EIF3D	-0.4485
SIX2	0.12425
HPS1	0.468
RNF7	0.0265
PSKH2	0.487
KCTD13	0.125333333333333
CSMD3	-1.4572
FBF1	-0.0745
IL8	-3.58075
SERPINB13	0.532090909090909
FBXL20	1.5655
BLR1	0.4105
SH2B1	-0.907166666666667
RFNG	-0.68725
RAB20	1.91666666666667
RBM7	-0.5845
POLR1A	-0.336333333333333
TMPRSS4	-2.961
TAF9	-0.8305
TERF2	0.151666666666667
TNFRSF1A	0.485333333333333
ACADVL	-0.97
GTF2H5	0.01675
EDG8	-1.053
C9orf140	-0.5065
UST6	0.4025
ZBTB8OS	-0.928
ZNF710	0.232
GPR174	-1.6585
ATP6V0A2	-0.47675
KIAA0319L	0.706083333333333
XKRX	0.1845
DOPEY2	1.4729
SDHD	-0.819166666666666
SUMF1	1.05725
OSM	2.07575
OPN3	-1.51825
DAGLB	-0.120166666666667
PPFIBP1	0.8985
TRIM63	-4.07475
C10orf53	0.252
LYPD3	-0.7375
BCL7A	0.177875
AGER	-1.038
TCF19	-0.03875
SAT2	-0.2185
PFTK1	0.317666666666667
GABRE	-3.1435
C15orf38	0.4701
FIS1	-0.563
KCNV2	-0.24525
CLPS	1.37925
PPCDC	-0.33075
FOXN2	-0.177
NT5E	-1.9357
CD83	1.119
IL18	0.371125
VPS16	0.69825
IGFBP2	-0.595333333333333
NOTCH2	0.096
SIGLEC1	3.74075
CD93	5.058
SULF2	-0.4655
CEP164	-0.32725
P53AIP1	0.0123333333333333
TOR2A	-0.155
ZNF136	0.62125
MGP	2.0091
CCDC144A	-0.2865
TRPC1	-1.27866666666667
SMS	-1.37583333333333
MAPK7	-0.576166666666667
RRAGC	0.9205
PARD6A	1.14016666666667
NUB1	0.486666666666667
SYNGR4	0.22075
OR11H12	0.4065
WIF1	0.804857142857143
GCH1	0.54975
OR11H4	0.7195
SLC44A5	0.184
GPRIN2	0.0601666666666667
LOC401431	-1.62066666666667
CPA4	-2.6976
MELK	-0.761
IL15RA	0.8495
CUL3	1.188875
HMBOX1	0.232
PODXL	-1.94275
CCT6B	-0.203333333333333
COMTD1	-1.1875
MUC20	0.456
GPX2	-2.84825
ITK	-0.9555
FBXL5	1.631
C13orf27	-0.4465
DEFA5	1.0465
TRHDE	-1.567
MTP18	-0.928
UQCRQ	-0.2389
ITGB2	1.73391666666667
CSRP2BP	0.243
TAS2R44	0.3815
PHPT1	-0.262125
FAM44C	-0.2255
ERH	0.01475
MPHOSPH1	-0.957333333333333
MORC1	0.091
PARVB	-1.0605
