Hybridization REF	TCGA-AN-A03Y-01A-21R-A00Z-07
SLAMF6	1.08825
ELK4	0.6205
TRIM47	-1.09783333333333
ACOX3	1.053375
TRIM6	0.31125
KIAA0372	0.312166666666667
TP53AP1	-0.1445
SMURF2	0.28525
ADAD1	-0.12275
EBP	-0.4473
KRTAP13-2	0.514
FLJ36874	-0.458166666666667
TOR1A	-0.221833333333333
P2RY4	0.0845
GPBP1	1.03075
TRPV1	0.84825
ADAMTS12	-0.256333333333333
PES1	0.1825
ATG4A	0.7885
MAGEA10	-5.10675
WFS1	1.77675
CC2D1B	-0.690666666666667
PABPN1	-0.428375
SLC25A30	-0.1235
SLCO1C1	-0.2755
SLC22A5	1.89625
KIF23	-0.927
SYN2	-0.836166666666667
ASPN	7.95116666666667
CENTG2	1.12125
QSOX2	-1.1755
FLJ10815	0.4645
STK24	1.3115625
SPEG	-0.0459
STK10	-0.313333333333333
DACT2	-3.1085
AAAS	-0.952
SSX3	-1.798875
ABCD3	0.7552
C4orf12	-0.465625
PARVG	0.817833333333333
FIG4	0.9155
C9orf46	0.993
TMCO6	-0.5875
IGHMBP2	1.96675
DUS2L	-0.920166666666667
FAM3C	0.331125
TMEM16D	-3.0505
DCTN4	1.33675
KCNH3	1.13375
EIF2AK2	1.1365
AP1S3	-0.702625
CST4	2.259
PAM	-0.413125
NUTF2	0.036
CITED2	1.3902
SLC39A4	1.28575
C2orf52	-0.799
GRM3	-0.31775
C12orf49	0.997375
CCDC49	0.3555
GRAMD1B	-1.80625
FNDC4	-0.32175
SIAH2	1.268875
GDPD4	0.09925
C21orf87	0.42775
ATP5A1	0.442333333333333
C16orf63	0.335625
LOC388135	-1.263
ATP5J2	-0.709625
MMP3	-1.553
EMID2	-0.2945
CRHR1	0.10625
WDR70	-0.2355
C13orf31	1.4415
ZFAND1	2.223
CCL18	3.58666666666667
C3orf49	-0.012
RINT1	-0.1625
KIAA0408	-2.33233333333333
F13A1	4.4613
SLC10A1	-0.2505
OGN	-0.38575
GIPC2	-1.81333333333333
XPO6	-0.252833333333333
LCE1A	0.6965
FMR1	0.889
LOC374920	-0.47325
DUSP3	0.00724999999999998
ANKMY1	0.5095
C7orf50	0.1165
BBS9	-0.5944
UNC119B	0.515125
C9orf72	-0.441125
MGC35440	0.418
ENTPD6	0.00112500000000001
PPP1R2P9	0.28
ERCC4	0.3255
FAHD2B	-1.0845
HMHA1	0.177
HACL1	-0.1205
RAD23A	0.117
FAM83B	-2.737
PPP5C	-0.479
RNASEH2C	0.106625
C9orf153	-1.00175
SCAMP4	0.65025
GHITM	0.7419
NDUFB7	-0.029125
ADCYAP1	0.724833333333333
SP110	1.167
MAP3K7IP2	1.00425
DHH	-0.0145
AGRN	0.0562857142857143
WDR33	-0.0715
CEP290	0.0296666666666667
PRPS1L1	-0.938166666666667
KLRA1	1.0085
GPR97	-0.2185
CHD7	0.422916666666667
TLR10	1.46525
SLC30A8	-1.284
HIC1	0.847833333333333
IAPP	-0.182
RXFP4	-0.3495
GP1BB	-0.68
SHQ1	1.6395
NKX2-3	0.294833333333333
API5	0.24725
FTHP1	-0.3705
MOV10L1	0.9785
TRIM6-TRIM34	1.1125
ADHFE1	2.4295
FAM117A	-0.819
DDI1	0.823
CDON	-1.8145
TRIM73	-0.341
IGKC	4.145
MMP14	-1.324
DYNC1LI1	-2.33725
C11orf66	0.1235
TRBV3-1	-0.85925
FASTKD5	0.3785
BIVM	-0.5365
LHX4	-0.05425
CXCL2	-2.3453
RAB2B	-0.660166666666667
IZUMO1	-0.87175
MAP3K15	-2.709125
FAM19A2	3.12
ZC3H8	-0.361666666666667
ZMAT1	1.54325
SPINK5L3	-1.54075
SLC10A6	0.378
APPL2	0.461375
CARD10	-1.22883333333333
LOC402176	-0.29675
EEF1D	2.1327
RAB6A	2.7106
C12orf5	-0.646375
PAPOLG	-0.07775
MSRB2	0.1035
BCR	0.761722222222222
PUS3	-0.7885
TIAM2	-0.05575
ZNF317	1.00983333333333
CHD2	0.116785714285714
FZD5	-3.88322727272727
NUDT8	-2.61425
ZNF763	0.284
PRC1	-0.959888888888889
ABCB9	0.6435
SPATA3	-0.139
TRAK2	0.39525
STAB1	2.712625
LRRTM2	0.265166666666667
psiTPTE22	-0.34225
DBI	0.8005
SERPINA11	-1.3345
NAT5	0.4665
C20orf58	-2.749
RPS6KA4	-0.809333333333333
FLJ90650	0.91775
TGFBRAP1	0.13325
CHRDL2	-0.7515
FAHD2A	-1.58216666666667
CNTN1	0.44575
BBS4	-0.2693
TMEM181	0.7995
MINPP1	0.3195
MPHOSPH6	-0.0155
HOXC10	2.0335
ITPKB	0.758875
CLPTM1L	0.6765
MEOX2	0.0876666666666667
ATP6V0C	0.278375
PRPF8	-0.391333333333333
TMC5	0.62875
FKBP3	-1.333
PLEKHB2	-0.259
OR4D6	-0.108
ZNF544	-0.5717
D2HGDH	-0.716875
RPL18A	-0.4461
HEL308	-0.665875
MPP6	-2.69175
TCERG1	0.25375
KRT16	-2.89333333333333
KLF17	-1.25075
KLF5	-0.544875
CDR1	1.18975
VCX3A	-4.498
FBLN2	1.849375
C14orf104	0.0055
HBE1	-4.6775
OR4S2	0.4915
C1orf108	0.3165
ROBO4	3.41016666666667
CPEB4	1.530625
C11orf80	-0.113666666666667
BCKDHA	0.773166666666667
MYOC	0.83275
GIF	0.607
CKMT1A	1.886
RPL3	0.3524
THBS1	1.758625
APOO	-1.26525
ARMCX1	0.3745
HSZFP36	0.8785
SNAPC5	-0.0695
EIF4ENIF1	0.574
ZNF433	0.06675
TNFRSF21	0.918375
TMPRSS7	0.135
SPATA18	1.6473
HPDL	-2.4405
MKL2	1.4021
TBX3	2.51546153846154
C21orf93	-0.0593333333333333
DAXX	0.05725
ELMO1	-0.16825
RGS13	2.03616666666667
TAF11	0.25325
UNC13A	-1.826
LOC653314	-0.2046
ORC3L	0.34725
IMAA	-1.489
TARBP2	-0.47725
CABIN1	0.032
TRIOBP	0.249
HIST1H2AC	-1.1695
RGS22	-0.6695
NCOA1	0.0648333333333333
IL25	0.705
SNCG	1.0675
GPR6	1.035
AMDHD1	-1.3005
CHEK2	-0.079875
C6orf142	2.33575
DRD4	-0.30125
C14orf68	-1.407
GDF11	-2.29225
SEMG2	-0.0169999999999999
CD247	-0.63875
CDAN1	0.0265
RBMX2	0.657833333333333
TGS1	1.98275
OIT3	-0.488
SYF2	0.064
MCM4	-1.784
PKHD1L1	0.297714285714286
CEP192	-0.189
IFT88	2.43075
RPL9	0.134714285714286
RAB32	0.02075
DDX43	-3.28425
P2RX2	0.209333333333333
OR5D18	0.5935
UBE1	-0.34375
SLC24A1	0.90775
ARHGAP5	0.78575
CETP	-1.11775
KIAA1731	-0.455833333333333
SLC9A4	0.6275
PTPN6	1.18575
BAHD1	0.6755
GRIK3	3.2325
CACNB2	-0.7048
PDE10A	-0.59475
DGCR14	-0.166
PCDHB9	-0.150666666666667
RHOQ	0.2355
MAP3K4	0.648
KTI12	0.0548333333333333
RPL23AP13	-1.312
GNG11	-1.6445
CLCN3	0.0686666666666666
GPAM	-0.7875
VSTM2A	2.2755
SLAMF7	2.208
INTS2	-1.61275
PPP2CA	0.6716
LRP12	-0.0876666666666667
SEC14L2	1.07366666666667
DKFZP586H2123	1.71175
MC3R	0.629
CIRH1A	-1.17233333333333
HIST1H2AB	-1.57683333333333
POLH	0.000875000000000015
MGC16703	-2.3765
SNAPC2	-0.1955
FILIP1L	1.00125
RASGRP4	0.589
LRRC1	2.614
GAS1	-0.77225
PRAC	-0.6875
DGKA	-0.918333333333333
NT5C3	-0.77625
PEG3	1.954
NADK	-0.5975
PRR17	-2.04
LOC374569	-0.35425
SGSH	-0.118333333333333
NLRP8	1.007
GALT	-0.8326
MCF2	-1.611
ZNF263	1.7175
TACSTD1	-0.0176666666666667
TYR	-6.7333
ATP6AP2	0.92225
RNUXA	0.1945
ABHD10	0.00610000000000003
GDPD2	-2.165
SLC35C1	-1.241
UBE2A	0.839375
HERC5	-1.18533333333333
FAM112B	-4.65466666666667
FBXL16	-2.00125
DKFZP434A0131	-0.19025
ELA3A	-3.2405
RBM41	0.035
HAO2	-0.512
RNH1	0.209
SHANK2	0.8435
OSBP2	-1.038875
DAK	-1.25133333333333
C3orf58	-0.592083333333333
TCL1B	4.416
KBTBD2	-0.037625
SUGT1L1	1.4945
UBE2E2	2.03383333333333
MYL9	1.651125
CDC23	0.00416666666666665
PBXIP1	0.7264
CXorf40B	0.139
NBL1	0.43075
RTBDN	-0.088
RAB11FIP5	-0.03625
TTTY13	-1.098
SCOTIN	-0.127333333333333
SOHLH1	-1.25633333333333
CDKN1A	0.528142857142857
NCK1	0.21025
ZNF550	0.00825
SAPS3	0.606
SPIN3	1.1865
MAGEE2	-0.342
MIS12	-0.178333333333333
OR8H2	0.834
KIAA0774	-0.138
UNC5D	-2.315
CUL7	-0.943
LIPC	-3.391
DIO1	0.28475
C20orf11	0.9364
CTRL	-1.2755
HS3ST2	3.22575
PAK4	0.589666666666667
CCRL1	2.8425
RNF10	0.952
ZNF567	0.08175
ZNF660	-1.132
TCEAL3	1.67775
MAGOH	-2.5665
CENPB	-0.669
C19orf7	0.278375
LOC388965	-0.061
ZCCHC13	0.7525
JMJD1A	-1.1327
HIST1H4H	-1.901
TBRG1	-0.103
GPC3	-3.276375
TAF1C	-0.660125
EBNA1BP2	-0.616833333333333
CIAPIN1	-0.568
PDGFRA	-1.33055555555556
CSTB	-0.901125
CENPI	-0.957833333333333
GTF2E2	-0.978833333333333
RPP21	-0.501
CCNF	0.282
KCNQ3	0.2485
FAM79A	0.74575
SLC22A12	0.0515
NOVA1	-1.22116666666667
FZD3	0.3799
AKAP8	0.08725
SOCS5	-0.188875
CFDP1	-0.45775
DLG5	0.66775
PGM5	0.01575
C1orf144	0.03575
HDAC10	-0.2825
RND2	0.2555
C20orf199	-0.8625
RNMT	0.481875
SLURP1	0.80675
ASTN1	-0.760142857142857
SH3BGR	2.7465
MYCL1	1.652
ZHX1	1.58866666666667
CENPK	-0.93775
FOSB	-1.1285
LOC643406	-0.22775
C2orf59	-1.51575
TMEM135	-0.215375
SLC27A2	-0.42025
KRT33A	0.6935
OVOL1	1.737
PAMCI	-3.8225
S100A7	-1.01
ZNF789	-1.4535
HARS2	0.5915
RPL23A	-1.14983333333333
TCF23	0.07625
UPF3B	-1.366625
C17orf78	-0.5075
HLA-DOB	0.332166666666667
C14orf142	0.331666666666667
TEKT5	0.782166666666667
DMWD	0.197
POLD1	-1.39766666666667
GSCL	0.418
CALD1	-0.3739
SCRT1	-0.468666666666667
AIG1	3.46875
UNC84B	0.762
ZNF404	-2.86975
TMED6	-4.159
KIAA1462	0.634
LRRC27	2.26366666666667
PYGO1	-0.2325
PIGU	-0.549
ALAS2	-3.73116666666667
WRNIP1	0.811375
CNNM3	-0.191
ZNF2	0.2955
ST3GAL5	-1.41441666666667
MRPL23	0.35325
TSSK6	0.568
PSMA6	-0.393
C16orf70	-0.6535
KIAA1602	-0.421
ALMS1	0.0746666666666667
DCN	1.88275
TMEM132D	-1.42825
SUCLG2	1.65925
ABHD14A	-0.09875
DEXI	0.746666666666667
AMPD2	-1.0745
IFNAR2	-0.189
CYB5A	3.7761
TLOC1	0.8677
NXF5	-0.769666666666667
NRBF2	0.220125
KCTD3	2.105
ITGAE	-0.305833333333333
SLC30A3	-2.54616666666667
ZRF1	-0.9925
IFRD2	-0.1895
XAB1	-0.9335
PYCR2	0.639333333333333
SERPINB3	-4.095
TMLHE	-0.5572
GEFT	-1.719875
ABCA5	-1.340875
EMR4	0.449
TSFM	-0.125
HIST3H2BB	-2.23975
ARHGEF19	0.90625
TSPAN17	0.532166666666667
ABCC8	4.548
MAP1S	-0.00533333333333333
C22orf36	1.33
BNC2	-0.164071428571429
HIST1H4A	-1.645
NDUFS3	-0.432
WDR3	-0.951166666666667
XKR4	-1.51725
TTC33	0.456142857142857
STMN2	4.16375
CPN2	-1.312
HSPC105	1.715125
PCOLCE2	-4.12125
C3orf55	0.655
KLHDC9	2.68616666666667
TBC1D23	0.56125
ATXN2L	-0.674166666666667
MAP2K3	0.187416666666667
SCAP	0.42475
ZNF486	-0.109166666666667
C20orf96	0.38625
NARS	0.90525
ADAMTSL1	-1.2835
PRCC	1.069
CCDC126	-0.0195833333333333
ZNF675	-0.0215
CALCOCO1	0.721
ANKRD43	3.30625
CWF19L2	-0.4605
ZBTB32	1.722
BRAF	0.34975
ODF4	0.661
MGC14376	0.352333333333333
HORMAD1	-2.5198
AAK1	-0.0875
PEBP1	1.13441666666667
TNFSF5IP1	0.782666666666667
DKFZp564N2472	0.728
RMND1	1.578875
IGKV1-5	4.4145
COL1A2	1.77016666666667
SERPINA5	0.746125
AANAT	0.3045
C19orf21	0.7185
GEMIN5	0.831
UBR4	-0.3265
LTBP3	0.192833333333333
AMHR2	-0.116833333333333
PROCR	-3.386
MYBBP1A	0.43875
C20orf39	0.8965
ZNF697	-1.725625
PASK	-0.0602
ZNF776	0.640333333333333
RFXDC2	-0.06175
KIAA0467	-0.2715
C10orf96	-1.53975
ZNF503	0.01275
GULP1	-2.16883333333333
KCNE4	-1.82816666666667
DKFZp434K191	-1.331125
LOC196913	0.4155
BHLHB4	-0.164
CH25H	-0.45575
LOC81691	-0.628666666666667
ALPL	-0.0651428571428571
COL12A1	2.971625
FOLR3	-2.87816666666667
GPR123	-0.0675714285714286
TRIM62	0.150285714285714
ABLIM1	0.897166666666667
MAST3	-0.44975
RHBDD1	1.24583333333333
LOC338809	0.4285
RYBP	0.7265
TTC26	-0.36925
ZNF22	1.2835
ISCA2	-0.163
RDM1	-2.02725
PIGM	0.67075
GNB3	-2.0925
ACTR2	-0.5209
HMGB1	0.50745
EDG1	2.3295
SOAT2	-1.87125
OR10AD1	-0.00600000000000001
RAP1GDS1	0.42625
LCE1F	0.3595
ESM1	-0.949125
RCN3	0.89775
CREBL1	0.02975
DBNL	0.0425
PTGER3	1.47375
USP30	0.6355
BCL2L12	-0.995166666666667
KIF26B	2.23075
ZNF416	0.591
ZNF225	1.0375
C17orf70	0.1555
ZNF554	1.7485
RAE1	-0.465333333333333
TNIK	-0.520833333333333
ACTN3	0.849
MGC45922	-0.3925
CCNA1	-1.416
RYK	1.04633333333333
IL26	0.386
LRP3	-0.254
QARS	0.333
SOX7	0.666928571428571
BID	-0.74775
OR2S2	0.7825
CXCL14	5.76625
C11orf47	-0.291
MGC29891	1.3175
HSPB8	0.8569
PRDM14	-2.404
NUFIP2	0.026
MNAT1	-0.06025
ZDHHC2	-1.6145
MBNL2	-1.30575
ADD3	-0.42025
CSNK2A1P	0.407
KLK6	-0.895333333333333
TMEM111	1.125
KIAA1279	0.679
NUBP2	0.407833333333333
RAB42	-1.95025
ID3	-1.6192
TM9SF1	0.541
MDP-1	-0.0915
POU4F2	-0.1365
IQCK	1.8665
C16orf14	-0.38475
CAPN3	-1.474
FAM43B	-0.262125
RECQL	-0.65225
AP1G1	-0.511071428571429
CTNNBL1	0.229333333333333
ECHDC1	-2.85366666666667
SMARCC1	0.8952
FOXQ1	-1.371625
GNAI3	-0.286166666666667
POLG2	-1.418
CD4	0.959375
ITLN1	0.777
EBI2	3.11825
IRF1	0.5275
PTPRE	0.5962
PTK2B	-0.40475
NXNL2	1.447
SOX4	-0.135888888888889
TSPAN3	0.645666666666667
SH2D1A	-1.83466666666667
C8orf58	-0.930833333333334
USP20	-0.953
DUSP22	-0.02075
CALB1	-2.6855
L3MBTL2	0.954833333333333
MCRS1	0.40325
TMEM118	-0.118666666666667
C18orf8	1.245
FLJ10241	0.25825
GJA12	0.619
PKD1	-0.203166666666667
ZFP3	1.275
JAM3	-1.97775
LAPTM4A	0.0319
DIRC2	0.148
KIAA2022	1.04383333333333
MYOM1	-0.0595
TRPM8	-2.71883333333333
MOP-1	-0.015
PHKG2	-0.173125
ZNF650	0.018125
KIAA1522	0.860875
PSG8	-1.79283333333333
DDX19B	0.139
MOBKL1B	-0.38925
DIAPH2	0.1595
PTPN12	-0.02725
CLN8	-0.0817
CRYZL1	0.2695
CRY2	0.457666666666667
FCGR2B	3.23333333333333
PNPLA4	0.7945
ZNF454	-1.037
DKFZp434B1231	-0.38625
CLDN11	0.2124
RFWD2	1.32283333333333
CIB2	-1.63166666666667
MXRA8	2.10025
HRK	0.944
MAML2	-0.06075
C4orf31	-2.07025
C6orf192	0.36725
COG6	0.870875
FAM5B	1.4465
NFATC1	0.2286
SEPT10	-2.20625
SCYL1	-0.2121
RPP40	-0.8155
SCOC	0.4653
KIAA1450	-0.0405
CTDSPL2	-0.14425
TBX5	1.1155
NAPG	0.75125
RHD	-5.04975
C14orf45	1.52966666666667
ZBTB22	1.8495
PLCG1	-1.302
ANKRD10	-0.0895
AQP7P2	0.493
TAGLN2	0.823
HTR2C	-1.296
SLC16A7	-0.919833333333333
C17orf83	-0.121
TSGA14	-0.353583333333333
MDH1	-1.65
PPP3R2	-0.3276
DCBLD2	-1.55328571428571
RBM33	-0.7175
DPH3	-2.0785
SYT10	-1.92616666666667
FMO4	0.939875
THYN1	-0.942
DRD5	-2.775
OTOR	0.315125
PGRMC2	0.8903
KATNAL1	-1.189875
PAQR6	-1.012
UBE2I	-0.10825
C14orf28	0.3395
C8orf70	2.21675
FLYWCH1	-0.905
ANGPTL3	-1.484
GLRX2	-0.0865
ATP11A	-0.289785714285714
ARL5B	-0.2615
MUC16	-3.17725
SLC25A5	-0.348428571428571
ACRC	-0.9685
MYO1C	0.00149999999999999
FAM89B	0.0178333333333333
FAS	-0.559
KIFAP3	1.74475
GLRA2	-0.0655
BTN3A2	-0.0837
CNKSR3	-1.87675
CSTF3	-0.696333333333333
ARPM1	1.17075
KIAA1530	0.978
C9orf150	2.70266666666667
PRKCI	0.682
tcag7.1015	-0.9685
SOD3	-1.24175
ZNF574	0.72925
CYP21A2	1.5725
RPL12	-0.47825
COMMD2	-0.2645
WIZ	0.85675
LOC344405	-3.7125
ALDH4A1	-0.249941176470588
CRYAB	0.9155
COPA	0.845133333333333
PCDHGA7	0.0696666666666667
KIF11	-0.653833333333333
RASD2	0.214
SLC26A3	0.507
ZNF175	0.3235
JAKMIP2	-2.232625
C8orf4	-0.888833333333333
PTHLH	2.1915
SLC40A1	3.71466666666667
OR7D4	0.617666666666667
PCDHB17	2.6675
CD36	2.40171428571429
C6orf203	0.7024
PRKG2	-0.521
LOC400566	0.84375
ANAPC13	-0.34125
SLCO3A1	-1.369
ZNF692	0.093
FANCL	-1.9995
SH3GLB1	-0.39
C12orf61	-0.3505
KBTBD6	1.05825
SUPT5H	0.517125
XRCC6	-0.3543
HUS1B	-0.061
FAM133B	-0.202214285714286
LOC728276	-0.9455
KCTD18	1.08575
SOS2	0.0195
CCDC99	-0.34425
C1QTNF5	2.8855
NNAT	1.187
USP16	0.21275
LARS	0.211
ZBTB2	2.2435
ABO	0.330333333333333
TRAF3	0.08275
GALNT5	-3.059
NAP5	0.883625
ALG14	0.6465
KIAA0515	-0.619153846153846
WDR75	-0.944
TEX261	-0.532333333333333
LY86	0.40025
LOC389072	-1.3275
FLJ13611	0.8995
MRGPRX2	0.9295
SNRPA	-0.39325
OR2G2	0.2895
GPRASP2	0.6585
C7orf42	0.4593
C9orf163	-0.483
CYP11B2	-0.4215
FCRL3	1.7405
PRDX1	-0.361
FGB	-4.4365
COX17	0.387166666666667
C16orf33	-0.73275
PIWIL1	-0.0833333333333333
FOLR1	-3.1045
KIAA0082	-0.41175
FREQ	-1.35016666666667
TMCC2	-1.24783333333333
TCF12	0.064
ZNF721	0.57925
FAM130A2	0.57825
POU4F1	-2.88825
SNRPF	-0.915
SGIP1	1.71966666666667
ZNF641	1.7155
EMG1	0.040375
PRRG4	1.855
HIRA	-2.5645
MYNN	0.7195
AEBP2	0.164833333333333
TBXA2R	-0.117666666666667
ISL2	-1.6175
PCDHB11	-0.418
RNF144A	-1.146
MARCH5	0.684125
DULLARD	0.131333333333333
DCLRE1B	-0.720666666666667
ITGA8	0.6835
TP73	-0.11325
PRKCD	2.0535
NDUFB4	-0.665
ATP13A4	0.573625
ANTXR2	-1.43633333333333
COL4A3	-0.357333333333333
MYO10	-1.8562
SLC6A18	0.71925
PEX1	0.37625
TMEM74	-0.3945
RBM19	0.10875
TAPBP	0.07175
RUNX1	0.223625
MID1	1.26383333333333
GPR64	-2.074
RASEF	3.911
GABRG1	-0.2835
MYO16	1.10925
DBF4	-1.02966666666667
TSHZ2	1.9035
RIPK2	1.32125
PPTC7	0.323666666666667
KIF4B	-0.3955
LRRC31	1.260125
ZNF540	1.28125
EFNB3	0.930166666666667
LOH12CR1	0.268
STON2	-0.977833333333333
GLP1R	0.6
CSTF2T	-1.15475
IREB2	-0.91625
GRSF1	0.253
PDCD7	-0.295
LRRC43	0.0135
CNR1	1.16333333333333
IL1F7	-1.4095
C12orf64	-0.80475
FAM69B	-0.488
NR2E1	-2.6155
MS4A6A	2.3493
FTL	-0.2178
C7orf36	-0.18275
PCLO	2.3708
DYRK2	0.473583333333333
ARIH2	0.793875
SAMD7	0.573
SCNN1D	-0.895
SLC32A1	-0.986875
C22orf25	0.805833333333333
MRPS18A	-0.0257
GPR112	-1.275
EARS2	0.64625
ERN2	-0.5895
ATPBD3	-0.0635
PRH2	-0.1495
CDKN2D	0.0928333333333333
PGLYRP2	3.106
TRIM40	0.01375
SEC14L3	0.337833333333333
SLC22A1	-0.14625
BTN2A3	-0.43375
RASA4	-0.32475
CCNL2	-1.15591666666667
MYBPC3	0.61
GJA4	3.16925
CDC42SE1	1.940875
TRPV2	-1.79975
MYPN	-4.4374
SIM1	0.7695
CDADC1	0.202916666666667
ZFHX4	0.92625
NIBP	1.79733333333333
ADAMTS19	-0.69825
ABTB2	-1.60125
TSPYL2	1.256625
EIF2S3	-0.1796
SOX30	-0.4725
AP2A1	-0.337666666666667
DKFZP564O0523	0.560166666666667
LOC285398	0.494
CDH18	-6.10975
CHL1	1.1195
GATS	-0.9789
TBC1D2B	0.431166666666667
OR1J1	-0.697
GSN	0.473333333333333
DPCR1	-0.101375
GARNL4	0.373833333333333
SMARCA5	-0.2185
PLEKHG3	1.03583333333333
ZBTB45	0.491
FRMD6	-0.127666666666667
PLS1	0.0751666666666667
DGKZ	0.367833333333333
EFNA1	1.8506
WDR85	-0.065375
ANK2	0.102
PAGE4	-1.76166666666667
SENP6	1.87166666666667
AKR7A2	-0.0913333333333333
FKBP10	-2.1605
VEGFC	-2.5135
LARP1	1.1735
SRBD1	-0.29275
ITGB6	1.359
SLC1A2	-0.270538461538462
INVS	-1.94166666666667
MPO	0.0335
MOBKL3	-0.7416
CUTL2	-2.30914285714286
KLK2	-0.203833333333333
VIM	-1.387
REG1B	0.352166666666667
PCDHGC4	0.6215
C3orf34	-1.001
SUMO3	0.755833333333333
CST9L	1.47525
MLL4	0.089
SPR	0.463166666666667
SAMD9L	0.93575
ABCE1	0.4
SUPT3H	-1.11483333333333
ACTBL1	1.82125
ADAMTS4	1.413
SLIT3	2.90875
RHEBL1	-1.29575
NPM2	-2.53525
MAN1C1	0.77725
KIAA1856	0.720083333333334
HSPA6	1.7985
LOC388152	0.6165
C10orf140	2.43775
ZDHHC12	-1.4235
LIN7A	-2.3426
PHC2	0.196083333333333
SPHK1	-1.5915
TRIM26	0.8694375
FAM83E	-1.3585
C18orf24	-0.891833333333333
ZNF578	1.14133333333333
ORAI1	-0.74225
RUVBL1	0.59275
C7orf20	-0.832333333333333
APAF1	-0.772
SLC36A4	-2.14433333333333
MYH11	3.85666666666667
NEK1	0.3394
MPP2	0.21625
C12orf24	-0.9625
TNK2	0.5706875
ZNF289	0.05175
MATN3	-0.189285714285714
IFNGR2	1.06283333333333
ITPR1	3.01425
EBF3	3.2968
TBC1D20	0.9709
OR10P1	0.27625
DDAH2	0.54275
SHPRH	0.705875
STX7	-0.0805
LOC554248	-0.4325
BCAR1	-1.007
ATXN3	0.501583333333333
TRIM27	0.12125
CDC42EP2	-0.861
CHP	0.0725714285714286
SOX17	1.35975
ZNF259	-0.920833333333333
CHCHD1	0.20625
ZDHHC19	0.1515
GBP2	2.1415
GARNL3	0.742625
MRC2	-0.0445
C1orf52	-0.62725
AOF2	-0.473
LRPPRC	-0.1055
ACVR1C	-0.322333333333333
TM4SF18	3.02266666666667
TMEM169	-0.4695
PPP1R16A	1.72525
EBF1	0.308
RRS1	1.7775
SNX2	1.23075
OR2T2	-0.2105
RBX1	-0.4
ANKRD54	0.6075
TSNAX	1.85766666666667
TMEM83	-1.41225
ZBTB7A	0.66
ATM	-1.39983333333333
LOC338328	1.92216666666667
TIE1	1.15166666666667
HIST1H3G	-1.2675
PASD1	-4.8115
TINAG	-0.13775
PCDHAC2	0.4135
LRRC15	0.904625
WBSCR17	-2.02675
TFF2	-1.6675
PARP2	-0.4475
NDFIP2	0.404125
PCDHGB2	-0.408
WDR60	0.62325
MAP7D2	-1.8726
USP45	-0.6315
GSDML	-0.42275
TNS1	-0.0412
PLCD4	1.112
IQCD	0.958666666666667
SMPX	-3.70225
CD9	1.1825
SRGN	0.351875
CASP7	1.618375
INOC1	0.583333333333333
DKFZp451M2119	-2.50675
VMAC	2.0295
USP53	0.2672
CAMK1G	-0.592375
TMEM106A	-0.3805
CDC20	-1.276
ACSL5	-0.9165
CBWD5	0.36875
C1orf87	-1.922
KIAA1274	0.93275
PRUNE2	-1.92292857142857
LYPLA2	-0.706666666666667
DOK6	-1.69166666666667
GPR149	0.1735
FAM30A	1.91575
TMEM129	0.0145
SLC35B3	0.9955
ACPP	-0.7163
LOC200261	-1.616
SLC4A7	-0.2145
CCDC40	1.7785
GART	-0.225625
THOP1	-0.71775
SCARB1	-1.06675
CACNA1F	-0.1075
TRIAP1	-0.193666666666667
SYT14L	0.936
SFRS8	0.306
PBOV1	0.6485
GOLSYN	0.27875
GJB7	-1.883
CAMK2N1	0.913916666666667
GREM1	2.58266666666667
FLJ20433	0.26
QPCT	-3.57775
PRKAG2	0.9025
H2AFX	-1.556125
C6orf154	1.671
PLOD3	-1.36875
ZBTB39	0.804833333333333
WASF3	1.37641666666667
DRG1	-0.03525
PRR4	-0.0005
SPCS1	-0.18375
KDELR3	-0.396833333333333
SRP19	1.17433333333333
GABRA6	-0.0657500000000001
MFSD1	0.61875
MMEL1	-0.29475
PDXDC2	0.3754
BUB1	-2.79844444444444
RNF138	-0.5145
MYLPF	-0.8545
AIF1	-0.250333333333333
DYNLRB1	-0.0198
HCN3	-1.07733333333333
HIST1H2AI	-1.541
MAP4K5	0.144333333333333
LASP1	0.172875
LOC130951	0.3145
PLAA	0.703125
KRT6A	-3.2315
C6orf117	-3.74175
ARHGAP23	-0.8525
PTF1A	-1.21
GPHA2	-0.965
LCE3B	0.17475
MCL1	0.246571428571429
EHBP1	-1.04891666666667
PRNP	-0.737875
ZSCAN1	1.13625
C1orf113	1.12033333333333
FOXA3	-4.195875
NEB	0.681
ASGR1	-5.2815
CTGF	0.964166666666667
RAB17	0.251
MST101	0.96425
JARID1B	2.249
USP37	-0.2291
PTBP1	0.743666666666667
PTPN7	-0.367166666666667
CDC7	-1.86566666666667
SNX7	0.38575
ZNF335	0.0665
CPT2	-0.91525
HEATR1	0.4795
HSPC152	-0.777
C5orf40	0.11425
PSME1	0.0708333333333333
STAG3	-1.75925
TMEM154	-0.0661666666666667
KLHL32	0.0806666666666667
TSGA10IP	-1.6905
SUV420H2	-0.5255
SF1	-0.2814
2'-PDE	0.7535625
PNLIPRP2	3.44
TRSPAP1	-1.08
NUP210	-0.0895
ANP32C	-0.616833333333333
RAB11B	0.3295
ASB15	0.7805
ITGB3BP	-1.504
UBASH3A	0.16
YWHAB	0.801625
TPRX1	0.1785
LY6G5C	-0.1865
SLC7A2	0.8205
CLK1	0.4038
