Hybridization REF	TCGA-A2-A0CY-01A-12R-A034-07
TNIP2	-1.06516666666667
GPR146	-0.91025
NOL6	0.3555
SPC25	-1.93122222222222
STEAP2	0.350642857142857
VAMP3	-1.67266666666667
TCIRG1	0.11475
ZP4	-0.349666666666667
PARL	-0.64325
TRIM39	0.431333333333333
KIAA1305	0.73375
CRNN	0.422333333333333
GRN	0.325
HSH2D	-0.2365
SCAMP1	-0.6026875
KIAA1913	-0.7015
PTS	-0.5235
BANP	0.947071428571429
PRKACG	0.32025
ADCY6	-0.0858333333333333
C16orf46	0.418
CYP51A1	0.0615000000000001
DDC	-1.99525
ANPEP	-1.48033333333333
PROM1	2.943
SIGLEC10	-0.54375
COPG	0.3215
FAM26E	-0.5475
TRIP4	-0.4795
SNX3	-0.967833333333333
C1orf175	1.598
PPY2	0.601
C14orf152	1.00275
FTSJ1	-0.623
DST	-0.88015
LOC554235	0.5735
GLRX5	-1.2195
C20orf12	0.9851
CAB39	-1.08
MSH2	-2.067
PIP4K2C	0.85675
CYLD	0.615125
WTAP	1.5016875
MGAT4A	1.03288888888889
TSC22D4	-0.2501
CHRM2	1.7835
PPYR1	0.756
CCNH	-1.67166666666667
RRM1	-1.36775
ECAT8	-3.149
LOC400120	-0.85825
GABRA4	-0.230875
C14orf4	1.16516666666667
C1orf59	0.5315
CTDSPL	-0.70075
NHEDC2	-0.4925
PDE11A	-0.998642857142857
KLHL29	-2.45425
CD5	-1.9693
TSPAN9	1.7455625
WDR67	-0.7775
THUMPD1	0.0984
C18orf17	-0.60475
CLYBL	0.148
FLJ13231	-0.107875
CMBL	-1.089875
LECT2	-0.58275
NKAPL	0.8895
LOC654780	0.513
OR4C6	-0.083
RAB30	0.2255
TSSK4	-0.509
TMEM163	0.5005
OSBPL11	0.0175833333333333
GNB5	-1.91483333333333
CCL21	0.832
C1orf121	0.411666666666667
FMO2	1.7325
RPTN	1.2605
MSTN	-0.0945
VCL	-0.402785714285714
FYTTD1	-1.556
C11orf1	0.03525
CCDC88C	0.63375
HFE	-1.28366666666667
MOGAT1	-0.4695
FAM125B	-0.8985
IRGQ	1.039
RAVER2	-0.6135
AKAP5	-1.127
SSSCA1	0.1445
C11orf63	-1.92625
ACTG2	-0.2346
PORCN	-0.099
DTL	-2.27518181818182
TMEM151	1.4865
FAM122C	-1.61625
RSAD2	1.0657
BAT4	-0.3995
KRTDAP	1.42666666666667
MYH8	0.571625
CRTC3	-0.41175
LRRFIP2	0.6927
INTS4	-0.351833333333333
TTN	-1.544
SLC26A5	0.9075
PLLP	-0.30925
RGS6	0.420875
SRGAP3	0.907125
ZNF525	0.1665
NBR2	-0.953833333333333
C13orf1	-0.5181
ZNF137	0.08
CEP27	-2.005
BEST2	0.8865
RNF121	-0.68675
DMRTC2	1.285
C8orf76	-0.41425
BCCIP	-0.32975
MEST	0.5495
HTRA2	-0.4115
ANGPTL2	0.48475
ILKAP	-0.9875
ERAS	0.097
HBS1L	0.5695
CPA5	0.4365
TMEM30A	-0.0466666666666667
CD300LF	0.5135
WISP3	7.6805
CRK	-0.4805
PDS5A	-1.7577
BRPF3	-0.0166666666666667
NEDD9	-2.377125
SMPDL3B	1.9445
PSG6	-0.785
PSMD13	1.53275
ETV5	0.3128125
OR51A4	0.116
BTBD7	0.293166666666667
GSTO1	-2.104625
hCG_16001	3.264
MAD2L1BP	-1.03466666666667
COX6A2	2.068
SCNN1A	2.80266666666667
LSM1	-0.708
UGT2B11	-1.87825
IDUA	-0.864
PPP2R3C	-2.31466666666667
COX11	-0.8215
PDZK1	-2.46825
ZNF443	-0.898166666666667
MGC21874	-0.770833333333333
ZNF323	0.2523
KRTAP10-10	0.832
CXCL6	3.4085
SLC34A2	4.8303
LOC284402	0.642
NPTN	-0.052
UPP1	-2.30341666666667
SLC6A9	0.556
OR7G3	0.42275
CISD1	0.016
ZNF545	-0.627666666666667
SYT14	-0.088
NT5C3L	-0.2965
ZNHIT3	-1.13933333333333
SNRPD3	-0.92175
KIAA0701	0.29125
UNC93B1	0.789
GMNN	-2.53375
SPCS2	-0.295666666666667
LOC388524	0.0275
NAPRT1	1.031375
PNLIPRP1	0.92875
OR6V1	1.798
PRKAB1	0.2225
EYA4	-3.44266666666667
KIF20A	-1.67
ALG10	-0.90475
ITPKC	1.92066666666667
LMX1B	1.17716666666667
RPUSD4	-0.283333333333333
C7orf34	0.2435
DLGAP2	-0.0647142857142857
PFN1	-0.4893
MICALL2	-0.766166666666667
ZNF654	-0.1595
SS18L1	-0.745
SLC16A8	5.25875
MKI67IP	-0.784
ITGB3	-0.856875
TCEA3	2.09258333333333
CEP152	-2.3289375
CLIP1	1.000625
ZNF75	-0.1081875
ATP5C1	-1.349
NUDT5	-0.624666666666667
PSCDBP	-1.9735
UBP1	-1.10275
RBM27	0.12925
C13orf15	0.620375
ZNF282	0.0918333333333333
ZNF222	-1.5148
COL10A1	6.43575
PRDM15	-0.5495
TTTY5	-0.282
FAM9C	-0.501636363636364
C20orf67	0.478
GNG13	0.5765
F12	1.5675
C1orf41	-3.11375
CPXCR1	0.5175
GSK3A	0.105
SUPT6H	1.60983333333333
PI16	-2.402
ELL2	0.0318333333333333
C9orf167	-1.9585
PVRL3	-3.1362
FLJ38596	0.59
ADAM20	0.1385
GPR89A	1.5295
GPR87	-3.4465
ZNF30	-0.10125
SMR3B	-0.266
ZNF770	-0.22425
TRPC4AP	-0.692333333333333
DKFZP686E2158	-0.635666666666667
C2orf28	-1.19833333333333
FREM1	-3.40166666666667
LAMA4	0.306
ADPRHL2	0.20975
EIF4G2	-0.105166666666667
GUCA1A	-0.388
CTNNA2	-0.485125
NUDT15	-0.595
CEPT1	-1.7705
ZNFX1	0.307
CCDC92	1.92125
TDRD1	2.396
KCNK5	0.455
ETNK1	-0.796833333333333
LTA	0.3135
TTPA	-0.555166666666667
B3GALNT2	1.136875
SC65	-1.15033333333333
PEX5L	-1.513625
EPS15L1	0.77875
MGEA5	0.37625
HIST1H3A	1.0765
ING1	1.1625
BCAT1	-2.389
ORC6L	-2.78663636363636
KLK11	1.8155
C19orf28	-0.15225
DNER	-3.7755
MED22	-0.579857142857143
ETV6	1.73525
CHAC2	-2.48125
CD300E	0.2685
CEBPB	1.55525
ZNF398	-0.2635
LRCH3	-0.1225
HMGA1	-0.0763333333333333
CAPN7	-0.479166666666667
MGC5566	-2.73675
CCL3	1.475125
NANOS1	-1.13925
ZFYVE19	-0.742
APITD1	-0.631333333333333
PARD3	1.086125
IRAK4	-0.708333333333333
SERPINI2	-0.349
CEP170L	0.13525
TTC9	1.846625
MYOM3	-1.7065
MLPH	0.277875
LOC222699	1.0595
NRG1	-1.18072727272727
TBC1D9	-0.0868181818181818
TTK	-2.89433333333333
ZNF557	0.6418
DDX41	-0.0851666666666667
FANK1	2.252
UBE2D2	-0.951125
PSMB10	-0.601125
MYH7B	-0.073
GABARAPL2	-1.07475
MARVELD2	1.599
DGCR2	0.7885
UNC45A	0.206333333333333
C6orf72	0.1985
ZNF683	2.816
GIT2	-0.029125
CASK	1.53633333333333
C14orf161	3.2785
LRRC44	-0.8065
TIFA	-0.84475
UTP11L	-0.41675
C6orf65	-1.7245
FDPS	-1.26825
DUSP9	-0.6211
SLC17A8	-0.104166666666667
OR51G1	0.100833333333333
NANS	-0.2505
OLFML1	0.637
ATP10B	-0.76275
NPAS3	-1.60475
PRKCA	-2.5106
GGA2	-0.636125
LCE4A	0.629
SPANXN3	0.7285
CCDC115	0.557875
SDCCAG3	-0.42925
GLIPR1L1	0.246
TTC1	-1.0425
C17orf76	0.264
MAD2L2	-0.7805
HIPK1	-0.1925
LRRC3B	-0.331666666666667
CLN3	-0.157772727272727
C17orf47	0.086
FMN2	-1.15525
TUBB1	-1.730125
WAPAL	-0.116833333333333
C3orf21	-0.29875
SCN5A	-0.0832
SMYD1	0.679
BEX5	0.901
ZNF192	-0.429
SEC22A	-0.0135
GRIA2	0.437153846153846
KIAA0825	-1.5225
NUSAP1	-2.38590909090909
LANCL1	-1.08725
C15orf40	-1.5583
ZNF645	0.439625
GPR61	0.3125
NLRP14	0.321
SNX21	0.9003
C1QTNF8	0.651
C17orf46	0.991
IFNA8	0.841
SPRR1B	-0.814666666666667
FLRT1	-0.4385
SNX17	-1.1805
ASB2	0.676666666666667
HBG1	-5.1915
RPRML	-2.10975
JOSD2	0.783833333333333
PLSCR3	0.31725
SPOCD1	1.5865
RAB39	0.052
GHRH	0.0841666666666667
ITIH5L	0.786
C17orf37	-0.63725
SMCR8	0.7965
DPY19L2P3	0.620166666666667
IL11RA	-0.239166666666667
GDF3	-3.20383333333333
RPS6KB1	-1.29491666666667
DNAJC19	-0.6858
TOP1	0.55275
CRCT1	-1.156
MPST	1.4785
DPM2	-0.38125
FAM38B	-2.147
SLC18A1	-2.71216666666667
FARP1	0.301
PAX7	0.8785
TUBD1	-0.967
GNL3	-0.319125
BTG2	0.837666666666667
NDUFS6	-1.2445
C1orf79	-0.74275
ERAL1	1.692
ECHS1	0.47675
VPS4A	0.174333333333333
CYP11A1	-0.89025
ABCC6	-1.89507142857143
PBX4	1.4465
MOSC1	0.06875
NCF4	-1.2785
HYMAI	0.345
NAGPA	-0.254375
OTOP2	0.80925
ACOT12	0.03575
MTHFD2L	0.39125
LOC441376	1.38625
C19orf34	0.195
RAB1B	-0.02225
ALDOAP2	-0.176
NTRK1	-1.6735
ARTS-1	-1.26622222222222
SLC6A11	1.184
NAP1L2	1.055
CNGB1	0.685666666666667
EPB41L4B	-1.00325
FAM134B	0.196625
HS3ST3A1	-1.84733333333333
CPXM2	3.989
SIRPB2	0.4565
CHORDC1	-1.3615
TRIB3	0.244166666666667
SLC2A5	1.0735
C2orf49	0.0168333333333333
DDX5	-1.50025
OR5L1	2.2825
ANAPC4	-1.7415
ZSWIM1	1.23775
LOC93622	-1.12775
KCNK3	0.2371
RP11-35N6.1	-1.46525
ZFP161	0.0203333333333333
AQP9	2.3735
SLC15A2	1.8425
MREG	0.766666666666667
OR9I1	-0.4375
PDLIM2	-0.482714285714286
ADAM7	0.1115
GSTCD	-0.923166666666667
WDR21A	0.124625
SLC12A8	1.59516666666667
TMEM174	0.329
IGSF3	0.231416666666667
LRRN1	2.50725
LOC402117	-0.543333333333333
SRPK1	-0.754166666666667
LY6K	2.312625
NFIA	1.367
PTCD3	-0.74925
LEP	0.931333333333333
PCDH21	-0.833
MAPKAPK2	0.791285714285714
NMNAT1	-0.646166666666667
LHFPL2	-0.454625
C9orf43	-0.33575
DIP2A	-0.716333333333333
ACTR8	-0.589875
CCDC34	-0.4735
PTPN22	-2.061375
ITGA3	-0.51075
FAM129C	0.14375
RABGGTA	-0.558
UNC45B	0.1925
KIAA1033	-0.071625
ZNF510	-1.08616666666667
CYP2D6	1.09883333333333
SLC26A10	-0.7265
STX8	0.1085
LUZP1	-0.4735
WDR89	-0.143333333333333
EIF4G3	0.9632
C5AR1	0.5415
ZNF623	0.2145
A2M	0.01025
TGM7	0.5835
GRPEL1	-1.38616666666667
LMNB2	-1.0191
ROCK2	0.186333333333333
SNX16	-0.414625
CCDC66	-1.459
ANXA3	-0.4585
KIAA1609	1.680625
EED	-1.83475
RNF32	0.9185
HES1	1.4354
CLC	-0.0295
ISL1	-0.167166666666667
KIAA0528	0.379125
MANEA	-0.483125
C1orf61	-0.8895
hCG_2001000	2.86525
RAPGEF6	0.0719
KIAA0020	-1.911
NEIL1	1.2965
C16orf45	0.879375
RBM10	0.222333333333333
C10orf125	-0.107125
MRS2L	-0.45425
DNAH17	-0.455375
C19orf10	-0.5265
C1orf160	0.19675
SLFN12	-2.15975
EXOC3	-0.257333333333333
HIST3H3	-0.21425
NCOR2	0.463166666666667
TNFRSF9	-0.3405
MFSD8	-1.372
ALX1	-3.419
NOL1	-0.70625
PODN	1.7395
TIAL1	-1.1495
HIST1H1E	-0.0525
NPY6R	0.62325
TM4SF4	-0.65425
CORO2A	0.37575
ETNK2	-0.332166666666667
APOE	-0.0540999999999999
ANGPT4	1.505
HDGF2	0.5405
G30	0.9735
ST8SIA4	-0.991125
F2RL1	-1.237625
FAM19A4	-0.936
CCAR1	-0.7515
B3GNT7	0.8375
OPHN1	0.8407
DSCR6	-1.051
C21orf13	0.192666666666667
GAS2L1	0.180083333333333
RFX3	-0.5795
COPS4	-0.735125
BCHE	-4.37783333333333
BCL2	-2.3755
HBZ	-2.1315
ARL13B	-0.157875
MAPBPIP	-0.6815
MYO15B	1.002
SPZ1	1.29875
KIAA1324	3.23811111111111
PLCL2	-2.013125
C4orf29	-1.7235
WDFY2	-0.877375
ZNF284	-0.267
NAALADL1	-1.1275
DUSP5	-0.564666666666667
PXDN	-0.096625
SLMO1	0.161
TNXB	1.3728
BIRC7	-0.81975
A4GALT	3.76966666666667
TIMM22	-0.04175
FAM110C	1.51125
TOMM34	-0.35575
ABHD9	0.7915
ADAM32	2.093
CRHBP	-1.087
AQP2	1.267125
LOC130355	-0.05175
ZNF187	-0.0166666666666667
ZNF816A	0.3555
F7	-0.4045
CNOT1	-0.0437
SLC13A4	-1.4555
ZBTB11	-0.854
B3GALT5	0.91175
EXOC2	0.3075
IRS1	-1.2194
TMEM1	-1.03316666666667
MRPL34	-0.1565
SAMM50	0.0385
CDC42EP3	0.42675
HSF2	-0.9545
MFN2	-0.6345
TSPAN7	-2.66466666666667
NUCB1	0.868
RHOH	0.091
ARL16	0.0865
TACR1	0.1255
SFRS5	-1.38616666666667
SNX25	-1.75275
RHBDF1	-0.102
PCDH18	-0.372666666666667
HMG1L1	0.5195
MYO5C	-0.2005
MAPK10	2.8
LDHAL6A	0.807166666666667
NUDT12	-1.7162
NCAM1	-0.01125
GLIS2	1.422
GGTL4	0.3005
DAPP1	-2.082
ATF7	1.00125
KIAA0748	-2.36325
NFIL3	0.04525
TM6SF1	-0.8214
SEZ6	0.341125
NANOS3	1.08616666666667
DNAJA3	-1.056
CLDN6	-2.483
CIITA	1.5215
EPHA4	-1.64966666666667
FANCC	-0.8795
CMTM3	-1.505125
PSG3	-0.35425
MRPL15	-0.36
C21orf59	-0.2305
PLCXD2	0.3205
C2orf34	0.115375
UBE2L6	-0.71725
MED14	0.3465
HP1BP3	-1.3431
C6orf208	0.203
TPBG	0.99425
OSR2	-2.47525
XPC	-0.527
KLHL7	-0.177416666666667
CCR3	0.0933333333333333
AGTPBP1	-1.68066666666667
PCSK6	-1.26353333333333
STAT5A	-1.7301
FAM18B	0.1065
LONRF2	-3.87833333333333
PTPN2	-0.621625
SF3A3	-0.606
EFCBP2	0.1525
HCFC1	-0.505
AHNAK	-0.28855
ACTR5	0.779
KIF14	-1.36442857142857
TENC1	0.00325
HEATR5B	-0.147
YIPF2	0.8015
MYEOV2	0.130333333333333
DUSP18	1.866
KIAA1012	-0.7835
AHR	-0.1115
C17orf53	-1.35866666666667
PTPRH	-0.63
ATP6V1C1	-0.106
TAS2R3	-0.0535
LOC440356	0.70925
COQ10B	0.01525
PSMF1	0.130833333333333
SORBS2	1.48366666666667
NFE2L2	-1.11925
TMCO7	0.59175
SH3PXD2A	-0.1647
SH2D2A	2.262
SPINK5	-3.37475
MRPS24	-0.444
OPA3	1.2205
TRAF7	-0.091
C4orf35	0.4485
MT1G	0.80025
MGC39545	0.8205
HS1BP3	-0.0122
OR2B2	0.9265
CHRM4	0.275
SFRP2	-1.27033333333333
RIC3	-0.182
ART1	1.2775
C6orf1	-0.2295
DUS4L	-1.56225
C10orf104	-0.576
TNFAIP6	0.5055
RTEL1	-0.0105
CCT4	-0.9281
ZNF709	-0.28025
CHMP6	1.33133333333333
UPP2	0.80025
CYP19A1	-2.598375
CD151	-1.06266666666667
NDUFA13	0.648
ARFRP1	0.03
FAM26B	2.1015
CRYBA1	-1.833
MRPL41	-0.6735
NPFFR2	-2.172125
HRH2	0.7395
SCAMP3	-0.115166666666667
MTMR6	0.1485
MTG1	-0.677166666666667
UBTD1	0.97925
CRABP1	-1.585
FLJ33790	2.6967
KIAA1908	-1.598
GPR158	-3.52125
PACSIN3	1.53166666666667
OMD	-0.2715
CATSPER1	0.6815
HOXB8	0.808125
FBXO46	1.915
OAS1	-0.231833333333333
SVIL	-1.30625
PHB2	-0.86375
ADCY3	-1.8945
NDRG2	1.66833333333333
ERMAP	-0.5387
APBA2	0.433833333333333
IGSF9	3.13625
WNT6	0.8895
MYCBPAP	-0.7025
ATP2B2	0.0263
CPVL	-0.2508
TRAM2	-1.179
NOP5/NOP58	0.52575
ZNRF4	0.32075
TLK1	-0.60125
MTMR12	-0.0983571428571428
ZNF384	-0.388833333333333
FAM9B	-3.08125
RPN1	0.6939
PMVK	0.63025
EIF3D	0.0423
SIX2	2.085
HPS1	0.241142857142857
RNF7	-0.33475
PSKH2	0.0895
KCTD13	0.182833333333333
CSMD3	-0.4579
FBF1	-0.528
IL8	0.220375
SERPINB13	0.0810833333333333
FBXL20	0.41975
BLR1	0.681
SH2B1	-0.6335
RFNG	0.264625
RAB20	0.411833333333333
RBM7	-0.4155
POLR1A	-0.214
TMPRSS4	4.21175
TAF9	-2.11775
TERF2	-1.08933333333333
TNFRSF1A	0.93175
ACADVL	-0.416
GTF2H5	-0.4105
EDG8	-1.53816666666667
C9orf140	-0.779875
UST6	0.8095
ZBTB8OS	0.45175
ZNF710	1.4835
GPR174	-1.5825
ATP6V0A2	0.09525
KIAA0319L	0.400166666666667
XKRX	2.3435
DOPEY2	0.6962
SDHD	-1.71133333333333
SUMF1	1.03125
OSM	1.20525
OPN3	1.2525
DAGLB	-0.649666666666667
PPFIBP1	-0.1453
TRIM63	-3.818
C10orf53	-0.6935
LYPD3	1.832
BCL7A	0.533875
AGER	-0.623833333333333
TCF19	-1.6755
SAT2	-0.56225
PFTK1	0.836166666666667
GABRE	1.426375
C15orf38	0.5304
FIS1	-0.8055
KCNV2	0.01475
CLPS	0.9895
PPCDC	-0.504125
FOXN2	1.786
NT5E	-2.2816
CD83	0.1725
IL18	-2.605875
VPS16	-0.0425
IGFBP2	-0.449166666666667
NOTCH2	-0.43475
SIGLEC1	1.6515
CD93	3.704
SULF2	1.18975
CEP164	0.577375
P53AIP1	-0.331166666666667
TOR2A	0.314666666666667
ZNF136	-0.18575
MGP	1.9473
CCDC144A	-0.382666666666667
TRPC1	-0.399333333333333
SMS	-0.912666666666667
MAPK7	0.9825
RRAGC	2.5625
PARD6A	1.3835
NUB1	-0.676
SYNGR4	2.159
OR11H12	-0.254
WIF1	1.138125
GCH1	-0.90075
OR11H4	-0.147
SLC44A5	1.321
GPRIN2	2.541
LOC401431	0.07475
CPA4	-2.4381
MELK	-2.57888888888889
IL15RA	-1.4065
CUL3	-1.404625
HMBOX1	-0.53425
PODXL	-2.68825
CCT6B	-0.181333333333333
COMTD1	-0.33575
MUC20	2.05483333333333
GPX2	-0.027625
ITK	-3.040375
FBXL5	-0.87825
C13orf27	-1.273
DEFA5	0.4135
TRHDE	-0.5945
MTP18	0.187833333333333
UQCRQ	-1.2631
ITGB2	0.196166666666667
CSRP2BP	-0.6565
TAS2R44	1.361
PHPT1	-0.439125
FAM44C	-0.8355
ERH	-0.498
MPHOSPH1	-2.63416666666667
MORC1	-0.2055
PARVB	0.23025
LAMA1	-2.64891666666667
PGBD3	0.6965
GIMAP6	1.24675
AREG	2.42216666666667
LIPT1	-0.979
MGC99813	-0.40875
C1orf201	0.733166666666667
GRIN2A	-0.683
MAN2C1	-1.011875
NSUN5	-0.711
SF3B5	0.17325
MYC	0.356
NRXN1	-0.63325
ZNF18	0.47425
SPDYA	-0.571285714285714
SLC37A1	1.8375
DECR2	0.3385
ANKRD38	-0.648
SPTLC3	-0.394916666666667
SUPT16H	0.911375
DTWD2	0.1925
ULBP1	-0.7655
ZADH1	-2.268
OIP5	-2.87775
IL10RB	-0.850333333333333
OTUB2	1.30575
VWA3A	0.427833333333333
SPIC	0.454333333333333
OR6C4	0.1275
PSCD4	0.1485
DPY19L2P2	-2.0045
TRAPPC6A	-0.513333333333333
C21orf2	-0.570666666666667
CEMP1	-0.4975
LIN7B	1.064
E2F7	-2.04266666666667
VCP	-0.47075
LAMA3	-0.783916666666667
BGN	0.9585
GPR160	-0.463
COCH	-4.78716666666667
GPR81	1.66866666666667
APOBEC3F	-1.01
tcag7.1017	-0.60625
C1orf32	0.818
SCGB1D2	2.13175
FLJ43987	3.461
C6orf170	0.5345
KLK9	0.5085
GPD1L	-0.39925
VPS37B	0.65825
ATG3	-1.162
ADAMTS17	0.6995
KLHDC2	-1.26
NDUFV2	-1.033
BLK	-1.1345
MATN4	-0.1425
GPM6A	1.494
GBP4	1.85566666666667
TMEM162	0.625333333333333
PKP2	0.942
HRASLS	0.980333333333333
MMP1	-4.06575
SFXN3	-0.1332
FSD1	0.831
ST6GALNAC3	0.0108333333333333
CA12	-0.4764
NCOA6	0.449
C19orf58	1.1048
PPP4R1	-0.821166666666667
MAN1A2	0.801333333333333
IKBKAP	-1.808
UPF1	1.05666666666667
KIAA1219	-0.11625
WNT16	0.105
SNW1	-1.008875
IL18RAP	0.58025
RPP30	-0.366625
CDC40	-0.344571428571429
SETD3	-0.3465
SLAMF6	-0.97575
ELK4	0.4865
TRIM47	0.101166666666667
ACOX3	-0.19075
TRIM6	-1.936375
KIAA0372	-0.621
TP53AP1	0.388625
SMURF2	-0.58
ADAD1	0.5665
EBP	-1.3257
KRTAP13-2	-0.5395
FLJ36874	-1.08533333333333
TOR1A	-0.6315
P2RY4	2.188
GPBP1	-0.5785
TRPV1	-0.111875
ADAMTS12	-0.835
PES1	0.1275
ATG4A	0.205166666666667
MAGEA10	-3.59625
WFS1	0.46825
CC2D1B	-0.492166666666667
PABPN1	0.86075
SLC25A30	0.18175
SLCO1C1	-0.697
SLC22A5	1.10075
KIF23	-2.39683333333333
SYN2	1.6015
ASPN	4.96333333333333
CENTG2	-0.417
QSOX2	-1.2538
FLJ10815	1.02483333333333
STK24	-0.0840625
SPEG	1.5071
STK10	0.475
DACT2	-2.3015
AAAS	-0.73275
SSX3	-1.080375
ABCD3	-1.109
C4orf12	-1.246125
PARVG	1.37966666666667
FIG4	-0.99025
C9orf46	-2.38375
TMCO6	-0.0885
IGHMBP2	-0.15675
DUS2L	-0.0828333333333333
FAM3C	-0.8318125
TMEM16D	-2.787625
DCTN4	-0.637
KCNH3	-0.051
EIF2AK2	0.053
AP1S3	-1.18975
CST4	-0.9005
PAM	0.6735625
NUTF2	0.3985
CITED2	2.5365
SLC39A4	1.3645
C2orf52	-1.92
GRM3	-0.0715
C12orf49	1.350875
CCDC49	-1.079
GRAMD1B	-0.99075
FNDC4	-0.06325
SIAH2	0.094625
GDPD4	0.6405
C21orf87	0.828
ATP5A1	-0.842166666666667
C16orf63	-0.941375
LOC388135	-1.33333333333333
ATP5J2	-1.615
MMP3	-3.9095
EMID2	0.13275
CRHR1	0.73375
WDR70	-0.30575
C13orf31	2.18125
ZFAND1	-0.321
CCL18	1.971
C3orf49	-0.7555
RINT1	-3.0685
KIAA0408	-2.73616666666667
F13A1	2.333
SLC10A1	0.346833333333333
OGN	-3.59275
GIPC2	-2.715
XPO6	-0.364333333333333
LCE1A	1.188
FMR1	0.6815
LOC374920	0.2655
DUSP3	-0.1685
ANKMY1	0.00449999999999999
C7orf50	-0.631
BBS9	0.5972
UNC119B	-0.570625
C9orf72	-1.373
MGC35440	-0.03675
ENTPD6	0.326125
PPP1R2P9	0.32375
ERCC4	0.0455
FAHD2B	0.2155
HMHA1	-1.057
HACL1	-1.099
RAD23A	-0.560833333333333
FAM83B	-0.35275
PPP5C	-0.972833333333333
RNASEH2C	-0.297875
C9orf153	-0.0225
SCAMP4	0.822
GHITM	-0.2806
NDUFB7	1.189125
ADCYAP1	0.0816666666666667
SP110	0.446666666666667
MAP3K7IP2	0.124
DHH	1.3015
AGRN	0.936
WDR33	0.811166666666666
CEP290	0.8355
PRPS1L1	-2.34016666666667
KLRA1	-0.285
GPR97	-0.107
CHD7	0.755416666666667
TLR10	-0.52425
SLC30A8	-0.779
HIC1	1.05533333333333
IAPP	2.5275
RXFP4	0.53225
GP1BB	2.192
SHQ1	-0.113
NKX2-3	0.459166666666667
API5	-0.07
FTHP1	0.784
MOV10L1	0.0641666666666667
TRIM6-TRIM34	1.24033333333333
ADHFE1	0.10225
FAM117A	-0.9595
DDI1	0.379166666666667
CDON	0.000666666666666667
TRIM73	-0.719
IGKC	0.501
MMP14	0.957833333333333
DYNC1LI1	-1.209875
C11orf66	-0.349
TRBV3-1	-1.083
FASTKD5	-0.3625
BIVM	-0.14275
LHX4	0.33825
CXCL2	-0.7233
RAB2B	0.571166666666667
IZUMO1	0.42375
MAP3K15	-1.896375
FAM19A2	0.570833333333333
ZC3H8	-1.3385
ZMAT1	2.371625
SPINK5L3	-2.98575
SLC10A6	0.059
APPL2	0.337625
CARD10	-0.468
LOC402176	-0.02975
EEF1D	1.5222
RAB6A	0.7319
C12orf5	-1.216625
PAPOLG	-0.451
MSRB2	0.7885
BCR	0.894055555555556
PUS3	1.09825
TIAM2	-0.57975
ZNF317	1.7595
CHD2	-0.207857142857143
FZD5	-1.42168181818182
NUDT8	-0.64175
ZNF763	0.158
PRC1	-1.86688888888889
ABCB9	-0.105333333333333
SPATA3	0.838
TRAK2	-1.002125
STAB1	2.359
LRRTM2	-0.628666666666667
psiTPTE22	1.93625
DBI	-0.38725
SERPINA11	0.7395
NAT5	-0.83575
C20orf58	-2.1365
RPS6KA4	0.142833333333333
FLJ90650	-0.6975
TGFBRAP1	0.16825
CHRDL2	-1.323375
FAHD2A	-0.1875
CNTN1	-0.733
BBS4	-1.3982
TMEM181	0.49175
MINPP1	-1.851
MPHOSPH6	-0.492333333333333
HOXC10	3.5031
ITPKB	0.199625
CLPTM1L	-0.351125
MEOX2	-3.245
ATP6V0C	-0.12475
PRPF8	-0.831666666666667
TMC5	4.9885
FKBP3	-2.152
PLEKHB2	-0.878125
OR4D6	0.297
ZNF544	-0.3153
D2HGDH	0.360125
RPL18A	2.5899
HEL308	-0.769375
MPP6	-1.93
TCERG1	-1.41225
KRT16	0.609333333333333
KLF17	-0.74025
KLF5	2.137625
CDR1	1.81525
VCX3A	-2.056
FBLN2	2.8815
C14orf104	-1.155
HBE1	-4.0457
OR4S2	1.3415
C1orf108	0.476666666666667
ROBO4	3.49833333333333
CPEB4	1.235625
C11orf80	-0.0848333333333333
BCKDHA	0.388333333333333
MYOC	0.225333333333333
GIF	0.491
CKMT1A	0.4635
RPL3	0.8654
THBS1	2.513125
APOO	-1.77375
ARMCX1	1.77025
HSZFP36	-0.963
SNAPC5	-1.21575
EIF4ENIF1	0.67225
ZNF433	-2.13875
TNFRSF21	0.27225
TMPRSS7	0.217
SPATA18	-0.5382
HPDL	1.037
MKL2	1.0069
TBX3	0.118153846153846
C21orf93	0.966666666666667
DAXX	1.07375
ELMO1	-0.33475
RGS13	0.452333333333333
TAF11	-1.49425
UNC13A	1.528625
LOC653314	0.1428
ORC3L	-1.14075
IMAA	-0.6185
TARBP2	0.39975
CABIN1	0.7241
TRIOBP	0.3510625
HIST1H2AC	0.296625
RGS22	-3.82433333333333
NCOA1	0.770833333333333
IL25	2.179
SNCG	0.392
GPR6	0.7385
AMDHD1	-2.61083333333333
CHEK2	-0.467625
C6orf142	0.03
DRD4	1.07425
C14orf68	-0.85475
GDF11	-1.7435
SEMG2	-0.283
CD247	-3.12025
CDAN1	-1.504
RBMX2	0.3385
TGS1	-0.9755
OIT3	0.825
SYF2	-0.62475
MCM4	-0.760125
PKHD1L1	-0.301125
CEP192	-1.53666666666667
IFT88	0.2605
RPL9	-0.260642857142857
RAB32	-1.334125
DDX43	-4.25475
P2RX2	1.02566666666667
OR5D18	1.5265
UBE1	-0.07175
SLC24A1	0.0225
ARHGAP5	1.46275
CETP	-1.1435
